s_names,a_names,values
UserA,PV,0.0
UserA,National Grid import,3.0
UserA,National Grid export,3.0
UserA,Storing EE,4.064916225259361e-08
UserA,Gas Boiler heating,24.00000036970929
UserA,HP heating winter,-1.1443382852010354e-07
UserA,HP heating summer,-1.1443382852010354e-07
UserA,HP cooling,-1.1443382852010354e-07
UserA,AC cooling,4.000000130781524
UserA,Storing HW,0.0
UserA,Radiators heater,7.5
UserA,Floor heater,0.0
UserA,Induction stove cooking,0.0
UserA,Gas stove cooking,4.0
UserA,Natural Gas supply grid,2.0
UserB,PV,5.915274458361628e-12
UserB,National Grid import,3.0
UserB,National Grid export,3.0
UserB,Storing EE,0.0
UserB,Gas Boiler heating,24.0
UserB,HP heating winter,0.0
UserB,HP heating summer,0.0
UserB,HP cooling,0.0
UserB,AC cooling,4.0
UserB,Storing HW,0.0
UserB,Radiators heater,13.499999986430645
UserB,Floor heater,2.1107882798899888e-08
UserB,Induction stove cooking,0.0
UserB,Gas stove cooking,4.0
UserB,Natural Gas supply grid,2.0
UserC,PV,0.0
UserC,National Grid import,3.0
UserC,National Grid export,3.0
UserC,Storing EE,0.0
UserC,Gas Boiler heating,24.0
UserC,HP heating winter,0.0
UserC,HP heating summer,0.0
UserC,HP cooling,0.0
UserC,AC cooling,4.0
UserC,Storing HW,0.0
UserC,Radiators heater,19.499999999999996
UserC,Floor heater,0.0
UserC,Induction stove cooking,0.0
UserC,Gas stove cooking,4.0
UserC,Natural Gas supply grid,2.0
UserD,PV,0.0
UserD,National Grid import,4.0
UserD,National Grid export,4.0
UserD,Storing EE,0.0
UserD,Gas Boiler heating,24.00000013134285
UserD,HP heating winter,0.0
UserD,HP heating summer,0.0
UserD,HP cooling,0.0
UserD,AC cooling,4.0
UserD,Storing HW,-1.927873797040507e-07
UserD,Radiators heater,25.49999999546714
UserD,Floor heater,7.465881196407921e-09
UserD,Induction stove cooking,4.2688411388875766e-10
UserD,Gas stove cooking,3.999999999573116
UserD,Natural Gas supply grid,2.0
