s_names,t_names,values
UserA,PV sys,9.71381151193098e-10
UserA,National Grid EE,0.0
UserA,Storage EE,0.0
UserA,Gas Boiler,1.0000000073558697
UserA,HP,-1.4710713789234077e-08
UserA,AC,1.0
UserA,Storage HW,5.187314866624549e-08
UserA,Radiators,0.9999999985311517
UserA,Floor heating,1.4697584003976164e-09
UserA,Induction stove,0.0
UserA,Gas stove,1.0
UserA,Gas National Grid,2.0
UserB,PV sys,0.0
UserB,National Grid EE,0.0
UserB,Storage EE,0.0
UserB,Gas Boiler,1.0
UserB,HP,0.0
UserB,AC,1.0
UserB,Storage HW,0.0
UserB,Radiators,1.0
UserB,Floor heating,0.0
UserB,Induction stove,0.0
UserB,Gas stove,1.0
UserB,Gas National Grid,2.0
UserC,PV sys,8.204545916393978e-10
UserC,National Grid EE,0.0
UserC,Storage EE,-0.0
UserC,Gas Boiler,1.0
UserC,HP,-0.0
UserC,AC,1.0
UserC,Storage HW,-0.0
UserC,Radiators,1.0
UserC,Floor heating,-0.0
UserC,Induction stove,0.0
UserC,Gas stove,1.0
UserC,Gas National Grid,2.0
UserD,PV sys,0.0
UserD,National Grid EE,2.0
UserD,Storage EE,0.0
UserD,Gas Boiler,1.0
UserD,HP,1.0
UserD,AC,0.0
UserD,Storage HW,-2.9829238776441577e-07
UserD,Radiators,1.0
UserD,Floor heating,0.0
UserD,Induction stove,0.0
UserD,Gas stove,1.0
UserD,Gas National Grid,2.0
