s_names,th_names,t_names,values
UserA,h01_wi01,PV sys,-0.0
UserA,h01_wi01,National Grid EE,3.000000001900727
UserA,h01_wi01,Storage EE,0.0
UserA,h01_wi01,Gas Boiler,24.0
UserA,h01_wi01,HP,3.891964521012906e-09
UserA,h01_wi01,AC,4.0
UserA,h01_wi01,Storage HW,0.0
UserA,h01_wi01,Radiators,7.499999999999998
UserA,h01_wi01,Floor heating,0.0
UserA,h01_wi01,Induction stove,5.068604820714742e-09
UserA,h01_wi01,Gas stove,3.999999994931395
UserA,h01_wi01,Gas National Grid,2.0
UserA,h02_wi01,PV sys,-0.0
UserA,h02_wi01,National Grid EE,3.000000001900727
UserA,h02_wi01,Storage EE,0.0
UserA,h02_wi01,Gas Boiler,24.0
UserA,h02_wi01,HP,3.891964521012906e-09
UserA,h02_wi01,AC,4.0
UserA,h02_wi01,Storage HW,0.0
UserA,h02_wi01,Radiators,7.499999999999998
UserA,h02_wi01,Floor heating,0.0
UserA,h02_wi01,Induction stove,5.068604820714742e-09
UserA,h02_wi01,Gas stove,3.999999994931395
UserA,h02_wi01,Gas National Grid,2.0
UserA,h03_wi01,PV sys,-0.0
UserA,h03_wi01,National Grid EE,3.000000001900727
UserA,h03_wi01,Storage EE,0.0
UserA,h03_wi01,Gas Boiler,24.0
UserA,h03_wi01,HP,3.891964521012906e-09
UserA,h03_wi01,AC,4.0
UserA,h03_wi01,Storage HW,0.0
UserA,h03_wi01,Radiators,7.499999999999998
UserA,h03_wi01,Floor heating,0.0
UserA,h03_wi01,Induction stove,5.068604820714742e-09
UserA,h03_wi01,Gas stove,3.999999994931395
UserA,h03_wi01,Gas National Grid,2.0
UserA,h04_wi01,PV sys,-0.0
UserA,h04_wi01,National Grid EE,3.000000001900727
UserA,h04_wi01,Storage EE,0.0
UserA,h04_wi01,Gas Boiler,24.0
UserA,h04_wi01,HP,3.891964521012906e-09
UserA,h04_wi01,AC,4.0
UserA,h04_wi01,Storage HW,0.0
UserA,h04_wi01,Radiators,7.499999999999998
UserA,h04_wi01,Floor heating,0.0
UserA,h04_wi01,Induction stove,5.068604820714742e-09
UserA,h04_wi01,Gas stove,3.999999994931395
UserA,h04_wi01,Gas National Grid,2.0
UserA,h05_wi01,PV sys,-0.0
UserA,h05_wi01,National Grid EE,3.000000001900727
UserA,h05_wi01,Storage EE,0.0
UserA,h05_wi01,Gas Boiler,24.0
UserA,h05_wi01,HP,3.891964521012906e-09
UserA,h05_wi01,AC,4.0
UserA,h05_wi01,Storage HW,0.0
UserA,h05_wi01,Radiators,7.499999999999998
UserA,h05_wi01,Floor heating,0.0
UserA,h05_wi01,Induction stove,5.068604820714742e-09
UserA,h05_wi01,Gas stove,3.999999994931395
UserA,h05_wi01,Gas National Grid,2.0
UserA,h06_wi01,PV sys,-0.0
UserA,h06_wi01,National Grid EE,3.000000001900727
UserA,h06_wi01,Storage EE,0.0
UserA,h06_wi01,Gas Boiler,24.0
UserA,h06_wi01,HP,3.891964521012906e-09
UserA,h06_wi01,AC,4.0
UserA,h06_wi01,Storage HW,0.0
UserA,h06_wi01,Radiators,7.499999999999998
UserA,h06_wi01,Floor heating,0.0
UserA,h06_wi01,Induction stove,5.068604820714742e-09
UserA,h06_wi01,Gas stove,3.999999994931395
UserA,h06_wi01,Gas National Grid,2.0
UserA,h07_wi01,PV sys,-0.0
UserA,h07_wi01,National Grid EE,3.000000001900727
UserA,h07_wi01,Storage EE,0.0
UserA,h07_wi01,Gas Boiler,24.0
UserA,h07_wi01,HP,3.891964521012906e-09
UserA,h07_wi01,AC,4.0
UserA,h07_wi01,Storage HW,0.0
UserA,h07_wi01,Radiators,7.499999999999998
UserA,h07_wi01,Floor heating,0.0
UserA,h07_wi01,Induction stove,5.068604820714742e-09
UserA,h07_wi01,Gas stove,3.999999994931395
UserA,h07_wi01,Gas National Grid,2.0
UserA,h08_wi01,PV sys,0.0
UserA,h08_wi01,National Grid EE,3.000000001900727
UserA,h08_wi01,Storage EE,0.0
UserA,h08_wi01,Gas Boiler,24.0
UserA,h08_wi01,HP,3.891964521012906e-09
UserA,h08_wi01,AC,4.0
UserA,h08_wi01,Storage HW,0.0
UserA,h08_wi01,Radiators,7.499999999999998
UserA,h08_wi01,Floor heating,0.0
