s_names,t_names,values
UserA,PV sys,-0.0
UserA,National Grid EE,0.0
UserA,Storage EE,-0.0
UserA,Gas Boiler,1.0
UserA,HP,-0.0
UserA,AC,1.0
UserA,Storage HW,0.0
UserA,Radiators,1.0
UserA,Floor heating,0.0
UserA,Induction stove,0.0
UserA,Gas stove,1.0
UserA,Gas National Grid,2.0
UserB,PV sys,-6.050855483988474e-10
UserB,National Grid EE,6.242221246293861e-09
UserB,Storage EE,-0.0
UserB,Gas Boiler,1.0
UserB,HP,0.0
UserB,AC,1.0
UserB,Storage HW,3.6180442605361367e-09
UserB,Radiators,0.9999999975888886
UserB,Floor heating,2.411634751443699e-09
UserB,Induction stove,2.0909968256876974e-09
UserB,Gas stove,0.999999997915529
UserB,Gas National Grid,2.0
UserC,PV sys,0.0
UserC,National Grid EE,0.0
UserC,Storage EE,0.0
UserC,Gas Boiler,0.9999999987080893
UserC,HP,0.0
UserC,AC,1.0
UserC,Storage HW,0.0
UserC,Radiators,0.9999999994695035
UserC,Floor heating,5.30389495825192e-10
UserC,Induction stove,3.910659822978701e-09
UserC,Gas stove,0.9999999970772616
UserC,Gas National Grid,2.0
UserD,PV sys,0.0
UserD,National Grid EE,2.0
UserD,Storage EE,0.0
UserD,Gas Boiler,1.0
UserD,HP,0.0
UserD,AC,1.0
UserD,Storage HW,0.0
UserD,Radiators,1.0
UserD,Floor heating,0.0
UserD,Induction stove,0.0
UserD,Gas stove,1.0
UserD,Gas National Grid,2.0
