s_names,t_names,values
UserA,PV sys,0.0
UserA,National Grid EE,0.0
UserA,Storage EE,0.0
UserA,Gas Boiler,0.0
UserA,HP,2.0
UserA,AC,0.0
UserA,Storage HW,3.0
UserA,Radiators,2.0
UserA,Floor heating,0.0
UserA,Induction stove,1.0
UserA,Gas stove,0.0
UserA,Gas National Grid,1.0
UserB,PV sys,0.0
UserB,National Grid EE,0.0
UserB,Storage EE,-0.0
UserB,Gas Boiler,1.0
UserB,HP,0.0
UserB,AC,1.0
UserB,Storage HW,0.0
UserB,Radiators,2.0
UserB,Floor heating,0.0
UserB,Induction stove,0.0
UserB,Gas stove,0.9999999914592103
UserB,Gas National Grid,2.0
UserC,PV sys,0.0
UserC,National Grid EE,0.0
UserC,Storage EE,0.0
UserC,Gas Boiler,1.0000000000092404
UserC,HP,0.0
UserC,AC,1.0
UserC,Storage HW,-7.823596175450372e-11
UserC,Radiators,1.9999999999999996
UserC,Floor heating,0.0
UserC,Induction stove,0.0
UserC,Gas stove,0.9999999999999996
UserC,Gas National Grid,2.0
UserD,PV sys,0.0
UserD,National Grid EE,2.0
UserD,Storage EE,-0.0
UserD,Gas Boiler,1.0
UserD,HP,0.0
UserD,AC,1.0
UserD,Storage HW,-7.375388847318914e-09
UserD,Radiators,1.9999999972742069
UserD,Floor heating,1.3628162736893984e-09
UserD,Induction stove,0.0
UserD,Gas stove,1.0
UserD,Gas National Grid,2.0
