s_names,th_names,a_names,values
UserA,h01_wi01,PV,0.0
UserA,h01_wi01,National Grid import,0.23438541643383615
UserA,h01_wi01,National Grid export,2.3283064365386973e-10
UserA,h01_wi01,Storing EE,0.0
UserA,h01_wi01,Gas Boiler heating,1.2553668373995934
UserA,h01_wi01,HP heating winter,0.0
UserA,h01_wi01,HP heating summer,0.0
UserA,h01_wi01,HP cooling,0.0
UserA,h01_wi01,AC cooling,0.0
UserA,h01_wi01,Storing HW,0.0
UserA,h01_wi01,Radiators heater,1.0042934693641625
UserA,h01_wi01,Floor heater,6.249513659460245e-10
UserA,h01_wi01,Induction stove cooking,0.0
UserA,h01_wi01,Gas stove cooking,0.0
UserA,h01_wi01,Natural Gas supply grid,0.12078965047624299
UserA,h02_wi01,PV,0.0
UserA,h02_wi01,National Grid import,0.14086759974164675
UserA,h02_wi01,National Grid export,0.0
UserA,h02_wi01,Storing EE,0.0
UserA,h02_wi01,Gas Boiler heating,1.450446739081721
UserA,h02_wi01,HP heating winter,-9.300720375279462e-10
UserA,h02_wi01,HP heating summer,0.0
UserA,h02_wi01,HP cooling,0.0
UserA,h02_wi01,AC cooling,0.0
UserA,h02_wi01,Storing HW,0.0
UserA,h02_wi01,Radiators heater,1.1603573898794821
UserA,h02_wi01,Floor heater,7.220667642595179e-10
UserA,h02_wi01,Induction stove cooking,0.0
UserA,h02_wi01,Gas stove cooking,0.0
UserA,h02_wi01,Natural Gas supply grid,0.13955996719731753
UserA,h03_wi01,PV,0.0
UserA,h03_wi01,National Grid import,0.1820833666666667
UserA,h03_wi01,National Grid export,0.0
UserA,h03_wi01,Storing EE,0.0
UserA,h03_wi01,Gas Boiler heating,1.8693054093621073
UserA,h03_wi01,HP heating winter,0.0
UserA,h03_wi01,HP heating summer,0.0
UserA,h03_wi01,HP cooling,0.0
UserA,h03_wi01,AC cooling,0.0
UserA,h03_wi01,Storing HW,0.0
UserA,h03_wi01,Radiators heater,1.4954443266624995
UserA,h03_wi01,Floor heater,9.305845384374174e-10
UserA,h03_wi01,Induction stove cooking,0.0
UserA,h03_wi01,Gas stove cooking,0.0
UserA,h03_wi01,Natural Gas supply grid,0.17986196568479818
UserA,h04_wi01,PV,0.0
UserA,h04_wi01,National Grid import,0.1742339500000001
UserA,h04_wi01,National Grid export,0.0
UserA,h04_wi01,Storing EE,0.0
UserA,h04_wi01,Gas Boiler heating,2.4430954559650275
UserA,h04_wi01,HP heating winter,0.0
UserA,h04_wi01,HP heating summer,0.0
UserA,h04_wi01,HP cooling,0.0
UserA,h04_wi01,AC cooling,0.0
UserA,h04_wi01,Storing HW,0.0
UserA,h04_wi01,Radiators heater,1.9544763636909281
UserA,h04_wi01,Floor heater,1.2162308234177703e-09
UserA,h04_wi01,Induction stove cooking,0.0
UserA,h04_wi01,Gas stove cooking,0.0
UserA,h04_wi01,Natural Gas supply grid,0.23507124564274295
UserA,h05_wi01,PV,0.0
UserA,h05_wi01,National Grid import,0.1562510000000001
UserA,h05_wi01,National Grid export,0.0
UserA,h05_wi01,Storing EE,0.0
UserA,h05_wi01,Gas Boiler heating,2.7320114538992613
UserA,h05_wi01,HP heating winter,0.0
UserA,h05_wi01,HP heating summer,0.0
UserA,h05_wi01,HP cooling,0.0
UserA,h05_wi01,AC cooling,0.0
UserA,h05_wi01,Storing HW,0.0
UserA,h05_wi01,Radiators heater,2.1856091619104667
UserA,h05_wi01,Floor heater,1.3600600549806116e-09
UserA,h05_wi01,Induction stove cooking,0.0
UserA,h05_wi01,Gas stove cooking,0.003110168656653025
UserA,h05_wi01,Natural Gas supply grid,0.26358107422869353
UserA,h06_wi01,PV,0.0
UserA,h06_wi01,National Grid import,0.1725007000000001
UserA,h06_wi01,National Grid export,0.0
UserA,h06_wi01,Storing EE,0.0
UserA,h06_wi01,Gas Boiler heating,2.5912120651702506
UserA,h06_wi01,HP heating winter,0.0
UserA,h06_wi01,HP heating summer,0.0
UserA,h06_wi01,HP cooling,0.0
UserA,h06_wi01,AC cooling,0.0
UserA,h06_wi01,Storing HW,0.0
UserA,h06_wi01,Radiators heater,2.072969650989563
UserA,h06_wi01,Floor heater,1.2899667820908867e-09
UserA,h06_wi01,Induction stove cooking,0.0
UserA,h06_wi01,Gas stove cooking,0.01239846983273267
UserA,h06_wi01,Natural Gas supply grid,0.2521561080557097
UserA,h07_wi01,PV,0.0
UserA,h07_wi01,National Grid import,0.3722501
UserA,h07_wi01,National Grid export,0.0
UserA,h07_wi01,Storing EE,0.0
UserA,h07_wi01,Gas Boiler heating,2.5024793323389245
UserA,h07_wi01,HP heating winter,0.0
UserA,h07_wi01,HP heating summer,0.0
UserA,h07_wi01,HP cooling,0.0
UserA,h07_wi01,AC cooling,0.0
UserA,h07_wi01,Storing HW,0.0
UserA,h07_wi01,Radiators heater,2.0019821047637683
UserA,h07_wi01,Floor heater,1.2457926782733496e-09
UserA,h07_wi01,Induction stove cooking,0.0
UserA,h07_wi01,Gas stove cooking,0.01711047274324019
UserA,h07_wi01,Natural Gas supply grid,0.2446951510732339
UserA,h08_wi01,PV,-9.316599910501704e-12
UserA,h08_wi01,National Grid import,0.2244179000093168
UserA,h08_wi01,National Grid export,0.0
UserA,h08_wi01,Storing EE,0.0
UserA,h08_wi01,Gas Boiler heating,3.665748642367919
UserA,h08_wi01,HP heating winter,0.0
UserA,h08_wi01,HP heating summer,0.0
UserA,h08_wi01,HP cooling,0.0
UserA,h08_wi01,AC cooling,0.0
UserA,h08_wi01,Storing HW,0.0
UserA,h08_wi01,Radiators heater,1.8745932431475938
UserA,h08_wi01,Floor heater,1.1665211849281412e-09
UserA,h08_wi01,Induction stove cooking,0.0
UserA,h08_wi01,Gas stove cooking,0.01593653016887095
UserA,h08_wi01,Natural Gas supply grid,0.3563550371903192
UserA,h09_wi01,PV,-1.5063345802205948e-10
UserA,h09_wi01,National Grid import,0.3390855158517603
UserA,h09_wi01,National Grid export,8.149072527885443e-10
UserA,h09_wi01,Storing EE,2.885056437109165e-09
UserA,h09_wi01,Gas Boiler heating,2.9954715976384025
UserA,h09_wi01,HP heating winter,3.9765925030375096e-09
UserA,h09_wi01,HP heating summer,0.0
UserA,h09_wi01,HP cooling,0.0
UserA,h09_wi01,AC cooling,0.0
UserA,h09_wi01,Storing HW,0.0
