s_names,th_names,t_names,values
UserA,h01_wi01,PV sys,-0.0
UserA,h01_wi01,National Grid EE,3.0
UserA,h01_wi01,Storage EE,0.0
UserA,h01_wi01,Gas Boiler,24.0
UserA,h01_wi01,HP,3.9765925030375096e-09
UserA,h01_wi01,AC,3.9999999977276617
UserA,h01_wi01,Storage HW,0.0
UserA,h01_wi01,Radiators,14.9999999906658
UserA,h01_wi01,Floor heating,1.306787216789209e-08
UserA,h01_wi01,Induction stove,0.0
UserA,h01_wi01,Gas stove,3.9999999982017203
UserA,h01_wi01,Gas National Grid,1.0
UserA,h02_wi01,PV sys,-0.0
UserA,h02_wi01,National Grid EE,3.0
UserA,h02_wi01,Storage EE,0.0
UserA,h02_wi01,Gas Boiler,24.0
UserA,h02_wi01,HP,3.9765925030375096e-09
UserA,h02_wi01,AC,3.9999999977276617
UserA,h02_wi01,Storage HW,0.0
UserA,h02_wi01,Radiators,14.9999999906658
UserA,h02_wi01,Floor heating,1.306787216789209e-08
UserA,h02_wi01,Induction stove,0.0
UserA,h02_wi01,Gas stove,3.9999999982017203
UserA,h02_wi01,Gas National Grid,1.0
UserA,h03_wi01,PV sys,-0.0
UserA,h03_wi01,National Grid EE,3.0
UserA,h03_wi01,Storage EE,0.0
UserA,h03_wi01,Gas Boiler,24.0
UserA,h03_wi01,HP,3.9765925030375096e-09
UserA,h03_wi01,AC,3.9999999977276617
UserA,h03_wi01,Storage HW,0.0
UserA,h03_wi01,Radiators,14.9999999906658
UserA,h03_wi01,Floor heating,1.306787216789209e-08
UserA,h03_wi01,Induction stove,0.0
UserA,h03_wi01,Gas stove,3.9999999982017203
UserA,h03_wi01,Gas National Grid,1.0
UserA,h04_wi01,PV sys,-0.0
UserA,h04_wi01,National Grid EE,3.0
UserA,h04_wi01,Storage EE,0.0
UserA,h04_wi01,Gas Boiler,24.0
UserA,h04_wi01,HP,3.9765925030375096e-09
UserA,h04_wi01,AC,3.9999999977276617
UserA,h04_wi01,Storage HW,0.0
UserA,h04_wi01,Radiators,14.9999999906658
UserA,h04_wi01,Floor heating,1.306787216789209e-08
UserA,h04_wi01,Induction stove,0.0
UserA,h04_wi01,Gas stove,3.9999999982017203
UserA,h04_wi01,Gas National Grid,1.0
UserA,h05_wi01,PV sys,-0.0
UserA,h05_wi01,National Grid EE,3.0
UserA,h05_wi01,Storage EE,0.0
UserA,h05_wi01,Gas Boiler,24.0
UserA,h05_wi01,HP,3.9765925030375096e-09
UserA,h05_wi01,AC,3.9999999977276617
UserA,h05_wi01,Storage HW,0.0
UserA,h05_wi01,Radiators,14.9999999906658
UserA,h05_wi01,Floor heating,1.306787216789209e-08
UserA,h05_wi01,Induction stove,0.0
UserA,h05_wi01,Gas stove,3.9999999982017203
UserA,h05_wi01,Gas National Grid,1.0
UserA,h06_wi01,PV sys,-0.0
UserA,h06_wi01,National Grid EE,3.0
UserA,h06_wi01,Storage EE,0.0
UserA,h06_wi01,Gas Boiler,24.0
UserA,h06_wi01,HP,3.9765925030375096e-09
UserA,h06_wi01,AC,3.9999999977276617
UserA,h06_wi01,Storage HW,0.0
UserA,h06_wi01,Radiators,14.9999999906658
UserA,h06_wi01,Floor heating,1.306787216789209e-08
UserA,h06_wi01,Induction stove,0.0
UserA,h06_wi01,Gas stove,3.9999999982017203
UserA,h06_wi01,Gas National Grid,1.0
