s_names,a_names,values
UserA,PV,-5.680851486727239e-10
UserA,National Grid import,3.0
UserA,National Grid export,3.0
UserA,Storing EE,0.0
UserA,Gas Boiler heating,24.0
UserA,HP heating winter,3.9765925030375096e-09
UserA,HP heating summer,3.9765925030375096e-09
UserA,HP cooling,3.9765925030375096e-09
UserA,AC cooling,3.9999999977276617
UserA,Storing HW,0.0
UserA,Radiators heater,14.9999999906658
UserA,Floor heater,1.306787216789209e-08
UserA,Induction stove cooking,0.0
UserA,Gas stove cooking,3.9999999982017203
UserA,Natural Gas supply grid,1.0
UserB,PV,1.0
UserB,National Grid import,3.0
UserB,National Grid export,3.0
UserB,Storing EE,0.0
UserB,Gas Boiler heating,24.000000236310598
UserB,HP heating winter,-6.038051218739619e-08
UserB,HP heating summer,-6.038051218739619e-08
UserB,HP cooling,-6.038051218739619e-08
UserB,AC cooling,4.00000003450315
UserB,Storing HW,0.0
UserB,Radiators heater,27.000000001017693
UserB,Floor heater,0.0
UserB,Induction stove cooking,0.0
UserB,Gas stove cooking,4.0
UserB,Natural Gas supply grid,2.0
UserC,PV,-9.802105771508786e-08
UserC,National Grid import,3.0
UserC,National Grid export,3.0
UserC,Storing EE,0.0
UserC,Gas Boiler heating,23.999999999546148
UserC,HP heating winter,0.0
UserC,HP heating summer,0.0
UserC,HP cooling,0.0
UserC,AC cooling,4.0
UserC,Storing HW,0.0
UserC,Radiators heater,38.999999999326306
UserC,Floor heater,1.088255678435638e-09
UserC,Induction stove cooking,0.0
UserC,Gas stove cooking,4.0
UserC,Natural Gas supply grid,2.0
UserD,PV,0.0
UserD,National Grid import,4.0
UserD,National Grid export,4.0
UserD,Storing EE,0.0
UserD,Gas Boiler heating,24.000000000025636
UserD,HP heating winter,0.0
UserD,HP heating summer,0.0
UserD,HP cooling,0.0
UserD,AC cooling,4.0
UserD,Storing HW,0.0
UserD,Radiators heater,51.0
UserD,Floor heater,0.0
UserD,Induction stove cooking,0.0
UserD,Gas stove cooking,4.0
UserD,Natural Gas supply grid,2.0
