s_names,t_names,values
UserA,PV sys,-5.639113931063479e-09
UserA,National Grid EE,3.0
UserA,Storage EE,0.0
UserA,Gas Boiler,24.0
UserA,HP,0.0
UserA,AC,4.0
UserA,Storage HW,6.0
UserA,Radiators,14.999999999999996
UserA,Floor heating,0.0
UserA,Induction stove,0.0
UserA,Gas stove,3.999999977372841
UserA,Gas National Grid,1.0
UserB,PV sys,0.0
UserB,National Grid EE,3.0
UserB,Storage EE,0.0
UserB,Gas Boiler,23.99999994475166
UserB,HP,0.0
UserB,AC,4.0
UserB,Storage HW,12.0
UserB,Radiators,26.999999893729346
UserB,Floor heating,8.26549466075019e-08
UserB,Induction stove,0.0
UserB,Gas stove,4.000000000000102
UserB,Gas National Grid,2.0
UserC,PV sys,0.0
UserC,National Grid EE,3.0
UserC,Storage EE,-5.22847761187637e-09
UserC,Gas Boiler,24.000000000193445
UserC,HP,0.0
UserC,AC,4.0
UserC,Storage HW,18.0
UserC,Radiators,38.99999999999999
UserC,Floor heating,0.0
UserC,Induction stove,4.711910272208357e-11
UserC,Gas stove,4.000000000810717
UserC,Gas National Grid,3.0
UserD,PV sys,0.0
UserD,National Grid EE,4.0
UserD,Storage EE,0.0
UserD,Gas Boiler,24.0
UserD,HP,0.0
UserD,AC,4.0
UserD,Storage HW,18.0
UserD,Radiators,51.0
UserD,Floor heating,0.0
UserD,Induction stove,0.0
UserD,Gas stove,4.0000000207483914
UserD,Gas National Grid,3.0
