s_names,t_names,values
UserA,PV sys,0.0
UserA,National Grid EE,0.0
UserA,Storage EE,-0.0
UserA,Gas Boiler,1.0000000000053264
UserA,HP,-2.119481535982073e-12
UserA,AC,1.0
UserA,Storage HW,-5.09289755527629e-13
UserA,Radiators,1.9999999999999996
UserA,Floor heating,0.0
UserA,Induction stove,0.0
UserA,Gas stove,0.9999999999896535
UserA,Gas National Grid,1.0
UserB,PV sys,-1.620802747511531e-09
UserB,National Grid EE,0.0
UserB,Storage EE,-0.0
UserB,Gas Boiler,0.999999999677715
UserB,HP,0.0
UserB,AC,1.0
UserB,Storage HW,0.0
UserB,Radiators,1.999999998751437
UserB,Floor heating,6.241210328550064e-10
UserB,Induction stove,4.288060672801754e-10
UserB,Gas stove,0.9999999985264575
UserB,Gas National Grid,2.0
UserC,PV sys,0.0
UserC,National Grid EE,0.0
UserC,Storage EE,-0.0
UserC,Gas Boiler,1.000000000000194
UserC,HP,5.767272071439859e-13
UserC,AC,1.0
UserC,Storage HW,6.835620010025352e-13
UserC,Radiators,2.0
UserC,Floor heating,0.0
UserC,Induction stove,0.0
UserC,Gas stove,0.9999999999973872
UserC,Gas National Grid,2.0
UserD,PV sys,0.0
UserD,National Grid EE,2.0
UserD,Storage EE,0.0
UserD,Gas Boiler,1.0
UserD,HP,0.0
UserD,AC,1.0
UserD,Storage HW,-0.0
UserD,Radiators,2.0
UserD,Floor heating,0.0
UserD,Induction stove,0.0
UserD,Gas stove,1.0
UserD,Gas National Grid,2.0
