s_names,th_names,t_names,values
UserA,h01_wi01,PV sys,0.0
UserA,h01_wi01,National Grid EE,0.2343854166666668
UserA,h01_wi01,Storage EE,0.0
UserA,h01_wi01,Gas Boiler,1.255366845615509
UserA,h01_wi01,HP,0.0
UserA,h01_wi01,AC,0.0
UserA,h01_wi01,Storage HW,-8.129116505812675e-09
UserA,h01_wi01,Radiators,1.004293469989114
UserA,h01_wi01,Floor heating,0.0
UserA,h01_wi01,Induction stove,0.0
UserA,h01_wi01,Gas stove,0.0
UserA,h01_wi01,Gas National Grid,0.12078965126676695
UserA,h02_wi01,PV sys,0.0
UserA,h02_wi01,National Grid EE,0.1408676000000001
UserA,h02_wi01,Storage EE,0.0
UserA,h02_wi01,Gas Boiler,1.4504467382519362
UserA,h02_wi01,HP,0.0
UserA,h02_wi01,AC,0.0
UserA,h02_wi01,Storage HW,0.0
UserA,h02_wi01,Radiators,1.160357390601549
UserA,h02_wi01,Floor heating,0.0
UserA,h02_wi01,Induction stove,0.0
UserA,h02_wi01,Gas stove,0.0
UserA,h02_wi01,Gas National Grid,0.13955996711747679
UserA,h03_wi01,PV sys,0.0
UserA,h03_wi01,National Grid EE,0.18208336666674804
UserA,h03_wi01,Storage EE,0.0
UserA,h03_wi01,Gas Boiler,1.8693054094910622
UserA,h03_wi01,HP,2.928734765207997e-13
UserA,h03_wi01,AC,0.0
UserA,h03_wi01,Storage HW,0.0
UserA,h03_wi01,Radiators,1.495444327593084
UserA,h03_wi01,Floor heating,0.0
UserA,h03_wi01,Induction stove,0.0
UserA,h03_wi01,Gas stove,0.0
UserA,h03_wi01,Gas National Grid,0.17986196569720603
UserA,h04_wi01,PV sys,0.0
UserA,h04_wi01,National Grid EE,0.1742339500065654
UserA,h04_wi01,Storage EE,0.0
UserA,h04_wi01,Gas Boiler,2.4430954561103135
UserA,h04_wi01,HP,2.3635114071426996e-11
UserA,h04_wi01,AC,0.0
UserA,h04_wi01,Storage HW,0.0
UserA,h04_wi01,Radiators,1.954476364907159
UserA,h04_wi01,Floor heating,0.0
UserA,h04_wi01,Induction stove,0.0
UserA,h04_wi01,Gas stove,0.0
UserA,h04_wi01,Gas National Grid,0.23507124565672216
UserA,h05_wi01,PV sys,0.0
UserA,h05_wi01,National Grid EE,0.15625100000685868
UserA,h05_wi01,Storage EE,0.0
UserA,h05_wi01,Gas Boiler,2.7320114540634677
UserA,h05_wi01,HP,2.4690828488916934e-11
UserA,h05_wi01,AC,0.0
UserA,h05_wi01,Storage HW,0.0
UserA,h05_wi01,Radiators,2.185609163270527
UserA,h05_wi01,Floor heating,0.0
UserA,h05_wi01,Induction stove,0.0
UserA,h05_wi01,Gas stove,0.003110168656653025
UserA,h05_wi01,Gas National Grid,0.26358107424449323
UserA,h06_wi01,PV sys,0.0
UserA,h06_wi01,National Grid EE,0.17250070001140502
UserA,h06_wi01,Storage EE,0.0
UserA,h06_wi01,Gas Boiler,2.591212065308355
UserA,h06_wi01,HP,4.105771048220748e-11
UserA,h06_wi01,AC,0.0
UserA,h06_wi01,Storage HW,0.0
UserA,h06_wi01,Radiators,2.07296965227953
UserA,h06_wi01,Floor heating,0.0
UserA,h06_wi01,Induction stove,0.0
UserA,h06_wi01,Gas stove,0.01239846983273267
UserA,h06_wi01,Gas National Grid,0.25215610806899785
UserA,h07_wi01,PV sys,0.0
UserA,h07_wi01,National Grid EE,0.37225010000354036
UserA,h07_wi01,Storage EE,0.0
UserA,h07_wi01,Gas Boiler,2.5024793324992056
UserA,h07_wi01,HP,1.2745379730356181e-11
UserA,h07_wi01,AC,0.0
UserA,h07_wi01,Storage HW,0.0
UserA,h07_wi01,Radiators,2.001982106009561
UserA,h07_wi01,Floor heating,0.0
UserA,h07_wi01,Induction stove,0.0
UserA,h07_wi01,Gas stove,0.01711047274324019
UserA,h07_wi01,Gas National Grid,0.24469515108865592
UserA,h08_wi01,PV sys,0.0
UserA,h08_wi01,National Grid EE,0.22441790000145329
UserA,h08_wi01,Storage EE,0.0
UserA,h08_wi01,Gas Boiler,3.665748642524705
UserA,h08_wi01,HP,5.231112942025831e-12
UserA,h08_wi01,AC,0.0
UserA,h08_wi01,Storage HW,0.0
UserA,h08_wi01,Radiators,1.874593244314115
UserA,h08_wi01,Floor heating,0.0
UserA,h08_wi01,Induction stove,0.0
UserA,h08_wi01,Gas stove,0.01593653016887095
UserA,h08_wi01,Gas National Grid,0.3563550372054049
UserA,h09_wi01,PV sys,0.0
UserA,h09_wi01,National Grid EE,0.33908551664650766
UserA,h09_wi01,Storage EE,0.0
UserA,h09_wi01,Gas Boiler,2.995471601840108
UserA,h09_wi01,HP,-7.257351339396965e-11
UserA,h09_wi01,AC,0.0
UserA,h09_wi01,Storage HW,0.0
UserA,h09_wi01,Radiators,1.764942367726577
UserA,h09_wi01,Floor heating,0.0
UserA,h09_wi01,Induction stove,0.0
UserA,h09_wi01,Gas stove,0.01153554412402874
UserA,h09_wi01,Gas National Grid,0.2908562031304413
UserA,h10_wi01,PV sys,0.0
UserA,h10_wi01,National Grid EE,0.3465023000131616
UserA,h10_wi01,Storage EE,0.0
UserA,h10_wi01,Gas Boiler,2.1027138646459207
UserA,h10_wi01,HP,4.738077808163428e-11
UserA,h10_wi01,AC,0.0
UserA,h10_wi01,Storage HW,0.0
UserA,h10_wi01,Radiators,1.682170171754641
UserA,h10_wi01,Floor heating,0.0
UserA,h10_wi01,Induction stove,0.0
UserA,h10_wi01,Gas stove,0.002867978070237247
UserA,h10_wi01,Gas National Grid,0.20297559054774697
UserA,h11_wi01,PV sys,0.0
UserA,h11_wi01,National Grid EE,0.30383488333579356
UserA,h11_wi01,Storage EE,0.0
UserA,h11_wi01,Gas Boiler,2.0392679906217377
UserA,h11_wi01,HP,8.85606152747717e-12
UserA,h11_wi01,AC,0.0
UserA,h11_wi01,Storage HW,0.0
UserA,h11_wi01,Radiators,1.631414392504475
UserA,h11_wi01,Floor heating,0.0
UserA,h11_wi01,Induction stove,0.0
UserA,h11_wi01,Gas stove,0.02618774994992272
UserA,h11_wi01,Gas National Grid,0.20219993233453326
UserA,h12_wi01,PV sys,0.0
UserA,h12_wi01,National Grid EE,0.26025055000879915
UserA,h12_wi01,Storage EE,0.0
UserA,h12_wi01,Gas Boiler,2.0288662795368637
UserA,h12_wi01,HP,0.0
UserA,h12_wi01,AC,0.0
UserA,h12_wi01,Storage HW,0.0
UserA,h12_wi01,Radiators,1.623093023629491
UserA,h12_wi01,Floor heating,0.0
UserA,h12_wi01,Induction stove,0.0
UserA,h12_wi01,Gas stove,0.2399868468707511
UserA,h12_wi01,Gas National Grid,0.25005629181707856
UserA,h13_wi01,PV sys,0.0
UserA,h13_wi01,National Grid EE,0.6077527666665135
UserA,h13_wi01,Storage EE,1.5276668818842154e-13
UserA,h13_wi01,Gas Boiler,2.044938686303245
UserA,h13_wi01,HP,0.0
UserA,h13_wi01,AC,0.0
UserA,h13_wi01,Storage HW,0.0
UserA,h13_wi01,Radiators,1.635950949042596
UserA,h13_wi01,Floor heating,0.0
UserA,h13_wi01,Induction stove,0.0
UserA,h13_wi01,Gas stove,0.2526476357300575
UserA,h13_wi01,Gas National Grid,0.2544959897202089
UserA,h14_wi01,PV sys,0.0
UserA,h14_wi01,National Grid EE,1.200002916619681
UserA,h14_wi01,Storage EE,-1.5276668818842154e-13
UserA,h14_wi01,Gas Boiler,2.1118250500839975
UserA,h14_wi01,HP,-1.6968826344054833e-10
UserA,h14_wi01,AC,0.0
UserA,h14_wi01,Storage HW,-1.0937289573139907e-10
UserA,h14_wi01,Radiators,1.689459559843949
UserA,h14_wi01,Floor heating,0.0
UserA,h14_wi01,Induction stove,0.0
UserA,h14_wi01,Gas stove,0.04194507207093642
UserA,h14_wi01,Gas National Grid,0.21278212222192547
UserA,h15_wi01,PV sys,0.0
UserA,h15_wi01,National Grid EE,0.3190006333333333
UserA,h15_wi01,Storage EE,0.0
UserA,h15_wi01,Gas Boiler,3.994124666671267
UserA,h15_wi01,HP,0.0
UserA,h15_wi01,AC,0.0
UserA,h15_wi01,Storage HW,1.0781499522092005e-10
UserA,h15_wi01,Radiators,1.763899106854373
UserA,h15_wi01,Floor heating,0.0
UserA,h15_wi01,Induction stove,0.0
UserA,h15_wi01,Gas stove,0.0118069534138995
UserA,h15_wi01,Gas National Grid,0.38700723381403623
UserA,h16_wi01,PV sys,0.0
UserA,h16_wi01,National Grid EE,0.27000000001025004
UserA,h16_wi01,Storage EE,0.0
UserA,h16_wi01,Gas Boiler,3.085338184144348
UserA,h16_wi01,HP,3.6900096523248096e-11
UserA,h16_wi01,AC,0.0
UserA,h16_wi01,Storage HW,0.0
UserA,h16_wi01,Radiators,1.832092526647695
UserA,h16_wi01,Floor heating,0.0
UserA,h16_wi01,Induction stove,0.0
UserA,h16_wi01,Gas stove,0.01174721739794708
UserA,h16_wi01,Gas National Grid,0.29955141205277325
UserA,h17_wi01,PV sys,0.0
UserA,h17_wi01,National Grid EE,0.2560835166747829
UserA,h17_wi01,Storage EE,0.0
UserA,h17_wi01,Gas Boiler,2.3566546817310154
UserA,h17_wi01,HP,2.921837562010218e-11
UserA,h17_wi01,AC,0.0
UserA,h17_wi01,Storage HW,0.0
UserA,h17_wi01,Radiators,1.885323745408187
UserA,h17_wi01,Floor heating,0.0
UserA,h17_wi01,Induction stove,0.0
UserA,h17_wi01,Gas stove,0.01329905520366749
UserA,h17_wi01,Gas National Grid,0.2297931240103652
UserA,h18_wi01,PV sys,0.0
UserA,h18_wi01,National Grid EE,0.23741681666519024
UserA,h18_wi01,Storage EE,0.0
UserA,h18_wi01,Gas Boiler,2.690782263176516
UserA,h18_wi01,HP,-5.315270941627325e-12
UserA,h18_wi01,AC,0.0
UserA,h18_wi01,Storage HW,0.0
UserA,h18_wi01,Radiators,1.88536199961467
UserA,h18_wi01,Floor heating,0.0
UserA,h18_wi01,Induction stove,0.0
UserA,h18_wi01,Gas stove,0.04141848610422543
UserA,h18_wi01,Gas National Grid,0.2683682447487782
UserA,h19_wi01,PV sys,0.0
UserA,h19_wi01,National Grid EE,0.3165852000000002
UserA,h19_wi01,Storage EE,0.0
UserA,h19_wi01,Gas Boiler,3.6468792402951937
UserA,h19_wi01,HP,0.0
UserA,h19_wi01,AC,0.0
UserA,h19_wi01,Storage HW,3.5383232034669197e-10
UserA,h19_wi01,Radiators,1.799127896043677
UserA,h19_wi01,Floor heating,0.0
UserA,h19_wi01,Induction stove,0.0
UserA,h19_wi01,Gas stove,0.2746519166497473
UserA,h19_wi01,Gas National Grid,0.4136608815874476
UserA,h20_wi01,PV sys,0.0
UserA,h20_wi01,National Grid EE,0.3899403833333336
UserA,h20_wi01,Storage EE,0.0
UserA,h20_wi01,Gas Boiler,6.149926477221226
UserA,h20_wi01,HP,0.0
UserA,h20_wi01,AC,0.0
UserA,h20_wi01,Storage HW,-3.543428902813125e-10
UserA,h20_wi01,Radiators,1.574311455697006
UserA,h20_wi01,Floor heating,0.0
UserA,h20_wi01,Induction stove,0.0
UserA,h20_wi01,Gas stove,0.2889924563054548
UserA,h20_wi01,Gas National Grid,0.6577776927688522
UserA,h21_wi01,PV sys,0.0
UserA,h21_wi01,National Grid EE,0.4328297166480128
UserA,h21_wi01,Storage EE,0.0
UserA,h21_wi01,Gas Boiler,1.507456266039181
UserA,h21_wi01,HP,-6.715317191208214e-11
UserA,h21_wi01,AC,0.0
UserA,h21_wi01,Storage HW,5.3870182220367074e-12
UserA,h21_wi01,Radiators,1.205963172781932
UserA,h21_wi01,Floor heating,0.0
UserA,h21_wi01,Induction stove,0.0
UserA,h21_wi01,Gas stove,0.05487337439298618
UserA,h21_wi01,Gas National Grid,0.1575849639394326
UserA,h22_wi01,PV sys,0.0
UserA,h22_wi01,National Grid EE,0.2272076166504755
UserA,h22_wi01,Storage EE,0.0
UserA,h22_wi01,Gas Boiler,1.2078904437901596
UserA,h22_wi01,HP,-5.828759697124042e-11
UserA,h22_wi01,AC,0.0
UserA,h22_wi01,Storage HW,0.0
UserA,h22_wi01,Radiators,0.9663115549854977
UserA,h22_wi01,Floor heating,0.0
UserA,h22_wi01,Induction stove,0.0
UserA,h22_wi01,Gas stove,0.02014402346638903
UserA,h22_wi01,Gas National Grid,0.12082483397698775
UserA,h23_wi01,PV sys,0.0
UserA,h23_wi01,National Grid EE,0.2920477166507022
UserA,h23_wi01,Storage EE,0.0
UserA,h23_wi01,Gas Boiler,1.139879369046927
UserA,h23_wi01,HP,-5.747202713735078e-11
UserA,h23_wi01,AC,0.0
UserA,h23_wi01,Storage HW,0.0
UserA,h23_wi01,Radiators,0.9119026951915641
UserA,h23_wi01,Floor heating,0.0
UserA,h23_wi01,Induction stove,0.0
UserA,h23_wi01,Gas stove,0.01613781457044975
UserA,h23_wi01,Gas National Grid,0.11336540735608056
UserA,h24_wi01,PV sys,0.0
UserA,h24_wi01,National Grid EE,0.9466704499832808
UserA,h24_wi01,Storage EE,0.0
UserA,h24_wi01,Gas Boiler,1.1936880625298054
UserA,h24_wi01,HP,-6.018541220953466e-11
UserA,h24_wi01,AC,0.0
UserA,h24_wi01,Storage HW,0.0
UserA,h24_wi01,Radiators,0.9549496633090292
UserA,h24_wi01,Floor heating,0.0
UserA,h24_wi01,Induction stove,0.0
UserA,h24_wi01,Gas stove,0.002106343866843927
UserA,h24_wi01,Gas National Grid,0.1153363445793861
UserA,h01_wi02,PV sys,0.0
UserA,h01_wi02,National Grid EE,0.14535061664688712
UserA,h01_wi02,Storage EE,0.0
UserA,h01_wi02,Gas Boiler,1.2553668375575993
UserA,h01_wi02,HP,-7.120681821959352e-11
UserA,h01_wi02,AC,0.0
UserA,h01_wi02,Storage HW,0.0
UserA,h01_wi02,Radiators,1.004293469989114
UserA,h01_wi02,Floor heating,0.0
UserA,h01_wi02,Induction stove,0.0
UserA,h01_wi02,Gas stove,0.0
UserA,h01_wi02,Gas National Grid,0.12078965049144609
UserA,h02_wi02,PV sys,0.0
UserA,h02_wi02,National Grid EE,0.11400064997714685
UserA,h02_wi02,Storage EE,0.0
UserA,h02_wi02,Gas Boiler,1.450446738334208
UserA,h02_wi02,HP,-8.227174497221768e-11
UserA,h02_wi02,AC,0.0
UserA,h02_wi02,Storage HW,0.0
UserA,h02_wi02,Radiators,1.160357390601549
UserA,h02_wi02,Floor heating,0.0
UserA,h02_wi02,Induction stove,0.0
