s_names,th_names,n_names,values
UserA,h01_wi01,EE,0.23438542402156054
UserA,h01_wi01,Hot water,1.2553668373519913
UserA,h01_wi01,Heat,1.004293469989114
UserA,h01_wi01,Cooling,0.0
UserA,h01_wi01,Cooking,0.0
UserA,h01_wi01,Natural Gas,0.12078965058696796
UserA,h02_wi01,EE,0.14086759961178408
UserA,h02_wi01,Hot water,1.4504467380966497
UserA,h02_wi01,Heat,1.160357390601549
UserA,h02_wi01,Cooling,0.0
UserA,h02_wi01,Cooking,0.0
UserA,h02_wi01,Natural Gas,0.1395599672370083
UserA,h03_wi01,EE,0.1820833666666667
UserA,h03_wi01,Hot water,1.8693054092912251
UserA,h03_wi01,Heat,1.495444327593084
UserA,h03_wi01,Cooling,0.0
UserA,h03_wi01,Cooking,0.0
UserA,h03_wi01,Natural Gas,0.17986196567797796
UserA,h04_wi01,EE,0.1742339500000001
UserA,h04_wi01,Hot water,2.4430954558723883
UserA,h04_wi01,Heat,1.954476364907159
UserA,h04_wi01,Cooling,0.0
UserA,h04_wi01,Cooking,0.0
UserA,h04_wi01,Natural Gas,0.23507124563382933
UserA,h05_wi01,EE,0.1562510000000001
UserA,h05_wi01,Hot water,2.7320114537956663
UserA,h05_wi01,Heat,2.185609163270527
UserA,h05_wi01,Cooling,0.0
UserA,h05_wi01,Cooking,0.003110168656653025
UserA,h05_wi01,Natural Gas,0.2635810742187258
UserA,h06_wi01,EE,0.17250070000014814
UserA,h06_wi01,Hot water,2.5912120650719945
UserA,h06_wi01,Heat,2.07296965227953
UserA,h06_wi01,Cooling,0.0
UserA,h06_wi01,Cooking,0.01239846983273267
UserA,h06_wi01,Natural Gas,0.25215610804623023
UserA,h07_wi01,EE,0.37225010000020425
UserA,h07_wi01,Hot water,2.5024793322440333
UserA,h07_wi01,Heat,2.001982106009561
UserA,h07_wi01,Cooling,0.0
UserA,h07_wi01,Cooking,0.01711047274324019
UserA,h07_wi01,Natural Gas,0.24469515106406858
UserA,h08_wi01,EE,0.2244179000001905
UserA,h08_wi01,Hot water,3.6657486422790657
UserA,h08_wi01,Heat,1.874593244314115
UserA,h08_wi01,Cooling,0.0
UserA,h08_wi01,Cooking,0.01593653016887095
UserA,h08_wi01,Natural Gas,0.3563550371817372
UserA,h09_wi01,EE,0.3390855166668047
UserA,h09_wi01,Hot water,2.995471601531339
UserA,h09_wi01,Heat,1.764942367726577
UserA,h09_wi01,Cooling,0.0
UserA,h09_wi01,Cooking,0.01153554412402874
