s_names,a_names,values
UserA,PV,0.0
UserA,National Grid import,3.0
UserA,National Grid export,3.0
UserA,Storing EE,0.0
UserA,Gas Boiler heating,24.0
UserA,HP heating winter,0.0
UserA,HP heating summer,0.0
UserA,HP cooling,0.0
UserA,AC cooling,4.0
UserA,Storing HW,-2.935236491697943e-06
UserA,Radiators heater,14.999999985546749
UserA,Floor heater,2.023454507599382e-08
UserA,Induction stove cooking,0.0
UserA,Gas stove cooking,4.0
UserA,Natural Gas supply grid,2.0
UserB,PV,6.6991509921695355e-12
UserB,National Grid import,3.0
UserB,National Grid export,3.0
UserB,Storing EE,-5.518948590313947e-09
UserB,Gas Boiler heating,23.999999993479143
UserB,HP heating winter,-4.0631474856359303e-08
UserB,HP heating summer,-4.0631474856359303e-08
UserB,HP cooling,-4.0631474856359303e-08
UserB,AC cooling,4.0000000232179875
UserB,Storing HW,-3.351139380310422e-08
UserB,Radiators heater,26.999999911714152
UserB,Floor heater,6.866676406360538e-08
UserB,Induction stove cooking,0.0
UserB,Gas stove cooking,4.0
UserB,Natural Gas supply grid,2.0
UserC,PV,1.4004922922504336e-09
UserC,National Grid import,3.0
UserC,National Grid export,3.0
UserC,Storing EE,0.0
UserC,Gas Boiler heating,23.99999999996818
UserC,HP heating winter,0.0
UserC,HP heating summer,0.0
UserC,HP cooling,0.0
UserC,AC cooling,4.0
UserC,Storing HW,0.0
UserC,Radiators heater,38.99999999999999
UserC,Floor heater,0.0
UserC,Induction stove cooking,0.0
UserC,Gas stove cooking,4.0
UserC,Natural Gas supply grid,2.0
UserD,PV,9.305746131846767e-12
UserD,National Grid import,3.9999999999982014
UserD,National Grid export,3.9999999999982014
UserD,Storing EE,5.395926527418681e-12
UserD,Gas Boiler heating,24.00000000000148
UserD,HP heating winter,1.2473335582159026e-11
UserD,HP heating summer,1.2473335582159026e-11
UserD,HP cooling,1.2473335582159026e-11
UserD,AC cooling,3.9999999999928724
UserD,Storing HW,-5.831405434418966e-12
UserD,Radiators heater,50.999999999999986
UserD,Floor heater,0.0
UserD,Induction stove cooking,0.0
UserD,Gas stove cooking,4.0
UserD,Natural Gas supply grid,2.0
