s_names,t_names,values
UserA,PV sys,0.0
UserA,National Grid EE,3.0
UserA,Storage EE,0.0
UserA,Gas Boiler,24.0
UserA,HP,0.0
UserA,AC,4.0
UserA,Storage HW,-2.935236491697943e-06
UserA,Radiators,14.999999985546749
UserA,Floor heating,2.023454507599382e-08
UserA,Induction stove,0.0
UserA,Gas stove,4.0
UserA,Gas National Grid,2.0
UserB,PV sys,6.6991509921695355e-12
UserB,National Grid EE,3.0
UserB,Storage EE,-5.518948590313947e-09
UserB,Gas Boiler,23.999999993479143
UserB,HP,-4.0631474856359303e-08
UserB,AC,4.0000000232179875
UserB,Storage HW,-3.351139380310422e-08
UserB,Radiators,26.999999911714152
UserB,Floor heating,6.866676406360538e-08
UserB,Induction stove,0.0
UserB,Gas stove,4.0
UserB,Gas National Grid,2.0
UserC,PV sys,1.4004922922504336e-09
UserC,National Grid EE,3.0
UserC,Storage EE,0.0
UserC,Gas Boiler,23.99999999996818
UserC,HP,0.0
UserC,AC,4.0
UserC,Storage HW,0.0
UserC,Radiators,38.99999999999999
UserC,Floor heating,0.0
UserC,Induction stove,0.0
UserC,Gas stove,4.0
UserC,Gas National Grid,2.0
UserD,PV sys,9.305746131846767e-12
UserD,National Grid EE,3.9999999999982014
UserD,Storage EE,5.395926527418681e-12
UserD,Gas Boiler,24.00000000000148
UserD,HP,1.2473335582159026e-11
UserD,AC,3.9999999999928724
UserD,Storage HW,-5.831405434418966e-12
UserD,Radiators,50.999999999999986
UserD,Floor heating,0.0
UserD,Induction stove,0.0
UserD,Gas stove,4.0
UserD,Gas National Grid,2.0
