s_names,th_names,n_names,values
UserA,h01_wi01,EE,-4.656612873077393e-10
UserA,h01_wi01,Hot water,-8.358726005803407e-17
UserA,h01_wi01,Heat,0.0
UserA,h01_wi01,Cooling,0.0
UserA,h01_wi01,Cooking,0.0
UserA,h01_wi01,Natural Gas,0.0
UserA,h02_wi01,EE,5.03539042779357e-18
UserA,h02_wi01,Hot water,4.676363394903861e-17
UserA,h02_wi01,Heat,0.0
UserA,h02_wi01,Cooling,0.0
UserA,h02_wi01,Cooking,0.0
UserA,h02_wi01,Natural Gas,0.0
UserA,h03_wi01,EE,0.0
UserA,h03_wi01,Hot water,7.881510321317568e-17
UserA,h03_wi01,Heat,0.0
UserA,h03_wi01,Cooling,0.0
UserA,h03_wi01,Cooking,0.0
UserA,h03_wi01,Natural Gas,0.0
UserA,h04_wi01,EE,0.0
UserA,h04_wi01,Hot water,-1.191986709705114e-16
UserA,h04_wi01,Heat,0.0
UserA,h04_wi01,Cooling,0.0
UserA,h04_wi01,Cooking,0.0
UserA,h04_wi01,Natural Gas,0.0
UserA,h05_wi01,EE,0.0
UserA,h05_wi01,Hot water,1.0655136602265786e-17
UserA,h05_wi01,Heat,0.0
UserA,h05_wi01,Cooling,0.0
UserA,h05_wi01,Cooking,0.0
UserA,h05_wi01,Natural Gas,-1.6588293239028218e-17
UserA,h06_wi01,EE,0.0
UserA,h06_wi01,Hot water,1.6797801813409348e-16
UserA,h06_wi01,Heat,0.0
UserA,h06_wi01,Cooling,0.0
UserA,h06_wi01,Cooking,0.0
UserA,h06_wi01,Natural Gas,2.3418766925686896e-17
UserA,h07_wi01,EE,0.0
UserA,h07_wi01,Hot water,-1.0276409063676238e-17
UserA,h07_wi01,Heat,0.0
UserA,h07_wi01,Cooling,0.0
UserA,h07_wi01,Cooking,0.0
UserA,h07_wi01,Natural Gas,-5.204170427930421e-18
UserA,h08_wi01,EE,0.0
UserA,h08_wi01,Hot water,1.0515979077237801e-16
UserA,h08_wi01,Heat,0.0
UserA,h08_wi01,Cooling,0.0
UserA,h08_wi01,Cooking,0.0
UserA,h08_wi01,Natural Gas,4.336808689942018e-19
UserA,h09_wi01,EE,-1.3253844644585095e-17
UserA,h09_wi01,Hot water,2.0257393694185975e-16
UserA,h09_wi01,Heat,0.0
UserA,h09_wi01,Cooling,0.0
UserA,h09_wi01,Cooking,0.0
UserA,h09_wi01,Natural Gas,-1.3444106938820255e-17
UserA,h10_wi01,EE,-3.726576045365723e-18
UserA,h10_wi01,Hot water,3.929869908407165e-17
UserA,h10_wi01,Heat,0.0
UserA,h10_wi01,Cooling,0.0
UserA,h10_wi01,Cooking,0.0
UserA,h10_wi01,Natural Gas,1.3227266504323154e-17
UserA,h11_wi01,EE,-3.726576045365723e-18
UserA,h11_wi01,Hot water,-1.3773777083616273e-17
UserA,h11_wi01,Heat,0.0
UserA,h11_wi01,Cooling,0.0
UserA,h11_wi01,Cooking,0.0
UserA,h11_wi01,Natural Gas,5.204170427930421e-18
UserA,h12_wi01,EE,1.0636151463039198e-17
UserA,h12_wi01,Hot water,-5.766547448066135e-17
UserA,h12_wi01,Heat,0.0
UserA,h12_wi01,Cooling,0.0
UserA,h12_wi01,Cooking,-3.7061995139531234e-10
UserA,h12_wi01,Natural Gas,2.7755575615628914e-17
UserA,h13_wi01,EE,5.4065359461703955e-17
UserA,h13_wi01,Hot water,-8.580749398922401e-17
UserA,h13_wi01,Heat,0.0
UserA,h13_wi01,Cooling,0.0
UserA,h13_wi01,Cooking,0.0
UserA,h13_wi01,Natural Gas,-2.0816681711721685e-17
UserA,h14_wi01,EE,-1.5425479129848124e-18
UserA,h14_wi01,Hot water,-3.414935977061038e-17
UserA,h14_wi01,Heat,0.0
UserA,h14_wi01,Cooling,0.0
UserA,h14_wi01,Cooking,0.0
UserA,h14_wi01,Natural Gas,5.204170427930421e-18
UserA,h15_wi01,EE,6.327528745674772e-18
UserA,h15_wi01,Hot water,-5.531629868432894e-16
UserA,h15_wi01,Heat,0.0
UserA,h15_wi01,Cooling,0.0
UserA,h15_wi01,Cooking,0.0
UserA,h15_wi01,Natural Gas,1.5178830414797062e-17
UserA,h16_wi01,EE,0.0
UserA,h16_wi01,Hot water,2.0109757712635928e-16
UserA,h16_wi01,Heat,0.0
UserA,h16_wi01,Cooling,0.0
UserA,h16_wi01,Cooking,0.0
UserA,h16_wi01,Natural Gas,1.1709383462843448e-17
UserA,h17_wi01,EE,0.0
UserA,h17_wi01,Hot water,2.0112342445255003e-16
UserA,h17_wi01,Heat,0.0
UserA,h17_wi01,Cooling,0.0
UserA,h17_wi01,Cooking,0.0
UserA,h17_wi01,Natural Gas,-8.239936510889834e-18
UserA,h18_wi01,EE,1.1038428869211048e-17
UserA,h18_wi01,Hot water,-4.7405797833210983e-17
UserA,h18_wi01,Heat,0.0
UserA,h18_wi01,Cooling,0.0
UserA,h18_wi01,Cooking,0.0
UserA,h18_wi01,Natural Gas,1.5612511283791264e-17
UserA,h19_wi01,EE,0.0
UserA,h19_wi01,Hot water,2.309777452590202e-16
UserA,h19_wi01,Heat,0.0
UserA,h19_wi01,Cooling,0.0
UserA,h19_wi01,Cooking,0.0
UserA,h19_wi01,Natural Gas,-2.7755575615628914e-17
UserA,h20_wi01,EE,0.0
UserA,h20_wi01,Hot water,6.734829067175856e-18
UserA,h20_wi01,Heat,0.0
UserA,h20_wi01,Cooling,0.0
UserA,h20_wi01,Cooking,0.0
UserA,h20_wi01,Natural Gas,4.163336342344337e-17
UserA,h21_wi01,EE,2.3143048563594792e-17
UserA,h21_wi01,Hot water,-9.20879010471362e-18
UserA,h21_wi01,Heat,0.0
UserA,h21_wi01,Cooling,0.0
UserA,h21_wi01,Cooking,0.0
UserA,h21_wi01,Natural Gas,-1.3877787807814457e-17
UserA,h22_wi01,EE,0.0
UserA,h22_wi01,Hot water,8.712125739325676e-19
UserA,h22_wi01,Heat,0.0
UserA,h22_wi01,Cooling,0.0
UserA,h22_wi01,Cooking,0.0
UserA,h22_wi01,Natural Gas,3.469446951953614e-18
UserA,h23_wi01,EE,0.0
UserA,h23_wi01,Hot water,8.712125739325676e-19
UserA,h23_wi01,Heat,0.0
UserA,h23_wi01,Cooling,0.0
UserA,h23_wi01,Cooking,0.0
UserA,h23_wi01,Natural Gas,-3.903127820947816e-18
UserA,h24_wi01,EE,0.0
UserA,h24_wi01,Hot water,8.712125739325676e-19
UserA,h24_wi01,Heat,0.0
UserA,h24_wi01,Cooling,0.0
UserA,h24_wi01,Cooking,0.0
UserA,h24_wi01,Natural Gas,1.1926223897340549e-18
UserA,h01_wi02,EE,0.0
UserA,h01_wi02,Hot water,-8.358726005803407e-17
UserA,h01_wi02,Heat,0.0
UserA,h01_wi02,Cooling,0.0
UserA,h01_wi02,Cooking,0.0
UserA,h01_wi02,Natural Gas,0.0
UserA,h02_wi02,EE,0.0
UserA,h02_wi02,Hot water,4.676363394903861e-17
UserA,h02_wi02,Heat,0.0
UserA,h02_wi02,Cooling,0.0
UserA,h02_wi02,Cooking,0.0
UserA,h02_wi02,Natural Gas,0.0
UserA,h03_wi02,EE,0.0
UserA,h03_wi02,Hot water,7.881510321317568e-17
UserA,h03_wi02,Heat,0.0
UserA,h03_wi02,Cooling,0.0
UserA,h03_wi02,Cooking,0.0
UserA,h03_wi02,Natural Gas,0.0
UserA,h04_wi02,EE,0.0
UserA,h04_wi02,Hot water,-1.191986709705114e-16
UserA,h04_wi02,Heat,0.0
UserA,h04_wi02,Cooling,0.0
UserA,h04_wi02,Cooking,0.0
UserA,h04_wi02,Natural Gas,0.0
UserA,h05_wi02,EE,0.0
UserA,h05_wi02,Hot water,1.0655136602265786e-17
UserA,h05_wi02,Heat,0.0
UserA,h05_wi02,Cooling,0.0
UserA,h05_wi02,Cooking,0.0
UserA,h05_wi02,Natural Gas,0.0
UserA,h06_wi02,EE,0.0
UserA,h06_wi02,Hot water,1.6797801813409348e-16
UserA,h06_wi02,Heat,0.0
UserA,h06_wi02,Cooling,0.0
UserA,h06_wi02,Cooking,0.0
UserA,h06_wi02,Natural Gas,0.0
UserA,h07_wi02,EE,0.0
UserA,h07_wi02,Hot water,-1.0276409063676238e-17
UserA,h07_wi02,Heat,0.0
UserA,h07_wi02,Cooling,0.0
UserA,h07_wi02,Cooking,0.0
UserA,h07_wi02,Natural Gas,0.0
UserA,h08_wi02,EE,0.0
UserA,h08_wi02,Hot water,5.492490006224406e-16
UserA,h08_wi02,Heat,0.0
UserA,h08_wi02,Cooling,0.0
UserA,h08_wi02,Cooking,0.0
UserA,h08_wi02,Natural Gas,0.0
UserA,h09_wi02,EE,0.0
UserA,h09_wi02,Hot water,-2.4151527290820287e-16
UserA,h09_wi02,Heat,0.0
UserA,h09_wi02,Cooling,0.0
UserA,h09_wi02,Cooking,0.0
UserA,h09_wi02,Natural Gas,0.0
UserA,h10_wi02,EE,0.0
UserA,h10_wi02,Hot water,3.929869908407165e-17
UserA,h10_wi02,Heat,0.0
UserA,h10_wi02,Cooling,0.0
UserA,h10_wi02,Cooking,0.0
UserA,h10_wi02,Natural Gas,0.0
UserA,h11_wi02,EE,0.0
UserA,h11_wi02,Hot water,-1.3773777083616273e-17
UserA,h11_wi02,Heat,0.0
UserA,h11_wi02,Cooling,0.0
UserA,h11_wi02,Cooking,0.0
UserA,h11_wi02,Natural Gas,0.0
UserA,h12_wi02,EE,-1.0971025271821817e-17
UserA,h12_wi02,Hot water,-5.766547448066135e-17
UserA,h12_wi02,Heat,0.0
UserA,h12_wi02,Cooling,0.0
UserA,h12_wi02,Cooking,1.0789086291040917e-10
UserA,h12_wi02,Natural Gas,2.7755575615628914e-17
UserA,h13_wi02,EE,3.726576045365723e-18
UserA,h13_wi02,Hot water,-8.580749398922401e-17
UserA,h13_wi02,Heat,0.0
