s_names,t_names,values
UserA,PV sys,-5.675546446939441e-10
UserA,National Grid EE,0.0
UserA,Storage EE,-0.0
UserA,Gas Boiler,1.0
UserA,HP,1.1351436455565044e-09
UserA,AC,0.9999999994341132
UserA,Storage HW,0.0
UserA,Radiators,1.9999999987554402
UserA,Floor heating,1.2442387412644481e-09
UserA,Induction stove,-0.0
UserA,Gas stove,0.9999999995553066
UserA,Gas National Grid,1.0
UserB,PV sys,1.0
UserB,National Grid EE,0.0
UserB,Storage EE,0.0
UserB,Gas Boiler,1.0000000096379416
UserB,HP,-1.7251574910684626e-08
UserB,AC,1.000000008621499
UserB,Storage HW,0.0
UserB,Radiators,2.0
UserB,Floor heating,0.0
UserB,Induction stove,0.0
UserB,Gas stove,1.0
UserB,Gas National Grid,2.0
UserC,PV sys,-9.802052732871616e-08
UserC,National Grid EE,0.0
UserC,Storage EE,-0.0
UserC,Gas Boiler,0.9999999999810895
UserC,HP,0.0
UserC,AC,1.0
UserC,Storage HW,-0.0
UserC,Radiators,1.9999999999654516
UserC,Floor heating,3.4440961708579474e-11
UserC,Induction stove,-0.0
UserC,Gas stove,1.0
UserC,Gas National Grid,2.0
UserD,PV sys,0.0
UserD,National Grid EE,2.0
UserD,Storage EE,-0.0
UserD,Gas Boiler,1.000000000000299
UserD,HP,0.0
UserD,AC,1.0
UserD,Storage HW,-0.0
UserD,Radiators,2.0
UserD,Floor heating,0.0
UserD,Induction stove,0.0
UserD,Gas stove,1.0
UserD,Gas National Grid,2.0
