winter_1,winter_2,winter_3,winter_4,winter_5,winter_6,winter_min,winter_max,mid-cold_1,mid-cold_2,mid-cold_3,mid-cold_4,mid-cold_5,mid-cold_6,mid-cold_min,mid-cold_max,mid-warm_1,mid-warm_2,mid-warm_3,mid-warm_4,mid-warm_5,mid-warm_6,mid-warm_min,mid-warm_max,summer_1,summer_2,summer_3,summer_4,summer_5,summer_6,summer_min,summer_max
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39,6.445,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.44,0.0,0.0,23.05,0.0,29.56,0.0,0.0,9.95,38.52,46.78,5.035,9.22,34.14,7.275,0.0,23.27
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.98,67.465,0.0,0.0,10.46,36.870000000000005,0.0,92.48,27.85,63.64,120.685,21.545,121.26,48.95,2.73,110.97,111.4,132.195,36.65,54.81,110.995,91.84,12.2,104.09
0.0,0.0,4.64,157.12,71.14,0.0,0.0,146.16,59.225,279.56,210.26,28.53,83.95,199.84,21.3,313.23,80.57,263.74,323.28,57.19,277.96,175.36,14.82,340.91,243.89,308.04999999999995,72.225,109.24,286.235,273.32500000000005,24.67,316.93
42.63,329.66,119.14,406.27,339.45,114.97,8.48,420.68,108.215,488.82,423.42,52.599999999999994,143.19,369.61,12.6,517.89,139.5,460.58000000000004,511.64,81.455,428.63,335.45,25.48,549.53,385.52,471.855,122.89,164.74,457.43,453.005,46.54,506.92
51.65,529.96,176.78,590.14,526.73,204.87,14.15,631.85,131.545,644.1,582.27,57.05,224.59,500.065,42.55,672.09,221.2,602.485,646.77,93.905,507.84,481.86,38.85,697.21,501.28,595.3050000000001,132.82999999999998,249.66,585.76,587.45,102.38,663.12
56.99,649.49,216.8,712.12,633.71,315.04,36.71,760.97,152.45,742.935,671.88,58.695,412.53,517.025,28.04,779.22,285.83,691.3,732.535,102.83,545.06,542.11,37.38,786.59,564.72,674.2950000000001,140.64,341.7,668.755,669.9000000000001,70.46,755.63
61.38,703.97,248.59,767.73,672.66,506.79,19.44,834.57,204.885,789.76,700.7,67.675,574.68,496.87,30.11,822.84,425.55,719.3050000000001,771.2,94.29,588.34,514.69,33.12,818.6,572.83,708.9549999999999,142.76,480.37,707.175,707.895,57.67,787.6
61.87,692.31,254.86,760.73,643.57,622.9,12.75,842.81,247.885,782.01,673.8,57.394999999999996,622.56,373.59000000000003,30.04,791.89,480.79,696.95,758.77,93.435,573.46,480.71,28.2,789.98,513.22,700.47,146.75,552.43,702.8199999999999,699.09,86.71,785.14
54.59,623.58,250.24,711.72,541.8,578.41,8.97,776.43,241.91,719.435,582.25,58.355000000000004,574.09,276.31,33.65,733.72,519.03,628.1,698.935,99.14,477.44,383.06,38.83,727.17,380.52,649.815,135.25,557.97,654.9649999999999,648.1,76.44,731.44
44.56,481.31,192.99,593.53,370.99,445.68,4.39,648.31,196.025,604.8699999999999,436.84,44.77,439.65,168.555,22.44,611.69,436.94,502.675,588.615,76.955,338.54,256.97,29.57,613.72,230.04,554.855,96.195,495.43,562.76,543.9300000000001,49.17,626.47
22.82,248.0,99.45,416.14,107.05,230.03,9.53,446.13,119.80000000000001,441.25,216.08,34.705,270.51,136.905,21.97,450.64,314.75,326.565,434.98,68.55000000000001,210.65,144.76,27.47,459.36,148.85,419.68,75.09,376.66,426.44500000000005,395.595,79.57,473.06
0.0,0.0,0.0,174.8,0.0,0.0,0.0,181.24,7.275,229.47,0.0,0.0,96.54,58.66,0.0,241.1,133.53,111.27000000000001,235.31,39.93,163.67,49.28,5.8,253.3,89.75,248.505,60.305,220.22,253.44,210.79500000000002,28.02,278.84
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.32,0.0,0.0,7.05,5.63,0.0,41.4,1.36,0.0,53.905,0.0,53.17,0.0,0.0,47.96,59.44,83.275,26.200000000000003,69.01,83.285,43.3,0.96,79.73
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38,0.0,0.0,0.0,13.32,23.27,2.0300000000000002,9.36,17.62,0.0,0.0,10.12
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
