s_names,th_names,n_names,values
UserA,h01_wi01,EE,0.2343854219303388
UserA,h01_wi01,Hot water,1.012732910069137
UserA,h01_wi01,Heat,0.8101863287307141
UserA,h01_wi01,Cooling,0.0
UserA,h01_wi01,Cooking,0.0
UserA,h01_wi01,Natural Gas,0.09744374925888602
UserA,h02_wi01,EE,0.1408675991697237
UserA,h02_wi01,Hot water,1.1701082921993229
UserA,h02_wi01,Heat,0.9360866344348628
UserA,h02_wi01,Cooling,0.0
UserA,h02_wi01,Cooking,0.0
UserA,h02_wi01,Natural Gas,0.11258619217067563
UserA,h03_wi01,EE,0.18208336539100856
UserA,h03_wi01,Hot water,1.50801108562997
UserA,h03_wi01,Heat,1.20640886931879
UserA,h03_wi01,Cooling,0.0
UserA,h03_wi01,Cooking,0.0
UserA,h03_wi01,Natural Gas,0.14509872897970963
UserA,h04_wi01,EE,0.17423394916113466
UserA,h04_wi01,Hot water,1.9709005347096773
UserA,h04_wi01,Heat,1.576720428832666
UserA,h04_wi01,Cooling,0.0
UserA,h04_wi01,Cooking,0.0
UserA,h04_wi01,Natural Gas,0.18963730758890948
UserA,h05_wi01,EE,0.1562510000000001
UserA,h05_wi01,Hot water,2.203975625338847
UserA,h05_wi01,Heat,1.763180501461938
UserA,h05_wi01,Cooling,0.0
UserA,h05_wi01,Cooking,0.003110168656653025
UserA,h05_wi01,Natural Gas,0.21277420147199058
UserA,h06_wi01,EE,0.1725007000000001
UserA,h06_wi01,Hot water,2.0903895639120362
UserA,h06_wi01,Heat,1.672311652259116
UserA,h06_wi01,Cooling,0.0
UserA,h06_wi01,Cooking,0.01239846983273267
UserA,h06_wi01,Natural Gas,0.20396766378954836
UserA,h07_wi01,EE,0.3722501
UserA,h07_wi01,Hot water,2.0188065670214805
UserA,h07_wi01,Heat,1.615044388041326
UserA,h07_wi01,Cooling,0.0
UserA,h07_wi01,Cooking,0.01711047274324019
UserA,h07_wi01,Natural Gas,0.19815683053850436
UserA,h08_wi01,EE,0.2244179000000002
UserA,h08_wi01,Hot water,2.6512994975034725
UserA,h08_wi01,Heat,1.512276902976093
UserA,h08_wi01,Cooling,0.0
UserA,h08_wi01,Cooking,0.01593653016887095
UserA,h08_wi01,Natural Gas,0.2587461518959435
UserA,h09_wi01,EE,0.339085516666667
UserA,h09_wi01,Hot water,3.2091143226274603
UserA,h09_wi01,Heat,1.423819052955894
UserA,h09_wi01,Cooling,0.0
UserA,h09_wi01,Cooking,0.01153554412402874
UserA,h09_wi01,Natural Gas,0.31141260847897895
UserA,h10_wi01,EE,0.3465023343744203
UserA,h10_wi01,Hot water,1.6963069710718728
UserA,h10_wi01,Heat,1.357044844440719
UserA,h10_wi01,Cooling,0.0
UserA,h10_wi01,Cooking,0.002867978070237247
UserA,h10_wi01,Natural Gas,0.16387167261830593
UserA,h11_wi01,EE,0.3038349177077535
UserA,h11_wi01,Hot water,1.6451237560362462
UserA,h11_wi01,Heat,1.316099005717896
UserA,h11_wi01,Cooling,0.0
UserA,h11_wi01,Cooking,0.02618774994992272
UserA,h11_wi01,Natural Gas,0.16427591039167513
UserA,h12_wi01,EE,0.2602505500000001
UserA,h12_wi01,Hot water,1.636732459697391
UserA,h12_wi01,Heat,1.309385968642278
UserA,h12_wi01,Cooling,0.0
UserA,h12_wi01,Cooking,0.2399868468707511
UserA,h12_wi01,Natural Gas,0.2123257212561748
UserA,h13_wi01,EE,0.6077528010410862
UserA,h13_wi01,Hot water,1.649698434895126
UserA,h13_wi01,Heat,1.319758748807472
UserA,h13_wi01,Cooling,0.0
UserA,h13_wi01,Cooking,0.2526476357300575
UserA,h13_wi01,Natural Gas,0.2164665105635889
UserA,h14_wi01,EE,1.200002916666664
UserA,h14_wi01,Hot water,1.7036566978516439
UserA,h14_wi01,Heat,1.362925359201841
UserA,h14_wi01,Cooling,0.0
UserA,h14_wi01,Cooking,0.04194507207093642
UserA,h14_wi01,Natural Gas,0.17350873126336167
UserA,h15_wi01,EE,0.31900066770775326
UserA,h15_wi01,Hot water,1.7787217872232208
UserA,h15_wi01,Heat,1.422977430739662
UserA,h15_wi01,Cooling,0.0
UserA,h15_wi01,Cooking,0.0118069534138995
UserA,h15_wi01,Natural Gas,0.17384423901805054
UserA,h16_wi01,EE,0.27
UserA,h16_wi01,Hot water,1.8474882609179417
UserA,h16_wi01,Heat,1.477990609732595
UserA,h16_wi01,Cooling,0.0
UserA,h16_wi01,Cooking,0.01174721739794708
UserA,h16_wi01,Natural Gas,0.18044721468662236
UserA,h17_wi01,EE,0.2560835166666667
UserA,h17_wi01,Hot water,1.9011668008082334
UserA,h17_wi01,Heat,1.520933441673832
UserA,h17_wi01,Cooling,0.0
UserA,h17_wi01,Cooking,0.01329905520366749
UserA,h17_wi01,Natural Gas,0.18596671383786623
UserA,h18_wi01,EE,0.23741681666666675
UserA,h18_wi01,Hot water,2.12178881221728
UserA,h18_wi01,Heat,1.520964302210154
UserA,h18_wi01,Cooling,0.0
UserA,h18_wi01,Cooking,0.04141848610422543
UserA,h18_wi01,Natural Gas,0.21362048655006405
UserA,h19_wi01,EE,0.3165852000000002
UserA,h19_wi01,Hot water,3.8092038397283257
UserA,h19_wi01,Heat,1.451397294287336
UserA,h19_wi01,Cooling,0.0
UserA,h19_wi01,Cooking,0.2746519166497473
UserA,h19_wi01,Natural Gas,0.42927952869926633
UserA,h20_wi01,EE,0.3899403833333336
UserA,h20_wi01,Hot water,2.2076012436533072
UserA,h20_wi01,Heat,1.270032770982458
UserA,h20_wi01,Cooling,0.0
UserA,h20_wi01,Cooking,0.2889924563054548
UserA,h20_wi01,Natural Gas,0.2784526438351546
UserA,h21_wi01,EE,0.4328297237069686
UserA,h21_wi01,Hot water,1.216097316246768
UserA,h21_wi01,Heat,0.972877853672819
UserA,h21_wi01,Cooling,0.0
UserA,h21_wi01,Cooking,0.05487337439298618
UserA,h21_wi01,Natural Gas,0.12955080869171628
UserA,h22_wi01,EE,0.2272076166666665
UserA,h22_wi01,Hot water,0.9744318193091875
UserA,h22_wi01,Heat,0.7795454561227545
UserA,h22_wi01,Cooling,0.0
UserA,h22_wi01,Cooking,0.02014402346638903
UserA,h22_wi01,Natural Gas,0.0983617699453345
UserA,h23_wi01,EE,0.2920477166666667
UserA,h23_wi01,Hot water,0.9195657422060612
UserA,h23_wi01,Heat,0.7356525944402534
UserA,h23_wi01,Cooling,0.0
UserA,h23_wi01,Cooking,0.01613781457044975
UserA,h23_wi01,Natural Gas,0.092167136708446
UserA,h24_wi01,EE,0.9466704500300263
UserA,h24_wi01,Hot water,0.9629744495514041
