s_names,a_names,values
UserA,PV,3.0
UserA,National Grid import,3.0
UserA,National Grid export,3.0
UserA,Storing EE,3.0
UserA,Gas Boiler heating,-4.301175506528945e-09
UserA,HP heating winter,6.99999999732143
UserA,HP heating summer,6.99999999732143
UserA,HP cooling,6.99999999732143
UserA,AC cooling,1.5306115417546964e-09
UserA,Storing HW,-2.703291551730519e-09
UserA,Radiators heater,15.0
UserA,Floor heater,4.536134872515755e-08
UserA,Induction stove cooking,3.9999999996534004
UserA,Gas stove cooking,-1.0362734879801902e-08
UserA,Natural Gas supply grid,1.0
UserB,PV,2.0
UserB,National Grid import,3.0
UserB,National Grid export,3.0
UserB,Storing EE,3.0
UserB,Gas Boiler heating,24.0
UserB,HP heating winter,0.0
UserB,HP heating summer,0.0
UserB,HP cooling,0.0
UserB,AC cooling,4.0
UserB,Storing HW,6.503769272689617e-07
UserB,Radiators heater,26.999999999999993
UserB,Floor heater,0.0
UserB,Induction stove cooking,0.0
UserB,Gas stove cooking,4.0
UserB,Natural Gas supply grid,1.0
UserC,PV,6.0
UserC,National Grid import,3.0
UserC,National Grid export,3.0
UserC,Storing EE,12.0
UserC,Gas Boiler heating,0.0
UserC,HP heating winter,14.0
UserC,HP heating summer,14.0
UserC,HP cooling,14.0
UserC,AC cooling,0.0
UserC,Storing HW,0.0
UserC,Radiators heater,39.0
UserC,Floor heater,0.0
UserC,Induction stove cooking,4.0
UserC,Gas stove cooking,0.0
UserC,Natural Gas supply grid,1.0
UserD,PV,4.0
UserD,National Grid import,3.0
UserD,National Grid export,3.0
UserD,Storing EE,3.0
UserD,Gas Boiler heating,24.0
UserD,HP heating winter,7.0
UserD,HP heating summer,7.0
UserD,HP cooling,7.0
UserD,AC cooling,0.0
UserD,Storing HW,0.0
UserD,Radiators heater,50.99999998548703
UserD,Floor heater,1.1951845659272089e-08
UserD,Induction stove cooking,0.0
UserD,Gas stove cooking,4.0
UserD,Natural Gas supply grid,2.0
