s_names,t_names,values
UserA,PV sys,3.0
UserA,National Grid EE,3.0
UserA,Storage EE,3.0
UserA,Gas Boiler,-4.301175506528945e-09
UserA,HP,6.99999999732143
UserA,AC,1.5306115417546964e-09
UserA,Storage HW,-2.703291551730519e-09
UserA,Radiators,15.0
UserA,Floor heating,4.536134872515755e-08
UserA,Induction stove,3.9999999996534004
UserA,Gas stove,-1.0362734879801902e-08
UserA,Gas National Grid,1.0
UserB,PV sys,2.0
UserB,National Grid EE,3.0
UserB,Storage EE,3.0
UserB,Gas Boiler,24.0
UserB,HP,0.0
UserB,AC,4.0
UserB,Storage HW,6.503769272689617e-07
UserB,Radiators,26.999999999999993
UserB,Floor heating,0.0
UserB,Induction stove,0.0
UserB,Gas stove,4.0
UserB,Gas National Grid,1.0
UserC,PV sys,6.0
UserC,National Grid EE,3.0
UserC,Storage EE,12.0
UserC,Gas Boiler,0.0
UserC,HP,14.0
UserC,AC,0.0
UserC,Storage HW,0.0
UserC,Radiators,39.0
UserC,Floor heating,0.0
UserC,Induction stove,4.0
UserC,Gas stove,0.0
UserC,Gas National Grid,1.0
UserD,PV sys,4.0
UserD,National Grid EE,3.0
UserD,Storage EE,3.0
UserD,Gas Boiler,24.0
UserD,HP,7.0
UserD,AC,0.0
UserD,Storage HW,0.0
UserD,Radiators,50.99999998548703
UserD,Floor heating,1.1951845659272089e-08
UserD,Induction stove,0.0
UserD,Gas stove,4.0
UserD,Gas National Grid,2.0
