s_names,a_names,values
UserA,PV,0.0
UserA,National Grid import,3.0
UserA,National Grid export,3.0
UserA,Storing EE,0.0
UserA,Gas Boiler heating,24.0
UserA,HP heating winter,0.0
UserA,HP heating summer,0.0
UserA,HP cooling,0.0
UserA,AC cooling,4.0
UserA,Storing HW,5.616335294621058e-07
UserA,Radiators heater,15.0
UserA,Floor heater,0.0
UserA,Induction stove cooking,0.0
UserA,Gas stove cooking,4.0
UserA,Natural Gas supply grid,1.0
UserB,PV,0.0
UserB,National Grid import,3.0
UserB,National Grid export,3.0
UserB,Storing EE,4.7953011385344794e-09
UserB,Gas Boiler heating,24.00000056289433
UserB,HP heating winter,-1.0826759186042664e-07
UserB,HP heating summer,-1.0826759186042664e-07
UserB,HP cooling,-1.0826759186042664e-07
UserB,AC cooling,4.000000061867195
UserB,Storing HW,0.0
UserB,Radiators heater,26.999999973232196
UserB,Floor heater,2.0819403331714757e-08
UserB,Induction stove cooking,0.0
UserB,Gas stove cooking,4.0
UserB,Natural Gas supply grid,1.0
UserC,PV,-1.720753416863382e-08
UserC,National Grid import,3.0
UserC,National Grid export,3.0
UserC,Storing EE,0.0
UserC,Gas Boiler heating,23.999999992217816
UserC,HP heating winter,0.0
UserC,HP heating summer,0.0
UserC,HP cooling,0.0
UserC,AC cooling,4.0
UserC,Storing HW,0.0
UserC,Radiators heater,38.99999999044526
UserC,Floor heater,1.5434552284558265e-08
UserC,Induction stove cooking,0.0
UserC,Gas stove cooking,4.0
UserC,Natural Gas supply grid,2.0
UserD,PV,0.0
UserD,National Grid import,4.0
UserD,National Grid export,4.0
UserD,Storing EE,0.0
UserD,Gas Boiler heating,24.000000243171662
UserD,HP heating winter,-8.091427932196249e-08
UserD,HP heating summer,-8.091427932196249e-08
UserD,HP cooling,-8.091427932196249e-08
UserD,AC cooling,4.000000046236731
UserD,Storing HW,0.0
UserD,Radiators heater,51.0
UserD,Floor heater,1.686081884437039e-08
UserD,Induction stove cooking,0.0
UserD,Gas stove cooking,4.000000002047401
UserD,Natural Gas supply grid,2.0
