s_names,t_names,values
UserA,PV sys,0.0
UserA,National Grid EE,3.0
UserA,Storage EE,0.0
UserA,Gas Boiler,24.000000260633662
UserA,HP,-2.341865394051126e-09
UserA,AC,4.000000001338209
UserA,Storage HW,0.0
UserA,Radiators,14.999999952308915
UserA,Floor heating,6.676751214969692e-08
UserA,Induction stove,0.0
UserA,Gas stove,3.999999130616622
UserA,Gas National Grid,1.0
UserB,PV sys,0.0
UserB,National Grid EE,3.0
UserB,Storage EE,0.0
UserB,Gas Boiler,24.0
UserB,HP,0.0
UserB,AC,4.0
UserB,Storage HW,9.087072451183927e-08
UserB,Radiators,26.999999999999993
UserB,Floor heating,0.0
UserB,Induction stove,0.0
UserB,Gas stove,4.0
UserB,Gas National Grid,1.0
UserC,PV sys,0.0
UserC,National Grid EE,3.0
UserC,Storage EE,0.0
UserC,Gas Boiler,24.0
UserC,HP,0.0
UserC,AC,4.0
UserC,Storage HW,0.0
UserC,Radiators,39.0
UserC,Floor heating,0.0
UserC,Induction stove,0.0
UserC,Gas stove,4.0
UserC,Gas National Grid,2.0
UserD,PV sys,0.0
UserD,National Grid EE,3.9999999994839945
UserD,Storage EE,1.548014436121137e-09
UserD,Gas Boiler,24.000000000028614
UserD,HP,0.0
UserD,AC,4.0
UserD,Storage HW,0.0
UserD,Radiators,50.999999999999986
UserD,Floor heating,0.0
UserD,Induction stove,0.0
UserD,Gas stove,3.999999973824029
UserD,Gas National Grid,2.0
