s_names,t_names,values
UserA,PV sys,3.0
UserA,National Grid EE,3.0
UserA,Storage EE,3.0
UserA,Gas Boiler,0.0
UserA,HP,7.0
UserA,AC,0.0
UserA,Storage HW,6.0
UserA,Radiators,15.0
UserA,Floor heating,0.0
UserA,Induction stove,4.0
UserA,Gas stove,0.0
UserA,Gas National Grid,1.0
UserB,PV sys,4.0
UserB,National Grid EE,3.0
UserB,Storage EE,3.0
UserB,Gas Boiler,0.0
UserB,HP,7.0
UserB,AC,0.0
UserB,Storage HW,18.0
UserB,Radiators,26.999999986264104
UserB,Floor heating,1.0683470805296318e-08
UserB,Induction stove,4.0
UserB,Gas stove,0.0
UserB,Gas National Grid,1.0
UserC,PV sys,6.0
UserC,National Grid EE,3.0
UserC,Storage EE,12.0
UserC,Gas Boiler,0.0
UserC,HP,14.0
UserC,AC,0.0
UserC,Storage HW,6.0
UserC,Radiators,39.0
UserC,Floor heating,0.0
UserC,Induction stove,4.0
UserC,Gas stove,0.0
UserC,Gas National Grid,1.0
UserD,PV sys,4.0
UserD,National Grid EE,3.0
UserD,Storage EE,3.0
UserD,Gas Boiler,24.0
UserD,HP,7.0
UserD,AC,0.0
UserD,Storage HW,6.0
UserD,Radiators,50.99999994446828
UserD,Floor heating,4.573199865136561e-08
UserD,Induction stove,0.0
UserD,Gas stove,4.0
UserD,Gas National Grid,2.0
