s_names,t_names,values
UserA,PV sys,0.0
UserA,National Grid EE,0.0
UserA,Storage EE,0.0
UserA,Gas Boiler,23.999999993402977
UserA,HP,0.0
UserA,AC,4.0
UserA,Storage HW,5.534532142682184e-07
UserA,Radiators,15.0
UserA,Floor heating,0.0
UserA,Induction stove,0.0
UserA,Gas stove,3.9999996455834546
UserA,Gas National Grid,1.0
UserB,PV sys,0.0
UserB,National Grid EE,-0.0
UserB,Storage EE,0.0
UserB,Gas Boiler,23.999999995290874
UserB,HP,0.0
UserB,AC,4.0
UserB,Storage HW,1.0339890619803119e-06
UserB,Radiators,27.0
UserB,Floor heating,0.0
UserB,Induction stove,2.2630801734445796e-08
UserB,Gas stove,3.9999999797151937
UserB,Gas National Grid,1.0
UserC,PV sys,0.0
UserC,National Grid EE,-0.0
UserC,Storage EE,-3.017089678753055e-08
UserC,Gas Boiler,24.0
UserC,HP,0.0
UserC,AC,4.0
UserC,Storage HW,7.950000000000004e-07
UserC,Radiators,39.0
UserC,Floor heating,0.0
UserC,Induction stove,0.0
UserC,Gas stove,4.0
UserC,Gas National Grid,2.0
UserD,PV sys,0.0
UserD,National Grid EE,1.0
UserD,Storage EE,0.0
UserD,Gas Boiler,24.0
UserD,HP,0.0
UserD,AC,4.0
UserD,Storage HW,0.0
UserD,Radiators,51.0
UserD,Floor heating,0.0
UserD,Induction stove,0.0
UserD,Gas stove,4.0
UserD,Gas National Grid,2.0
