s_names,t_names,values
UserA,PV sys,0.0
UserA,National Grid EE,0.0
UserA,Storage EE,0.0
UserA,Gas Boiler,1.0
UserA,HP,0.0
UserA,AC,1.0
UserA,Storage HW,9.224220237803638e-08
UserA,Radiators,2.0
UserA,Floor heating,0.0
UserA,Induction stove,0.0
UserA,Gas stove,0.9999999101458636
UserA,Gas National Grid,1.0
UserB,PV sys,3.9159802223659526e-09
UserB,National Grid EE,0.0
UserB,Storage EE,-0.0
UserB,Gas Boiler,0.9999999995969916
UserB,HP,0.0
UserB,AC,1.0
UserB,Storage HW,1.7315458725312892e-07
UserB,Radiators,2.0
UserB,Floor heating,-0.0
UserB,Induction stove,6.907698435210004e-09
UserB,Gas stove,0.9999999936890549
UserB,Gas National Grid,1.0
UserC,PV sys,-0.0
UserC,National Grid EE,0.0
UserC,Storage EE,-5.8614315158704756e-09
UserC,Gas Boiler,1.0
UserC,HP,0.0
UserC,AC,1.0
UserC,Storage HW,1.33323076923077e-07
UserC,Radiators,2.0
UserC,Floor heating,0.0
UserC,Induction stove,0.0
UserC,Gas stove,1.0
UserC,Gas National Grid,2.0
UserD,PV sys,0.0
UserD,National Grid EE,2.0
UserD,Storage EE,0.0
UserD,Gas Boiler,1.0
UserD,HP,0.0
UserD,AC,1.0
UserD,Storage HW,0.0
UserD,Radiators,2.0
UserD,Floor heating,0.0
UserD,Induction stove,0.0
UserD,Gas stove,1.0
UserD,Gas National Grid,2.0
