s_names,t_names,values
UserA,PV sys,0.0
UserA,National Grid EE,0.0
UserA,Storage EE,0.0
UserA,Gas Boiler,1.0
UserA,HP,0.0
UserA,AC,1.0
UserA,Storage HW,0.0
UserA,Radiators,2.0
UserA,Floor heating,0.0
UserA,Induction stove,0.0
UserA,Gas stove,1.0
UserA,Gas National Grid,1.0
UserB,PV sys,0.0
UserB,National Grid EE,0.0
UserB,Storage EE,2.849982641079412e-09
UserB,Gas Boiler,0.9999999952731307
UserB,HP,0.0
UserB,AC,1.0
UserB,Storage HW,-5.733351210508177e-09
UserB,Radiators,2.0
UserB,Floor heating,0.0
UserB,Induction stove,4.725285719968998e-09
UserB,Gas stove,0.9999999834974357
UserB,Gas National Grid,1.0
UserC,PV sys,0.0
UserC,National Grid EE,0.0
UserC,Storage EE,-4.264958297848406e-09
UserC,Gas Boiler,1.0000000181894215
UserC,HP,0.0
UserC,AC,1.0
UserC,Storage HW,-6.440182912661959e-08
UserC,Radiators,2.0
UserC,Floor heating,0.0
UserC,Induction stove,0.0
UserC,Gas stove,1.0
UserC,Gas National Grid,2.0
UserD,PV sys,0.0
UserD,National Grid EE,2.0
UserD,Storage EE,-0.0
UserD,Gas Boiler,0.9999999999983393
UserD,HP,9.72360248631283e-12
UserD,AC,0.9999999999958915
UserD,Storage HW,-0.0
UserD,Radiators,1.9999999999999996
UserD,Floor heating,-0.0
UserD,Induction stove,0.0
UserD,Gas stove,0.9999999992436421
UserD,Gas National Grid,2.0
