s_names,t_names,values
UserA,PV sys,-4.863115600801145e-08
UserA,National Grid EE,3.0
UserA,Storage EE,0.0
UserA,Gas Boiler,23.99999740187937
UserA,HP,7.577851841970624e-07
UserA,AC,3.999999566979895
UserA,Storage HW,0.0
UserA,Radiators,15.0
UserA,Floor heating,0.0
UserA,Induction stove,0.0
UserA,Gas stove,4.0
UserA,Gas National Grid,2.0
UserB,PV sys,0.0
UserB,National Grid EE,3.0
UserB,Storage EE,0.0
UserB,Gas Boiler,24.0
UserB,HP,0.0
UserB,AC,4.0
UserB,Storage HW,5.447265812821559e-07
UserB,Radiators,26.999999999999993
UserB,Floor heating,0.0
UserB,Induction stove,0.0
UserB,Gas stove,4.0
UserB,Gas National Grid,2.0
UserC,PV sys,0.0
UserC,National Grid EE,3.0
UserC,Storage EE,0.0
UserC,Gas Boiler,24.000000000038696
UserC,HP,0.0
UserC,AC,4.0
UserC,Storage HW,0.0
UserC,Radiators,38.99999999999999
UserC,Floor heating,0.0
UserC,Induction stove,0.0
UserC,Gas stove,4.0
UserC,Gas National Grid,2.0
UserD,PV sys,-3.290342688271873e-11
UserD,National Grid EE,4.000000001013684
UserD,Storage EE,-3.0410533048668687e-09
UserD,Gas Boiler,24.000000000040426
UserD,HP,0.0
UserD,AC,4.0
UserD,Storage HW,0.0
UserD,Radiators,50.999999999999986
UserD,Floor heating,0.0
UserD,Induction stove,0.0
UserD,Gas stove,4.0
UserD,Gas National Grid,2.0
