s_names,th_names,t_names,values
UserA,h01_wi01,PV sys,0.0
UserA,h01_wi01,National Grid EE,0.511846488102792
UserA,h01_wi01,Storage EE,0.0
UserA,h01_wi01,Gas Boiler,0.0
UserA,h01_wi01,HP,1.0127329107418572
UserA,h01_wi01,AC,0.0
UserA,h01_wi01,Storage HW,0.0
UserA,h01_wi01,Radiators,0.8101863281501197
UserA,h01_wi01,Floor heating,5.805943968082625e-10
UserA,h01_wi01,Induction stove,0.0
UserA,h01_wi01,Gas stove,0.0
UserA,h01_wi01,Gas National Grid,0.0
UserA,h02_wi01,PV sys,0.0
UserA,h02_wi01,National Grid EE,0.4614452145103947
UserA,h02_wi01,Storage EE,0.0
UserA,h02_wi01,Gas Boiler,0.0
UserA,h02_wi01,HP,1.1701082929629405
UserA,h02_wi01,AC,0.0
UserA,h02_wi01,Storage HW,0.0
UserA,h02_wi01,Radiators,0.9360866338542685
UserA,h02_wi01,Floor heating,5.805943968082625e-10
UserA,h02_wi01,Induction stove,0.0
UserA,h02_wi01,Gas stove,0.0
UserA,h02_wi01,Gas National Grid,0.0
UserA,h03_wi01,PV sys,0.0
UserA,h03_wi01,National Grid EE,0.5952370890094626
UserA,h03_wi01,Storage EE,0.0
UserA,h03_wi01,Gas Boiler,0.0
UserA,h03_wi01,HP,1.508011086551205
UserA,h03_wi01,AC,0.0
UserA,h03_wi01,Storage HW,0.0
UserA,h03_wi01,Radiators,1.2064088686183558
UserA,h03_wi01,Floor heating,7.004342297862809e-10
UserA,h03_wi01,Induction stove,0.0
UserA,h03_wi01,Gas stove,0.0
UserA,h03_wi01,Gas National Grid,0.0
UserA,h04_wi01,PV sys,0.0
UserA,h04_wi01,National Grid EE,0.7142066995653942
UserA,h04_wi01,Storage EE,0.0
UserA,h04_wi01,Gas Boiler,0.0
UserA,h04_wi01,HP,1.9709005359136886
UserA,h04_wi01,AC,0.0
UserA,h04_wi01,Storage HW,0.0
UserA,h04_wi01,Radiators,1.5767204279172309
UserA,h04_wi01,Floor heating,9.154350463133668e-10
UserA,h04_wi01,Induction stove,0.0
UserA,h04_wi01,Gas stove,0.0
UserA,h04_wi01,Gas National Grid,0.0
UserA,h05_wi01,PV sys,0.0
UserA,h05_wi01,National Grid EE,0.764226830360079
UserA,h05_wi01,Storage EE,0.0
UserA,h05_wi01,Gas Boiler,0.0
UserA,h05_wi01,HP,2.203975626685243
UserA,h05_wi01,AC,0.0
UserA,h05_wi01,Storage HW,0.0
UserA,h05_wi01,Radiators,1.7631805004382453
UserA,h05_wi01,Floor heating,1.0236927197103837e-09
UserA,h05_wi01,Induction stove,0.003110168656653025
UserA,h05_wi01,Gas stove,0.0
UserA,h05_wi01,Gas National Grid,0.0
UserA,h06_wi01,PV sys,0.0
UserA,h06_wi01,National Grid EE,0.7617414630251148
UserA,h06_wi01,Storage EE,0.0
UserA,h06_wi01,Gas Boiler,0.0
UserA,h06_wi01,HP,2.090389565189043
UserA,h06_wi01,AC,0.0
UserA,h06_wi01,Storage HW,0.0
UserA,h06_wi01,Radiators,1.6723116512881813
UserA,h06_wi01,Floor heating,9.709347750188104e-10
UserA,h06_wi01,Induction stove,0.012398469832731296
UserA,h06_wi01,Gas stove,0.0
UserA,h06_wi01,Gas National Grid,0.0
UserA,h07_wi01,PV sys,0.0
UserA,h07_wi01,National Grid EE,0.9481617535904621
UserA,h07_wi01,Storage EE,0.0
UserA,h07_wi01,Gas Boiler,0.0
UserA,h07_wi01,HP,2.018806568254757
UserA,h07_wi01,AC,0.0
UserA,h07_wi01,Storage HW,0.0
UserA,h07_wi01,Radiators,1.6150443871036404
UserA,h07_wi01,Floor heating,9.376857222934232e-10
UserA,h07_wi01,Induction stove,0.017110472743238958
UserA,h07_wi01,Gas stove,0.0
UserA,h07_wi01,Gas National Grid,0.0
UserA,h08_wi01,PV sys,0.483
UserA,h08_wi01,National Grid EE,0.4890500311817644
UserA,h08_wi01,Storage EE,0.0
UserA,h08_wi01,Gas Boiler,0.0
UserA,h08_wi01,HP,2.6512994986582736
UserA,h08_wi01,AC,0.0
UserA,h08_wi01,Storage HW,0.0
UserA,h08_wi01,Radiators,1.5122769020980735
UserA,h08_wi01,Floor heating,8.780194962904721e-10
UserA,h08_wi01,Induction stove,0.015936530168869645
UserA,h08_wi01,Gas stove,0.0
UserA,h08_wi01,Gas National Grid,0.0
UserA,h09_wi01,PV sys,1.3005
UserA,h09_wi01,National Grid EE,0.0
UserA,h09_wi01,Storage EE,-0.06682435407717335
UserA,h09_wi01,Gas Boiler,0.0
UserA,h09_wi01,HP,3.2091143237147133
UserA,h09_wi01,AC,0.0
UserA,h09_wi01,Storage HW,0.0
UserA,h09_wi01,Radiators,1.4238190521292327
UserA,h09_wi01,Floor heating,8.266613642150389e-10
UserA,h09_wi01,Induction stove,0.01153554412402874
UserA,h09_wi01,Gas stove,0.0
UserA,h09_wi01,Gas National Grid,0.0
UserA,h10_wi01,PV sys,1.7660399999999998
UserA,h10_wi01,National Grid EE,0.0
UserA,h10_wi01,Storage EE,-0.9509720930456744
UserA,h10_wi01,Gas Boiler,0.0
UserA,h10_wi01,HP,1.6963069721081359
UserA,h10_wi01,AC,0.0
UserA,h10_wi01,Storage HW,0.0
UserA,h10_wi01,Radiators,1.3570448436528264
UserA,h10_wi01,Floor heating,7.878926328998217e-10
UserA,h10_wi01,Induction stove,0.002867978070237247
UserA,h10_wi01,Gas stove,0.0
UserA,h10_wi01,Gas National Grid,0.0
UserA,h11_wi01,PV sys,2.03499
UserA,h11_wi01,National Grid EE,0.0
UserA,h11_wi01,Storage EE,-1.2455192791878886
UserA,h11_wi01,Gas Boiler,0.0
UserA,h11_wi01,HP,1.6451237570412425
UserA,h11_wi01,AC,0.0
UserA,h11_wi01,Storage HW,0.0
UserA,h11_wi01,Radiators,1.3160990049537764
UserA,h11_wi01,Floor heating,7.641197083647359e-10
UserA,h11_wi01,Induction stove,0.02618774994992272
UserA,h11_wi01,Gas stove,0.0
UserA,h11_wi01,Gas National Grid,0.0
UserA,h12_wi01,PV sys,2.09787
UserA,h12_wi01,National Grid EE,1.6428451875866015
UserA,h12_wi01,Storage EE,0.573628052326761
UserA,h12_wi01,Gas Boiler,0.0
UserA,h12_wi01,HP,1.636732460697261
UserA,h12_wi01,AC,0.0
UserA,h12_wi01,Storage HW,0.0
UserA,h12_wi01,Radiators,1.3093859678820559
UserA,h12_wi01,Floor heating,7.602221566530659e-10
UserA,h12_wi01,Induction stove,0.2399868468707511
UserA,h12_wi01,Gas stove,0.0
UserA,h12_wi01,Gas National Grid,0.0
UserA,h13_wi01,PV sys,1.9839600000000002
UserA,h13_wi01,National Grid EE,0.0
UserA,h13_wi01,Storage EE,-0.587371544806615
UserA,h13_wi01,Gas Boiler,0.0
UserA,h13_wi01,HP,1.649698435902917
UserA,h13_wi01,AC,0.0
UserA,h13_wi01,Storage HW,0.0
UserA,h13_wi01,Radiators,1.3197587480412274
UserA,h13_wi01,Floor heating,7.662445346963014e-10
UserA,h13_wi01,Induction stove,0.2526476357300575
UserA,h13_wi01,Gas stove,0.0
UserA,h13_wi01,Gas National Grid,0.0
UserA,h14_wi01,PV sys,1.6674600000000002
UserA,h14_wi01,National Grid EE,0.0
UserA,h14_wi01,Storage EE,0.05522493939843187
UserA,h14_wi01,Gas Boiler,0.0
UserA,h14_wi01,HP,1.7036566988923976
UserA,h14_wi01,AC,0.0
UserA,h14_wi01,Storage HW,0.0
UserA,h14_wi01,Radiators,1.3629253584105343
UserA,h14_wi01,Floor heating,7.913068268204774e-10
UserA,h14_wi01,Induction stove,0.04194507207093642
UserA,h14_wi01,Gas stove,0.0
UserA,h14_wi01,Gas National Grid,0.0
UserA,h15_wi01,PV sys,1.1502299999999999
UserA,h15_wi01,National Grid EE,0.0
UserA,h15_wi01,Storage EE,-0.3281657206078439
UserA,h15_wi01,Gas Boiler,0.0
UserA,h15_wi01,HP,1.7787218015004
UserA,h15_wi01,AC,0.0
UserA,h15_wi01,Storage HW,-1.3190629033488221e-08
UserA,h15_wi01,Radiators,1.4229774299134894
UserA,h15_wi01,Floor heating,8.261727230720652e-10
UserA,h15_wi01,Induction stove,0.011806953413898258
UserA,h15_wi01,Gas stove,0.0
UserA,h15_wi01,Gas National Grid,0.0
UserA,h16_wi01,PV sys,0.38736000000000004
UserA,h16_wi01,National Grid EE,0.0
UserA,h16_wi01,Storage EE,0.4044641217242466
UserA,h16_wi01,Gas Boiler,0.0
UserA,h16_wi01,HP,1.8474882529568308
UserA,h16_wi01,AC,0.0
UserA,h16_wi01,Storage HW,9.089717423194088e-09
UserA,h16_wi01,Radiators,1.4779906088744819
UserA,h16_wi01,Floor heating,8.581130665459721e-10
UserA,h16_wi01,Induction stove,0.01174721739794582
UserA,h16_wi01,Gas stove,0.0
UserA,h16_wi01,Gas National Grid,0.0
UserA,h17_wi01,PV sys,0.0
UserA,h17_wi01,National Grid EE,0.0
UserA,h17_wi01,Storage EE,0.7946832061916375
UserA,h17_wi01,Gas Boiler,0.0
UserA,h17_wi01,HP,1.9011667981083011
UserA,h17_wi01,AC,0.0
UserA,h17_wi01,Storage HW,3.861259756376967e-09
UserA,h17_wi01,Radiators,1.5209334407907866
UserA,h17_wi01,Floor heating,8.830454266844395e-10
UserA,h17_wi01,Induction stove,0.013299055203666255
UserA,h17_wi01,Gas stove,0.0
UserA,h17_wi01,Gas National Grid,0.0
UserA,h18_wi01,PV sys,0.0
UserA,h18_wi01,National Grid EE,0.044134732946525035
UserA,h18_wi01,Storage EE,0.8298187355245104
UserA,h18_wi01,Gas Boiler,0.0
UserA,h18_wi01,HP,2.1217888133787155
UserA,h18_wi01,AC,0.0
UserA,h18_wi01,Storage HW,0.0
UserA,h18_wi01,Radiators,1.5209643013270906
UserA,h18_wi01,Floor heating,8.830633516086044e-10
UserA,h18_wi01,Induction stove,0.04141848610422544
UserA,h18_wi01,Gas stove,0.0
UserA,h18_wi01,Gas National Grid,0.0
UserA,h19_wi01,PV sys,0.0
UserA,h19_wi01,National Grid EE,1.7264052461731698
UserA,h19_wi01,Storage EE,0.0
UserA,h19_wi01,Gas Boiler,0.0
UserA,h19_wi01,HP,3.8092038408366387
UserA,h19_wi01,AC,0.0
UserA,h19_wi01,Storage HW,0.0
UserA,h19_wi01,Radiators,1.451397293444663
UserA,h19_wi01,Floor heating,8.426731366059002e-10
UserA,h19_wi01,Induction stove,0.2746519166497461
UserA,h19_wi01,Gas stove,0.0
UserA,h19_wi01,Gas National Grid,0.0
UserA,h20_wi01,PV sys,0.0
UserA,h20_wi01,National Grid EE,1.3800859169836612
UserA,h20_wi01,Storage EE,0.0
UserA,h20_wi01,Gas Boiler,8.193041800552692e-10
UserA,h20_wi01,HP,2.2076012438038224
UserA,h20_wi01,AC,0.0
UserA,h20_wi01,Storage HW,0.0
UserA,h20_wi01,Radiators,1.270032770245084
UserA,h20_wi01,Floor heating,7.373739105952864e-10
UserA,h20_wi01,Induction stove,0.28899245630545356
UserA,h20_wi01,Gas stove,0.0
UserA,h20_wi01,Gas National Grid,0.0
UserA,h21_wi01,PV sys,0.0
UserA,h21_wi01,National Grid EE,0.8391715629732868
UserA,h21_wi01,Storage EE,0.0
UserA,h21_wi01,Gas Boiler,0.0
UserA,h21_wi01,HP,1.2160973169732983
UserA,h21_wi01,AC,0.0
UserA,h21_wi01,Storage HW,0.0
UserA,h21_wi01,Radiators,0.9728778530922246
UserA,h21_wi01,Floor heating,5.805943968082625e-10
UserA,h21_wi01,Induction stove,0.05487337439298618
UserA,h21_wi01,Gas stove,0.0
UserA,h21_wi01,Gas National Grid,0.0
UserA,h22_wi01,PV sys,0.0
UserA,h22_wi01,National Grid EE,0.0
UserA,h22_wi01,Storage EE,0.5210339365596048
UserA,h22_wi01,Gas Boiler,0.0
UserA,h22_wi01,HP,0.974431820072805
UserA,h22_wi01,AC,0.0
UserA,h22_wi01,Storage HW,0.0
UserA,h22_wi01,Radiators,0.7795454555421601
UserA,h22_wi01,Floor heating,5.805943968082625e-10
UserA,h22_wi01,Induction stove,0.02014402346638766
UserA,h22_wi01,Gas stove,0.0
UserA,h22_wi01,Gas National Grid,0.0
UserA,h23_wi01,PV sys,0.0
UserA,h23_wi01,National Grid EE,0.5655006227522907
UserA,h23_wi01,Storage EE,0.0
UserA,h23_wi01,Gas Boiler,0.0
UserA,h23_wi01,HP,0.9195657429696787
UserA,h23_wi01,AC,0.0
UserA,h23_wi01,Storage HW,0.0
UserA,h23_wi01,Radiators,0.7356525938596591
UserA,h23_wi01,Floor heating,5.805943968082625e-10
UserA,h23_wi01,Induction stove,0.016137814570448498
UserA,h23_wi01,Gas stove,0.0
UserA,h23_wi01,Gas National Grid,0.0
UserA,h24_wi01,PV sys,0.0
UserA,h24_wi01,National Grid EE,1.2133075250137877
UserA,h24_wi01,Storage EE,0.0
UserA,h24_wi01,Gas Boiler,0.0
UserA,h24_wi01,HP,0.9629744503150216
UserA,h24_wi01,AC,0.0
UserA,h24_wi01,Storage HW,0.0
UserA,h24_wi01,Radiators,0.7703795597359334
UserA,h24_wi01,Floor heating,5.805943968082625e-10
UserA,h24_wi01,Induction stove,0.002106343866843927
UserA,h24_wi01,Gas stove,0.0
UserA,h24_wi01,Gas National Grid,0.0
UserA,h01_wi02,PV sys,0.0
UserA,h01_wi02,National Grid EE,0.42281168812769543
UserA,h01_wi02,Storage EE,0.0
UserA,h01_wi02,Gas Boiler,0.0
UserA,h01_wi02,HP,1.0127329108327545
UserA,h01_wi02,AC,0.0
UserA,h01_wi02,Storage HW,0.0
UserA,h01_wi02,Radiators,0.8101863281501197
UserA,h01_wi02,Floor heating,5.805943968082625e-10
UserA,h01_wi02,Induction stove,0.0
UserA,h01_wi02,Gas stove,0.0
UserA,h01_wi02,Gas National Grid,0.0
UserA,h02_wi02,PV sys,0.0
UserA,h02_wi02,National Grid EE,0.4345782645103947
UserA,h02_wi02,Storage EE,0.0
UserA,h02_wi02,Gas Boiler,0.0
UserA,h02_wi02,HP,1.1701082929629405
UserA,h02_wi02,AC,0.0
UserA,h02_wi02,Storage HW,0.0
UserA,h02_wi02,Radiators,0.9360866338542685
UserA,h02_wi02,Floor heating,5.805943968082625e-10
UserA,h02_wi02,Induction stove,0.0
UserA,h02_wi02,Gas stove,0.0
UserA,h02_wi02,Gas National Grid,0.0
UserA,h03_wi02,PV sys,0.0
UserA,h03_wi02,National Grid EE,0.6537876056761294
UserA,h03_wi02,Storage EE,0.0
UserA,h03_wi02,Gas Boiler,0.0
UserA,h03_wi02,HP,1.508011086551205
UserA,h03_wi02,AC,0.0
UserA,h03_wi02,Storage HW,0.0
UserA,h03_wi02,Radiators,1.2064088686183558
UserA,h03_wi02,Floor heating,7.004342297862809e-10
UserA,h03_wi02,Induction stove,0.0
UserA,h03_wi02,Gas stove,0.0
UserA,h03_wi02,Gas National Grid,0.0
UserA,h04_wi02,PV sys,0.0
UserA,h04_wi02,National Grid EE,0.7510399495653942
UserA,h04_wi02,Storage EE,0.0
UserA,h04_wi02,Gas Boiler,0.0
UserA,h04_wi02,HP,1.9709005359136886
UserA,h04_wi02,AC,0.0
UserA,h04_wi02,Storage HW,0.0
UserA,h04_wi02,Radiators,1.5767204279172309
UserA,h04_wi02,Floor heating,9.154350463133668e-10
UserA,h04_wi02,Induction stove,0.0
UserA,h04_wi02,Gas stove,0.0
UserA,h04_wi02,Gas National Grid,0.0
UserA,h05_wi02,PV sys,0.0
UserA,h05_wi02,National Grid EE,0.8103464888178749
UserA,h05_wi02,Storage EE,0.0
UserA,h05_wi02,Gas Boiler,0.0
UserA,h05_wi02,HP,2.203975626685243
UserA,h05_wi02,AC,0.0
UserA,h05_wi02,Storage HW,0.0
UserA,h05_wi02,Radiators,1.7631805004382453
UserA,h05_wi02,Floor heating,1.0236927197103837e-09
UserA,h05_wi02,Induction stove,0.0
UserA,h05_wi02,Gas stove,0.0
UserA,h05_wi02,Gas National Grid,0.0
UserA,h06_wi02,PV sys,0.0
UserA,h06_wi02,National Grid EE,0.7937602865814731
UserA,h06_wi02,Storage EE,0.0
UserA,h06_wi02,Gas Boiler,0.0
UserA,h06_wi02,HP,2.090389565189043
UserA,h06_wi02,AC,0.0
UserA,h06_wi02,Storage HW,0.0
UserA,h06_wi02,Radiators,1.6723116512881813
