s_names,t_names,values
UserA,PV sys,0.0
UserA,National Grid EE,1.0
UserA,Storage EE,0.0
UserA,Gas Boiler,1.0
UserA,HP,9.963509715792856e-11
UserA,AC,1.0
UserA,Storage HW,0.0
UserA,Radiators,1.0
UserA,Floor heating,0.0
UserA,Induction stove,0.0
UserA,Gas stove,1.0
UserA,Gas National Grid,1.0
UserB,PV sys,0.0
UserB,National Grid EE,1.0
UserB,Storage EE,-0.0
UserB,Gas Boiler,1.0
UserB,HP,3.620175533691333e-11
UserB,AC,1.0
UserB,Storage HW,-0.0
UserB,Radiators,1.0
UserB,Floor heating,-0.0
UserB,Induction stove,2.3048420639557677e-17
UserB,Gas stove,1.0
UserB,Gas National Grid,1.0
UserC,PV sys,-0.0
UserC,National Grid EE,1.0
UserC,Storage EE,-0.0
UserC,Gas Boiler,1.0
UserC,HP,2.4996045018375855e-11
UserC,AC,1.0
UserC,Storage HW,-0.0
UserC,Radiators,1.0
UserC,Floor heating,-0.0
UserC,Induction stove,-0.0
UserC,Gas stove,1.0
UserC,Gas National Grid,1.0
UserD,PV sys,-0.0
UserD,National Grid EE,1.0
UserD,Storage EE,-0.0
UserD,Gas Boiler,1.0
UserD,HP,1.658415123336117e-11
UserD,AC,1.0
UserD,Storage HW,0.0
UserD,Radiators,1.0
UserD,Floor heating,0.0
UserD,Induction stove,0.0
UserD,Gas stove,1.0
UserD,Gas National Grid,1.0
