s_names,th_names,n_names,values
UserA,h01_wi01,EE,0.4645791235771741
UserA,h01_wi01,Hot water,0.9002070319230154
UserA,h01_wi01,Heat,0.8101863287307141
UserA,h01_wi01,Cooling,0.0
UserA,h01_wi01,Cooking,0.0
UserA,h01_wi01,Natural Gas,0.0
UserA,h02_wi01,EE,0.4258254795844332
UserA,h02_wi01,Hot water,1.0400962604831807
UserA,h02_wi01,Heat,0.9360866344348628
UserA,h02_wi01,Cooling,0.0
UserA,h02_wi01,Cooking,0.0
UserA,h02_wi01,Natural Gas,0.0
UserA,h03_wi01,EE,0.5493311198839543
UserA,h03_wi01,Hot water,1.3404542992431001
UserA,h03_wi01,Heat,1.2064088693187902
UserA,h03_wi01,Cooling,0.0
UserA,h03_wi01,Cooking,0.0
UserA,h03_wi01,Natural Gas,0.0
UserA,h04_wi01,EE,0.6542097274224251
UserA,h04_wi01,Hot water,1.7519115875918512
UserA,h04_wi01,Heat,1.5767204288326664
UserA,h04_wi01,Cooling,0.0
UserA,h04_wi01,Cooking,0.0
UserA,h04_wi01,Natural Gas,0.0
UserA,h05_wi01,EE,0.6929878345394029
UserA,h05_wi01,Hot water,1.9590894460688202
UserA,h05_wi01,Heat,1.7631805014619384
UserA,h05_wi01,Cooling,0.0
UserA,h05_wi01,Cooking,0.003110168656653025
UserA,h05_wi01,Natural Gas,0.0007107332396373455
UserA,h06_wi01,EE,0.6815757844015574
UserA,h06_wi01,Hot water,1.8581240580656846
UserA,h06_wi01,Heat,1.6723116522591164
UserA,h06_wi01,Cooling,0.0
UserA,h06_wi01,Cooking,0.01239846983273267
UserA,h06_wi01,Natural Gas,0.0028332883530010665
UserA,h07_wi01,EE,0.8638925240612865
UserA,h07_wi01,Hot water,1.7944948478236957
UserA,h07_wi01,Heat,1.6150443880413266
UserA,h07_wi01,Cooling,0.0
UserA,h07_wi01,Cooking,0.01711047274324019
UserA,h07_wi01,Natural Gas,0.003910071467833681
UserA,h08_wi01,EE,0.9456666068922459
UserA,h08_wi01,Hot water,2.4412610400335417
UserA,h08_wi01,Heat,1.5122769029760934
UserA,h08_wi01,Cooling,0.0
UserA,h08_wi01,Cooking,0.01593653016887095
UserA,h08_wi01,Natural Gas,0.0
UserA,h09_wi01,EE,1.0544662421652902
UserA,h09_wi01,Hot water,3.0113616775856533
UserA,h09_wi01,Heat,1.4238190529558943
UserA,h09_wi01,Cooling,0.0
UserA,h09_wi01,Cooking,0.01153554412402874
UserA,h09_wi01,Natural Gas,0.03311989445383681
UserA,h10_wi01,EE,0.7634299753084637
UserA,h10_wi01,Hot water,1.507828521600799
UserA,h10_wi01,Heat,1.3570448444407193
UserA,h10_wi01,Cooling,0.0
UserA,h10_wi01,Cooking,0.002867978070237247
UserA,h10_wi01,Natural Gas,0.0
UserA,h11_wi01,EE,0.7393908499998361
UserA,h11_wi01,Hot water,1.46233222857544
UserA,h11_wi01,Heat,1.3160990057178963
UserA,h11_wi01,Cooling,0.0
UserA,h11_wi01,Cooking,0.02618774994992272
UserA,h11_wi01,Natural Gas,0.0
UserA,h12_wi01,EE,0.978828436738695
UserA,h12_wi01,Hot water,1.4548732984914199
UserA,h12_wi01,Heat,1.3093859686422782
UserA,h12_wi01,Cooling,0.0
UserA,h12_wi01,Cooking,0.2399868468707511
UserA,h12_wi01,Natural Gas,0.0
UserA,h13_wi01,EE,1.3463693247504125
UserA,h13_wi01,Hot water,1.46639860978608
UserA,h13_wi01,Heat,1.3197587488074722
UserA,h13_wi01,Cooling,0.0
UserA,h13_wi01,Cooking,0.2526476357300575
UserA,h13_wi01,Natural Gas,0.0
UserA,h14_wi01,EE,1.6708232438722916
UserA,h14_wi01,Hot water,1.5143615102242678
UserA,h14_wi01,Heat,1.3629253592018413
UserA,h14_wi01,Cooling,0.0
UserA,h14_wi01,Cooking,0.04194507207093642
UserA,h14_wi01,Natural Gas,0.0
UserA,h15_wi01,EE,0.7679174938175493
UserA,h15_wi01,Hot water,1.58108603415518
UserA,h15_wi01,Heat,1.4229774307396623
UserA,h15_wi01,Cooling,0.0
UserA,h15_wi01,Cooking,0.0118069534138995
UserA,h15_wi01,Natural Gas,0.0
UserA,h16_wi01,EE,0.7355839945007574
UserA,h16_wi01,Hot water,1.6422117885917722
UserA,h16_wi01,Heat,1.4779906097325952
UserA,h16_wi01,Cooling,0.0
UserA,h16_wi01,Cooking,0.01174721739794708
UserA,h16_wi01,Natural Gas,0.0
UserA,h17_wi01,EE,0.719076954010299
UserA,h17_wi01,Hot water,1.689926046304258
UserA,h17_wi01,Heat,1.5209334416738325
UserA,h17_wi01,Cooling,0.0
UserA,h17_wi01,Cooking,0.01329905520366749
UserA,h17_wi01,Natural Gas,0.0030390893975474147
UserA,h18_wi01,EE,0.937416816730456
UserA,h18_wi01,Hot water,1.910543771527731
UserA,h18_wi01,Heat,1.5209643022101544
UserA,h18_wi01,Cooling,0.0
UserA,h18_wi01,Cooking,0.04141848610422543
UserA,h18_wi01,Natural Gas,0.009464919128022263
UserA,h19_wi01,EE,1.0165852
UserA,h19_wi01,Hot water,3.6076208834137686
UserA,h19_wi01,Heat,1.4513972942873363
UserA,h19_wi01,Cooling,0.0
UserA,h19_wi01,Cooking,0.2746519166497473
UserA,h19_wi01,Natural Gas,0.10290439179771868
UserA,h20_wi01,EE,0.9464356721857471
UserA,h20_wi01,Hot water,2.0312078043113093
UserA,h20_wi01,Heat,1.2700327709824581
UserA,h20_wi01,Cooling,0.0
UserA,h20_wi01,Cooking,0.2889924563054548
UserA,h20_wi01,Natural Gas,0.06604032365298325
UserA,h21_wi01,EE,0.7289873585762003
UserA,h21_wi01,Hot water,1.0809753929697987
UserA,h21_wi01,Heat,0.972877853672819
UserA,h21_wi01,Cooling,0.0
UserA,h21_wi01,Cooking,0.05487337439298618
UserA,h21_wi01,Natural Gas,0.012539619376824993
UserA,h22_wi01,EE,0.4645121695198642
UserA,h22_wi01,Hot water,0.8661616179141716
UserA,h22_wi01,Heat,0.7795454561227545
UserA,h22_wi01,Cooling,0.0
UserA,h22_wi01,Cooking,0.02014402346638903
UserA,h22_wi01,Natural Gas,0.004603296038937162
UserA,h23_wi01,EE,0.5159906677900314
UserA,h23_wi01,Hot water,0.8173917716002814
UserA,h23_wi01,Heat,0.7356525944402534
UserA,h23_wi01,Cooling,0.0
UserA,h23_wi01,Cooking,0.01613781457044975
UserA,h23_wi01,Natural Gas,0.003687800404581752
UserA,h24_wi01,EE,1.1811847758193377
UserA,h24_wi01,Hot water,0.8559772892405862
UserA,h24_wi01,Heat,0.7703795603165278
UserA,h24_wi01,Cooling,0.0
UserA,h24_wi01,Cooking,0.002106343866843927
UserA,h24_wi01,Natural Gas,0.0004813400061343525
UserA,h01_wi02,EE,0.39198268020721894
UserA,h01_wi02,Hot water,0.9002070319230154
UserA,h01_wi02,Heat,0.8101863287307141
UserA,h01_wi02,Cooling,0.0
UserA,h01_wi02,Cooking,0.0
UserA,h01_wi02,Natural Gas,0.0
UserA,h02_wi02,EE,0.3989585295844332
UserA,h02_wi02,Hot water,1.0400962604831807
UserA,h02_wi02,Heat,0.9360866344348628
UserA,h02_wi02,Cooling,0.0
UserA,h02_wi02,Cooking,0.0
UserA,h02_wi02,Natural Gas,0.0
UserA,h03_wi02,EE,0.6078816365506211
UserA,h03_wi02,Hot water,1.3404542992431001
UserA,h03_wi02,Heat,1.2064088693187902
UserA,h03_wi02,Cooling,0.0
UserA,h03_wi02,Cooking,0.0
UserA,h03_wi02,Natural Gas,0.0
UserA,h04_wi02,EE,0.691042977422425
UserA,h04_wi02,Hot water,1.7519115875918512
UserA,h04_wi02,Heat,1.5767204288326664
UserA,h04_wi02,Cooling,0.0
UserA,h04_wi02,Cooking,0.0
UserA,h04_wi02,Natural Gas,0.0
UserA,h05_wi02,EE,0.7432543845394028
UserA,h05_wi02,Hot water,1.9590894460688202
UserA,h05_wi02,Heat,1.7631805014619384
UserA,h05_wi02,Cooling,0.0
UserA,h05_wi02,Cooking,0.0
UserA,h05_wi02,Natural Gas,0.0
UserA,h06_wi02,EE,0.7619888172832774
UserA,h06_wi02,Hot water,1.8581240580656846
UserA,h06_wi02,Heat,1.6723116522591164
UserA,h06_wi02,Cooling,0.0
UserA,h06_wi02,Cooking,0.0
UserA,h06_wi02,Natural Gas,0.0
UserA,h07_wi02,EE,0.9765007666666666
UserA,h07_wi02,Hot water,2.6696714491663545
UserA,h07_wi02,Heat,1.6150443880413266
UserA,h07_wi02,Cooling,0.0
UserA,h07_wi02,Cooking,0.0
UserA,h07_wi02,Natural Gas,0.0
UserA,h08_wi02,EE,1.0166701499999817
UserA,h08_wi02,Hot water,1.942928529049223
UserA,h08_wi02,Heat,1.5122769029760934
UserA,h08_wi02,Cooling,0.0
UserA,h08_wi02,Cooking,0.0
UserA,h08_wi02,Natural Gas,0.0
UserA,h09_wi02,EE,1.4283361166666517
UserA,h09_wi02,Hot water,3.203814574621524
UserA,h09_wi02,Heat,1.4238190529558943
UserA,h09_wi02,Cooling,0.0
UserA,h09_wi02,Cooking,0.0
UserA,h09_wi02,Natural Gas,0.004359867628601811
UserA,h10_wi02,EE,0.8081075801189854
UserA,h10_wi02,Hot water,1.507828371600799
UserA,h10_wi02,Heat,1.3570448444407193
UserA,h10_wi02,Cooling,0.0
UserA,h10_wi02,Cooking,0.0
UserA,h10_wi02,Natural Gas,0.0
UserA,h11_wi02,EE,0.9889752833996681
UserA,h11_wi02,Hot water,1.46233222857544
UserA,h11_wi02,Heat,1.3160990057178963
UserA,h11_wi02,Cooling,0.0
UserA,h11_wi02,Cooking,0.0
