s_names,th_names,a_names,values
UserA,h01_wi01,PV,0.0
UserA,h01_wi01,National Grid import,0.5118464879187653
UserA,h01_wi01,National Grid export,2.3283064365386973e-10
UserA,h01_wi01,Storing EE,0.0
UserA,h01_wi01,Gas Boiler heating,-6.5989436137670054e-12
UserA,h01_wi01,HP heating winter,1.0127329109199914
UserA,h01_wi01,HP heating summer,0.0
UserA,h01_wi01,HP cooling,0.0
UserA,h01_wi01,AC cooling,0.0
UserA,h01_wi01,Storing HW,0.0
UserA,h01_wi01,Radiators heater,0.8101863287307141
UserA,h01_wi01,Floor heater,0.0
UserA,h01_wi01,Induction stove cooking,0.0
UserA,h01_wi01,Gas stove cooking,0.0
UserA,h01_wi01,Natural Gas supply grid,0.0
UserA,h02_wi01,PV,0.0
UserA,h02_wi01,National Grid import,0.46144521453457626
UserA,h02_wi01,National Grid export,0.0
UserA,h02_wi01,Storing EE,0.0
UserA,h02_wi01,Gas Boiler heating,-7.624444189738715e-12
UserA,h02_wi01,HP heating winter,1.170108293051203
UserA,h02_wi01,HP heating summer,0.0
UserA,h02_wi01,HP cooling,0.0
UserA,h02_wi01,AC cooling,0.0
UserA,h02_wi01,Storing HW,0.0
UserA,h02_wi01,Radiators heater,0.9360866344348628
UserA,h02_wi01,Floor heater,0.0
UserA,h02_wi01,Induction stove cooking,0.0
UserA,h02_wi01,Gas stove cooking,0.0
UserA,h02_wi01,Natural Gas supply grid,0.0
UserA,h03_wi01,PV,0.0
UserA,h03_wi01,National Grid import,0.5952370890341105
UserA,h03_wi01,National Grid export,0.0
UserA,h03_wi01,Storing EE,0.0
UserA,h03_wi01,Gas Boiler heating,7.317479955304407e-12
UserA,h03_wi01,HP heating winter,1.50801108664117
UserA,h03_wi01,HP heating summer,0.0
UserA,h03_wi01,HP cooling,0.0
UserA,h03_wi01,AC cooling,0.0
UserA,h03_wi01,Storing HW,0.0
UserA,h03_wi01,Radiators heater,1.20640886931879
UserA,h03_wi01,Floor heater,0.0
UserA,h03_wi01,Induction stove cooking,0.0
UserA,h03_wi01,Gas stove cooking,0.0
UserA,h03_wi01,Natural Gas supply grid,0.0
UserA,h04_wi01,PV,0.0
UserA,h04_wi01,National Grid import,0.7142066995976079
UserA,h04_wi01,National Grid export,0.0
UserA,h04_wi01,Storing EE,0.0
UserA,h04_wi01,Gas Boiler heating,9.564127267935874e-12
UserA,h04_wi01,HP heating winter,1.9709005360312684
UserA,h04_wi01,HP heating summer,0.0
UserA,h04_wi01,HP cooling,0.0
UserA,h04_wi01,AC cooling,0.0
UserA,h04_wi01,Storing HW,0.0
UserA,h04_wi01,Radiators heater,1.576720428832666
UserA,h04_wi01,Floor heater,0.0
UserA,h04_wi01,Induction stove cooking,0.0
UserA,h04_wi01,Gas stove cooking,0.0
UserA,h04_wi01,Natural Gas supply grid,9.202470189488957e-13
UserA,h05_wi01,PV,0.0
UserA,h05_wi01,National Grid import,0.7642268304076562
UserA,h05_wi01,National Grid export,0.0
UserA,h05_wi01,Storing EE,0.0
UserA,h05_wi01,Gas Boiler heating,1.0695000440819058e-11
UserA,h05_wi01,HP heating winter,2.2039756268167277
UserA,h05_wi01,HP heating summer,0.0
UserA,h05_wi01,HP cooling,0.0
UserA,h05_wi01,AC cooling,0.0
UserA,h05_wi01,Storing HW,0.0
UserA,h05_wi01,Radiators heater,1.763180501461938
UserA,h05_wi01,Floor heater,0.0
UserA,h05_wi01,Induction stove cooking,0.0031101686653185277
UserA,h05_wi01,Gas stove cooking,-8.665502777144285e-12
UserA,h05_wi01,Natural Gas supply grid,-9.51175661974273e-13
UserA,h06_wi01,PV,0.0
UserA,h06_wi01,National Grid import,0.7617414631053425
UserA,h06_wi01,National Grid export,0.0
UserA,h06_wi01,Storing EE,0.0
UserA,h06_wi01,Gas Boiler heating,1.014344164218528e-11
UserA,h06_wi01,HP heating winter,2.0903895653137514
UserA,h06_wi01,HP heating summer,0.0
UserA,h06_wi01,HP cooling,0.0
UserA,h06_wi01,AC cooling,0.0
UserA,h06_wi01,Storing HW,0.0
UserA,h06_wi01,Radiators heater,1.672311652259116
UserA,h06_wi01,Floor heater,0.0
UserA,h06_wi01,Induction stove cooking,0.012398469867277094
UserA,h06_wi01,Gas stove cooking,-3.45444194083111e-11
UserA,h06_wi01,Natural Gas supply grid,-6.918075094058846e-12
UserA,h07_wi01,PV,0.01566
UserA,h07_wi01,National Grid import,0.9325017536870241
UserA,h07_wi01,National Grid export,0.0
UserA,h07_wi01,Storing EE,0.0
UserA,h07_wi01,Gas Boiler heating,9.796163880082531e-12
UserA,h07_wi01,HP heating winter,2.0188065683751946
UserA,h07_wi01,HP heating summer,0.0
UserA,h07_wi01,HP cooling,0.0
UserA,h07_wi01,AC cooling,0.0
UserA,h07_wi01,Storing HW,0.0
UserA,h07_wi01,Radiators heater,1.615044388041326
UserA,h07_wi01,Floor heater,0.0
UserA,h07_wi01,Induction stove cooking,0.017110472790913118
UserA,h07_wi01,Gas stove cooking,-4.7672928105146894e-11
UserA,h07_wi01,Natural Gas supply grid,-9.951605924145227e-12
UserA,h08_wi01,PV,0.3185
UserA,h08_wi01,National Grid import,0.6535500312116513
UserA,h08_wi01,National Grid export,0.0
UserA,h08_wi01,Storing EE,0.0
UserA,h08_wi01,Gas Boiler heating,1.2865264409356314e-11
UserA,h08_wi01,HP heating winter,2.6512994987673553
UserA,h08_wi01,HP heating summer,0.0
UserA,h08_wi01,HP cooling,0.0
UserA,h08_wi01,AC cooling,0.0
