s_names,t_names,values
UserA,PV sys,1.0
UserA,National Grid EE,-0.0
UserA,Storage EE,-0.0
UserA,Gas Boiler,24.0
UserA,HP,-0.0
UserA,AC,4.0
UserA,Storage HW,0.0
UserA,Radiators,15.0
UserA,Floor heating,0.0
UserA,Induction stove,0.0
UserA,Gas stove,4.0
UserA,Gas National Grid,2.0
UserB,PV sys,2.0
UserB,National Grid EE,-0.0
UserB,Storage EE,3.0
UserB,Gas Boiler,23.99998295041341
UserB,HP,8.555722200889286e-06
UserB,AC,3.999995113158743
UserB,Storage HW,3.849046668119551e-06
UserB,Radiators,27.0
UserB,Floor heating,0.0
UserB,Induction stove,1.992678984445182e-06
UserB,Gas stove,3.9999985449939555
UserB,Gas National Grid,2.0
UserC,PV sys,2.0
UserC,National Grid EE,0.0
UserC,Storage EE,3.0
UserC,Gas Boiler,24.0
UserC,HP,0.0
UserC,AC,4.0
UserC,Storage HW,0.0
UserC,Radiators,39.0
UserC,Floor heating,0.0
UserC,Induction stove,0.0
UserC,Gas stove,4.0
UserC,Gas National Grid,2.0
UserD,PV sys,2.0
UserD,National Grid EE,0.0
UserD,Storage EE,3.0
UserD,Gas Boiler,24.0
UserD,HP,0.0
UserD,AC,4.0
UserD,Storage HW,0.0
UserD,Radiators,51.0
UserD,Floor heating,0.0
UserD,Induction stove,0.0
UserD,Gas stove,4.0
UserD,Gas National Grid,2.0
