s_names,t_names,values
UserA,PV sys,5.0
UserA,National Grid EE,0.0
UserA,Storage EE,3.0
UserA,Gas Boiler,1.0
UserA,HP,2.0
UserA,AC,0.0
UserA,Storage HW,-0.0
UserA,Radiators,1.9999999999953464
UserA,Floor heating,5.15831206615661e-12
UserA,Induction stove,1.0
UserA,Gas stove,1.0
UserA,Gas National Grid,1.0
UserB,PV sys,8.0
UserB,National Grid EE,0.0
UserB,Storage EE,5.0
UserB,Gas Boiler,1.0
UserB,HP,2.0
UserB,AC,0.0
UserB,Storage HW,0.0
UserB,Radiators,1.9999999976690142
UserB,Floor heating,1.1655102054472638e-09
UserB,Induction stove,1.0
UserB,Gas stove,1.0
UserB,Gas National Grid,2.0
UserC,PV sys,10.0
UserC,National Grid EE,0.0
UserC,Storage EE,7.0
UserC,Gas Boiler,1.0
UserC,HP,4.0
UserC,AC,-0.0
UserC,Storage HW,0.0
UserC,Radiators,2.0
UserC,Floor heating,0.0
UserC,Induction stove,1.0
UserC,Gas stove,1.0
UserC,Gas National Grid,2.0
UserD,PV sys,12.0
UserD,National Grid EE,0.0
UserD,Storage EE,9.0
UserD,Gas Boiler,1.0
UserD,HP,4.0
UserD,AC,-0.0
UserD,Storage HW,-0.0
UserD,Radiators,2.0
UserD,Floor heating,-0.0
UserD,Induction stove,1.0
UserD,Gas stove,1.0
UserD,Gas National Grid,2.0
