s_names,a_names,values
UserA,PV,2.0
UserA,National Grid import,3.0
UserA,National Grid export,3.0
UserA,Storing EE,3.0
UserA,Gas Boiler heating,24.0
UserA,HP heating winter,0.0
UserA,HP heating summer,0.0
UserA,HP cooling,0.0
UserA,AC cooling,4.0
UserA,Storing HW,0.0
UserA,Radiators heater,15.0
UserA,Floor heater,0.0
UserA,Induction stove cooking,0.0
UserA,Gas stove cooking,4.0
UserA,Natural Gas supply grid,1.0
UserB,PV,3.0
UserB,National Grid import,3.0
UserB,National Grid export,3.0
UserB,Storing EE,6.0
UserB,Gas Boiler heating,23.999999999999996
UserB,HP heating winter,0.0
UserB,HP heating summer,0.0
UserB,HP cooling,0.0
UserB,AC cooling,4.0
UserB,Storing HW,0.0
UserB,Radiators heater,26.999999999999993
UserB,Floor heater,0.0
UserB,Induction stove cooking,4.6266856535510014e-11
UserB,Gas stove cooking,3.9999999999537326
UserB,Natural Gas supply grid,1.0
UserC,PV,2.0
UserC,National Grid import,3.0
UserC,National Grid export,3.0
UserC,Storing EE,6.0
UserC,Gas Boiler heating,24.00000000001875
UserC,HP heating winter,0.0
UserC,HP heating summer,0.0
UserC,HP cooling,0.0
UserC,AC cooling,4.0
UserC,Storing HW,-7.357407929531489e-12
UserC,Radiators heater,38.99999999999999
UserC,Floor heater,0.0
UserC,Induction stove cooking,0.0
UserC,Gas stove cooking,4.0
UserC,Natural Gas supply grid,2.0
UserD,PV,3.0
UserD,National Grid import,3.0
UserD,National Grid export,3.0
UserD,Storing EE,6.0
UserD,Gas Boiler heating,24.000000223971867
UserD,HP heating winter,0.0
UserD,HP heating summer,0.0
UserD,HP cooling,0.0
UserD,AC cooling,4.0
UserD,Storing HW,1.251331609304613e-07
UserD,Radiators heater,51.0
UserD,Floor heater,0.0
UserD,Induction stove cooking,0.0
UserD,Gas stove cooking,4.0
UserD,Natural Gas supply grid,2.0
