s_names,th_names,t_names,values
UserA,h01_wi01,PV sys,0.0
UserA,h01_wi01,National Grid EE,0.23438546052389078
UserA,h01_wi01,Storage EE,0.0
UserA,h01_wi01,Gas Boiler,1.012732750834525
UserA,h01_wi01,HP,1.6007886752034582e-07
UserA,h01_wi01,AC,0.0
UserA,h01_wi01,Storage HW,0.0
UserA,h01_wi01,Radiators,0.8101863287307141
UserA,h01_wi01,Floor heating,0.0
UserA,h01_wi01,Induction stove,0.0
UserA,h01_wi01,Gas stove,0.0
UserA,h01_wi01,Gas National Grid,0.09744373624887183
UserA,h02_wi01,PV sys,0.0
UserA,h02_wi01,National Grid EE,0.14086766865651915
UserA,h02_wi01,Storage EE,0.0
UserA,h02_wi01,Gas Boiler,1.170108042447284
UserA,h02_wi01,HP,2.505962945750669e-07
UserA,h02_wi01,AC,0.0
UserA,h02_wi01,Storage HW,0.0
UserA,h02_wi01,Radiators,0.9360866344348628
UserA,h02_wi01,Floor heating,0.0
UserA,h02_wi01,Induction stove,0.0
UserA,h02_wi01,Gas stove,0.0
UserA,h02_wi01,Gas National Grid,0.11258616784829059
UserA,h03_wi01,PV sys,0.0
UserA,h03_wi01,National Grid EE,0.1820834551600014
UserA,h03_wi01,Storage EE,0.0
UserA,h03_wi01,Gas Boiler,1.5080107636478157
UserA,h03_wi01,HP,3.23000671762177e-07
UserA,h03_wi01,AC,0.0
UserA,h03_wi01,Storage HW,0.0
UserA,h03_wi01,Radiators,1.20640886931879
UserA,h03_wi01,Floor heating,0.0
UserA,h03_wi01,Induction stove,0.0
UserA,h03_wi01,Gas stove,0.0
UserA,h03_wi01,Gas National Grid,0.14509869755102625
UserA,h04_wi01,PV sys,0.0
UserA,h04_wi01,National Grid EE,0.17423394927754998
UserA,h04_wi01,Storage EE,0.0
UserA,h04_wi01,Gas Boiler,1.9709005386777754
UserA,h04_wi01,HP,-2.6369429653727574e-09
UserA,h04_wi01,AC,0.0
UserA,h04_wi01,Storage HW,0.0
UserA,h04_wi01,Radiators,1.576720428832666
UserA,h04_wi01,Floor heating,0.0
UserA,h04_wi01,Induction stove,0.0
UserA,h04_wi01,Gas stove,0.0
UserA,h04_wi01,Gas National Grid,0.18963730767610654
UserA,h05_wi01,PV sys,0.0
UserA,h05_wi01,National Grid EE,0.15625100088811933
UserA,h05_wi01,Storage EE,0.0
UserA,h05_wi01,Gas Boiler,2.2039756268274227
UserA,h05_wi01,HP,0.0
UserA,h05_wi01,AC,0.0
UserA,h05_wi01,Storage HW,0.0
UserA,h05_wi01,Radiators,1.763180501461938
UserA,h05_wi01,Floor heating,0.0
UserA,h05_wi01,Induction stove,6.660894086424e-10
UserA,h05_wi01,Gas stove,0.0031101679905636164
UserA,h05_wi01,Gas National Grid,0.21277420146300505
UserA,h06_wi01,PV sys,0.0
UserA,h06_wi01,National Grid EE,0.1725007035404252
UserA,h06_wi01,Storage EE,0.0
UserA,h06_wi01,Gas Boiler,2.090389565323895
UserA,h06_wi01,HP,0.0
UserA,h06_wi01,AC,0.0
UserA,h06_wi01,Storage HW,0.0
UserA,h06_wi01,Radiators,1.672311652259116
UserA,h06_wi01,Floor heating,0.0
UserA,h06_wi01,Induction stove,2.655318842616482e-09
UserA,h06_wi01,Gas stove,0.012398467177413827
UserA,h06_wi01,Gas National Grid,0.20396766331860414
UserA,h07_wi01,PV sys,0.0
UserA,h07_wi01,National Grid EE,0.3722501048859535
UserA,h07_wi01,Storage EE,0.0
UserA,h07_wi01,Gas Boiler,2.0188065683849907
UserA,h07_wi01,HP,0.0
UserA,h07_wi01,AC,0.0
UserA,h07_wi01,Storage HW,0.0
UserA,h07_wi01,Radiators,1.615044388041326
UserA,h07_wi01,Floor heating,0.0
UserA,h07_wi01,Induction stove,3.664465156577642e-09
UserA,h07_wi01,Gas stove,0.017110469078775035
UserA,h07_wi01,Gas National Grid,0.1981568298322988
UserA,h08_wi01,PV sys,0.16099998803799134
UserA,h08_wi01,National Grid EE,0.06341791651273912
UserA,h08_wi01,Storage EE,0.0
UserA,h08_wi01,Gas Boiler,2.6512994987802205
UserA,h08_wi01,HP,0.0
UserA,h08_wi01,AC,0.0
UserA,h08_wi01,Storage HW,0.0
UserA,h08_wi01,Radiators,1.512276902976093
UserA,h08_wi01,Floor heating,0.0
UserA,h08_wi01,Induction stove,3.4130476931379917e-09
UserA,h08_wi01,Gas stove,0.015936526755823258
UserA,h08_wi01,Gas National Grid,0.2587461512388435
UserA,h09_wi01,PV sys,0.43349996779173444
UserA,h09_wi01,National Grid EE,0.09441422653833953
UserA,h09_wi01,Storage EE,0.0
UserA,h09_wi01,Gas Boiler,3.2091135161111204
UserA,h09_wi01,HP,8.077184067585338e-07
UserA,h09_wi01,AC,0.0
UserA,h09_wi01,Storage HW,0.0
UserA,h09_wi01,Radiators,1.423819052955894
UserA,h09_wi01,Floor heating,0.0
UserA,h09_wi01,Induction stove,2.470510320005051e-09
UserA,h09_wi01,Gas stove,0.01153554165351842
UserA,h09_wi01,Gas National Grid,0.31141253031253985
UserA,h10_wi01,PV sys,0.5886799562621412
UserA,h10_wi01,National Grid EE,0.2421774341504659
UserA,h10_wi01,Storage EE,0.0
UserA,h10_wi01,Gas Boiler,1.6963061644991586
UserA,h10_wi01,HP,8.077184067585338e-07
UserA,h10_wi01,AC,0.0
UserA,h10_wi01,Storage HW,0.0
UserA,h10_wi01,Radiators,1.357044844440719
UserA,h10_wi01,Floor heating,0.0
UserA,h10_wi01,Induction stove,6.142206503369568e-10
UserA,h10_wi01,Gas stove,0.0028679774560165967
UserA,h10_wi01,Gas National Grid,0.1638716069428652
UserA,h11_wi01,PV sys,0.6783299496013084
UserA,h11_wi01,National Grid EE,0.3744948374972599
UserA,h11_wi01,Storage EE,0.0
UserA,h11_wi01,Gas Boiler,1.6451229494289632
UserA,h11_wi01,HP,8.077184067585338e-07
UserA,h11_wi01,AC,0.0
UserA,h11_wi01,Storage HW,0.0
UserA,h11_wi01,Radiators,1.316099005717896
UserA,h11_wi01,Floor heating,0.0
UserA,h11_wi01,Induction stove,5.608500633664922e-09
UserA,h11_wi01,Gas stove,0.026187744341422087
UserA,h11_wi01,Gas National Grid,0.16427584357161942
UserA,h12_wi01,PV sys,0.6992899480440183
UserA,h12_wi01,National Grid EE,0.4390391082222458
UserA,h12_wi01,Storage EE,0.0
UserA,h12_wi01,Gas Boiler,1.6367316530844407
UserA,h12_wi01,HP,8.077184067585338e-07
UserA,h12_wi01,AC,0.0
UserA,h12_wi01,Storage HW,0.0
UserA,h12_wi01,Radiators,1.309385968642278
UserA,h12_wi01,Floor heating,0.0
UserA,h12_wi01,Induction stove,5.1396793726431493e-08
UserA,h12_wi01,Gas stove,0.23998679547395738
UserA,h12_wi01,Gas National Grid,0.21232563189984502
UserA,h13_wi01,PV sys,0.6613199508651206
UserA,h13_wi01,National Grid EE,0.05356689076135068
UserA,h13_wi01,Storage EE,0.0
UserA,h13_wi01,Gas Boiler,1.6496976282909332
UserA,h13_wi01,HP,8.077184067585338e-07
UserA,h13_wi01,AC,0.0
UserA,h13_wi01,Storage HW,0.0
UserA,h13_wi01,Radiators,1.319758748807472
UserA,h13_wi01,Floor heating,0.0
UserA,h13_wi01,Induction stove,5.4108292156430466e-08
UserA,h13_wi01,Gas stove,0.2526475816217653
UserA,h13_wi01,Gas National Grid,0.21646643266069718
UserA,h14_wi01,PV sys,0.5558199587035798
UserA,h14_wi01,National Grid EE,0.6441830698922163
UserA,h14_wi01,Storage EE,0.0
UserA,h14_wi01,Gas Boiler,1.7036563341790545
UserA,h14_wi01,HP,3.648232468824024e-07
UserA,h14_wi01,AC,0.0
UserA,h14_wi01,Storage HW,0.0
UserA,h14_wi01,Radiators,1.362925359201841
UserA,h14_wi01,Floor heating,0.0
UserA,h14_wi01,Induction stove,8.983168227527334e-09
UserA,h14_wi01,Gas stove,0.04194506308776819
