s_names,th_names,n_names,values
UserA,h01_wi01,EE,0.2343854162010055
UserA,h01_wi01,Hot water,0.7832856107845771
UserA,h01_wi01,Heat,0.5696622623887834
UserA,h01_wi01,Cooling,0.0
UserA,h01_wi01,Cooking,0.0
UserA,h01_wi01,Natural Gas,0.07536665166790889
UserA,h02_wi01,EE,0.1408676000000001
UserA,h02_wi01,Hot water,0.905005632900893
UserA,h02_wi01,Heat,0.658185914837013
UserA,h02_wi01,Cooling,0.0
UserA,h02_wi01,Cooking,0.0
UserA,h02_wi01,Natural Gas,0.087078382844308
UserA,h03_wi01,EE,0.1820833666666667
UserA,h03_wi01,Hot water,1.16635232482969
UserA,h03_wi01,Heat,0.8482562362397746
UserA,h03_wi01,Cooling,0.0
UserA,h03_wi01,Cooking,0.0
UserA,h03_wi01,Natural Gas,0.1122247979245348
UserA,h04_wi01,EE,0.1742339500000001
UserA,h04_wi01,Hot water,1.524368383344081
UserA,h04_wi01,Heat,1.108631551522968
UserA,h04_wi01,Cooling,0.0
UserA,h04_wi01,Cooking,0.0
UserA,h04_wi01,Natural Gas,0.14667260495949977
UserA,h05_wi01,EE,0.1562510000000001
UserA,h05_wi01,Hot water,1.7046373988743344
UserA,h05_wi01,Heat,1.239736290090425
UserA,h05_wi01,Cooling,0.0
UserA,h05_wi01,Cooking,0.003110168656653025
UserA,h05_wi01,Natural Gas,0.16472857206137645
UserA,h06_wi01,EE,0.1725007000000001
UserA,h06_wi01,Hot water,1.6167856794302
UserA,h06_wi01,Heat,1.175844130494691
UserA,h06_wi01,Cooling,0.0
UserA,h06_wi01,Cooking,0.01239846983273267
UserA,h06_wi01,Natural Gas,0.15839815695977486
UserA,h07_wi01,EE,0.3722501
UserA,h07_wi01,Hot water,1.958009285048115
UserA,h07_wi01,Heat,1.135578085341558
UserA,h07_wi01,Cooling,0.0
UserA,h07_wi01,Cooking,0.01711047274324019
UserA,h07_wi01,Natural Gas,0.19230700065556725
UserA,h08_wi01,EE,0.2244179000000002
UserA,h08_wi01,Hot water,2.0026001889216962
UserA,h08_wi01,Heat,1.063319697405066
UserA,h08_wi01,Cooling,0.0
UserA,h08_wi01,Cooking,0.01593653016887095
UserA,h08_wi01,Natural Gas,0.1963292069732286
UserA,h09_wi01,EE,0.339085516666667
UserA,h09_wi01,Hot water,2.1523500509981757
UserA,h09_wi01,Heat,1.001122771609613
UserA,h09_wi01,Cooling,0.0
UserA,h09_wi01,Cooking,0.01153554412402874
UserA,h09_wi01,Natural Gas,0.20973222056121849
UserA,h10_wi01,EE,0.3465023000000003
UserA,h10_wi01,Hot water,1.6995582484311058
UserA,h10_wi01,Heat,0.9541721562473806
UserA,h10_wi01,Cooling,0.0
UserA,h10_wi01,Cooking,0.002867978070237247
UserA,h10_wi01,Natural Gas,0.16418451807446544
UserA,h11_wi01,EE,0.3038348833333335
UserA,h11_wi01,Hot water,1.2724004059186687
UserA,h11_wi01,Heat,0.9253821133953954
UserA,h11_wi01,Cooling,0.0
UserA,h11_wi01,Cooking,0.02618774994992272
UserA,h11_wi01,Natural Gas,0.12841300029344127
UserA,h12_wi01,EE,0.2602505500000001
UserA,h12_wi01,Hot water,1.2659102626522027
UserA,h12_wi01,Heat,0.920662009201602
UserA,h12_wi01,Cooling,0.0
UserA,h12_wi01,Cooking,0.2399868468707511
UserA,h12_wi01,Natural Gas,0.17664572538922702
UserA,h13_wi01,EE,0.6077527666666662
UserA,h13_wi01,Hot water,1.275938634100974
UserA,h13_wi01,Heat,0.9279553702552539
UserA,h13_wi01,Cooling,0.0
UserA,h13_wi01,Cooking,0.2526476357300575
UserA,h13_wi01,Natural Gas,0.1805038746232907
UserA,h14_wi01,EE,1.200002916666664
UserA,h14_wi01,Hot water,1.3176719781345925
UserA,h14_wi01,Heat,0.9583068931887945
UserA,h14_wi01,Cooling,0.0
UserA,h14_wi01,Cooking,0.04194507207093642
UserA,h14_wi01,Natural Gas,0.13636981856086466
UserA,h15_wi01,EE,0.3190006333333333
UserA,h15_wi01,Hot water,1.3757301332346343
UserA,h15_wi01,Heat,1.000531005988825
UserA,h15_wi01,Cooling,0.0
UserA,h15_wi01,Cooking,0.0118069534138995
UserA,h15_wi01,Natural Gas,0.13506895483427744
UserA,h16_wi01,EE,0.27
UserA,h16_wi01,Hot water,1.4289167027688177
