s_names,th_names,n_names,values
UserA,h01_wi01,EE,0.426838883224243
UserA,h01_wi01,Hot water,0.712077827985933
UserA,h01_wi01,Heat,0.5696622623887464
UserA,h01_wi01,Cooling,0.0
UserA,h01_wi01,Cooking,0.0
UserA,h01_wi01,Natural Gas,0.0
UserA,h02_wi01,EE,0.36322770635309354
UserA,h02_wi01,Hot water,0.8227323935462201
UserA,h02_wi01,Heat,0.6581859148369761
UserA,h02_wi01,Cooling,0.0
UserA,h02_wi01,Cooking,0.0
UserA,h02_wi01,Natural Gas,3.8269952758396185e-12
UserA,h03_wi01,EE,0.4686564194503618
UserA,h03_wi01,Hot water,1.0603202952996722
UserA,h03_wi01,Heat,0.8482562362397377
UserA,h03_wi01,Cooling,0.0
UserA,h03_wi01,Cooking,0.0
UserA,h03_wi01,Natural Gas,0.0
UserA,h04_wi01,EE,0.5487716363253271
UserA,h04_wi01,Hot water,1.3857894394037102
UserA,h04_wi01,Heat,1.108631551522968
UserA,h04_wi01,Cooling,0.0
UserA,h04_wi01,Cooking,0.0
UserA,h04_wi01,Natural Gas,0.0
UserA,h05_wi01,EE,0.5750808277332518
UserA,h05_wi01,Hot water,1.5496703626130315
UserA,h05_wi01,Heat,1.239736290090425
UserA,h05_wi01,Cooling,0.0
UserA,h05_wi01,Cooking,0.003110168656653025
UserA,h05_wi01,Natural Gas,0.0007107332396373455
UserA,h06_wi01,EE,0.5697453386806388
UserA,h06_wi01,Hot water,1.469805163118364
UserA,h06_wi01,Heat,1.175844130494691
UserA,h06_wi01,Cooling,0.0
UserA,h06_wi01,Cooking,0.01239846983273267
UserA,h06_wi01,Natural Gas,0.0028332883530010665
UserA,h07_wi01,EE,0.8630776741568702
UserA,h07_wi01,Hot water,1.8160620243804206
UserA,h07_wi01,Heat,1.135578085341558
UserA,h07_wi01,Cooling,0.0
UserA,h07_wi01,Cooking,0.01711047274324019
UserA,h07_wi01,Natural Gas,0.003910071467833681
UserA,h08_wi01,EE,0.7297382315529901
UserA,h08_wi01,Hot water,1.8696852267460637
UserA,h08_wi01,Heat,1.063319697405066
UserA,h08_wi01,Cooling,0.0
UserA,h08_wi01,Cooking,0.01593653016887095
UserA,h08_wi01,Natural Gas,0.003641803055043635
UserA,h09_wi01,EE,0.8869800314090922
UserA,h09_wi01,Hot water,2.027209704546974
UserA,h09_wi01,Heat,1.001122771609613
UserA,h09_wi01,Cooling,0.0
UserA,h09_wi01,Cooking,0.01153554412402874
UserA,h09_wi01,Natural Gas,0.002636093264174757
UserA,h10_wi01,EE,0.7736068213243741
UserA,h10_wi01,Hot water,1.580286728900137
UserA,h10_wi01,Heat,0.9541721562473436
