s_names,th_names,n_names,values
UserA,h01_wi01,EE,-4.656613150633149e-10
UserA,h01_wi01,Hot water,1.009050187536617e-17
UserA,h01_wi01,Heat,0.0
UserA,h01_wi01,Cooling,0.0
UserA,h01_wi01,Cooking,0.0
UserA,h01_wi01,Natural Gas,0.0
UserA,h02_wi01,EE,-2.7755575615628914e-17
UserA,h02_wi01,Hot water,-1.0093180058714948e-16
UserA,h02_wi01,Heat,0.0
UserA,h02_wi01,Cooling,0.0
UserA,h02_wi01,Cooking,0.0
UserA,h02_wi01,Natural Gas,0.0
UserA,h03_wi01,EE,0.0
UserA,h03_wi01,Hot water,2.321351068003975e-16
UserA,h03_wi01,Heat,0.0
UserA,h03_wi01,Cooling,0.0
UserA,h03_wi01,Cooking,0.0
UserA,h03_wi01,Natural Gas,0.0
UserA,h04_wi01,EE,0.0
UserA,h04_wi01,Hot water,1.3607090677609794e-17
UserA,h04_wi01,Heat,0.0
UserA,h04_wi01,Cooling,0.0
UserA,h04_wi01,Cooking,0.0
UserA,h04_wi01,Natural Gas,0.0
UserA,h05_wi01,EE,-5.551115123125783e-17
UserA,h05_wi01,Hot water,2.4474765754801945e-17
UserA,h05_wi01,Heat,0.0
UserA,h05_wi01,Cooling,0.0
UserA,h05_wi01,Cooking,-1.081469983010841e-14
UserA,h05_wi01,Natural Gas,0.0
UserA,h06_wi01,EE,1.3877787807814457e-17
UserA,h06_wi01,Hot water,-4.720814199186567e-17
UserA,h06_wi01,Heat,0.0
UserA,h06_wi01,Cooling,0.0
UserA,h06_wi01,Cooking,-4.448698354142522e-14
UserA,h06_wi01,Natural Gas,1.0166242158818126e-14
UserA,h07_wi01,EE,-1.214306433183765e-16
UserA,h07_wi01,Hot water,7.485587393513298e-17
UserA,h07_wi01,Heat,0.0
UserA,h07_wi01,Cooling,0.0
UserA,h07_wi01,Cooking,-6.072919944699606e-14
UserA,h07_wi01,Natural Gas,1.3878062839577866e-14
UserA,h08_wi01,EE,9.71445146547012e-17
UserA,h08_wi01,Hot water,-1.8594026519481233e-16
UserA,h08_wi01,Heat,0.0
UserA,h08_wi01,Cooling,0.0
UserA,h08_wi01,Cooking,-5.6718518770537685e-14
UserA,h08_wi01,Natural Gas,1.2961261482524124e-14
UserA,h09_wi01,EE,4.683753385137379e-17
UserA,h09_wi01,Hot water,1.3371684194943456e-16
UserA,h09_wi01,Heat,0.0
UserA,h09_wi01,Cooling,0.0
UserA,h09_wi01,Cooking,-4.011201093501171e-14
UserA,h09_wi01,Natural Gas,0.0
UserA,h10_wi01,EE,2.0383000842727483e-17
UserA,h10_wi01,Hot water,1.009050187536617e-17
UserA,h10_wi01,Heat,0.0
UserA,h10_wi01,Cooling,0.0
UserA,h10_wi01,Cooking,-9.97249158252167e-15
UserA,h10_wi01,Natural Gas,2.278927296902495e-15
UserA,h11_wi01,EE,2.0816681711721685e-17
UserA,h11_wi01,Hot water,1.009050187536617e-17
UserA,h11_wi01,Heat,0.0
UserA,h11_wi01,Cooling,0.0
UserA,h11_wi01,Cooking,-9.232545283843763e-14
UserA,h11_wi01,Natural Gas,2.109828024860174e-14
UserA,h12_wi01,EE,1.1102230246251565e-16
UserA,h12_wi01,Hot water,1.009050187536617e-17
UserA,h12_wi01,Heat,0.0
UserA,h12_wi01,Cooling,0.0
UserA,h12_wi01,Cooking,0.0
UserA,h12_wi01,Natural Gas,3.398558514486838e-19
UserA,h13_wi01,EE,-1.1102230246251565e-16
UserA,h13_wi01,Hot water,2.321351068003975e-16
UserA,h13_wi01,Heat,0.0
UserA,h13_wi01,Cooling,0.0
UserA,h13_wi01,Cooking,0.0
UserA,h13_wi01,Natural Gas,-7.820451469999023e-26
UserA,h14_wi01,EE,2.220446049250313e-16
UserA,h14_wi01,Hot water,1.009050187536617e-17
UserA,h14_wi01,Heat,0.0
UserA,h14_wi01,Cooling,0.0
UserA,h14_wi01,Cooking,0.0
UserA,h14_wi01,Natural Gas,1.072057183955362e-19
UserA,h15_wi01,EE,3.469446951953614e-18
UserA,h15_wi01,Hot water,7.034934970378132e-17
UserA,h15_wi01,Heat,0.0
UserA,h15_wi01,Cooling,0.0
UserA,h15_wi01,Cooking,-4.105743522941907e-14
UserA,h15_wi01,Natural Gas,9.382063821224013e-15
UserA,h16_wi01,EE,-7.632783294297951e-17
UserA,h16_wi01,Hot water,-5.608596379520945e-17
UserA,h16_wi01,Heat,0.0
UserA,h16_wi01,Cooling,0.0
UserA,h16_wi01,Cooking,-4.0849268412301853e-14
UserA,h16_wi01,Natural Gas,9.334975195250133e-15
UserA,h17_wi01,EE,2.7755575615628914e-17
UserA,h17_wi01,Hot water,-3.7926237496206066e-17
UserA,h17_wi01,Heat,0.0
UserA,h17_wi01,Cooling,0.0
UserA,h17_wi01,Cooking,-4.748111626096119e-14
UserA,h17_wi01,Natural Gas,0.0
UserA,h18_wi01,EE,7.632783294297951e-17
UserA,h18_wi01,Hot water,-1.6236601954003359e-16
UserA,h18_wi01,Heat,0.0
UserA,h18_wi01,Cooling,0.0
UserA,h18_wi01,Cooking,0.0
UserA,h18_wi01,Natural Gas,7.245649076698524e-19
UserA,h19_wi01,EE,0.0
UserA,h19_wi01,Hot water,-1.4314228978512748e-17
UserA,h19_wi01,Heat,0.0
UserA,h19_wi01,Cooling,0.0
UserA,h19_wi01,Cooking,0.0
UserA,h19_wi01,Natural Gas,2.0601685221288965e-18
UserA,h20_wi01,EE,0.0
UserA,h20_wi01,Hot water,1.009050187536617e-17
UserA,h20_wi01,Heat,0.0
UserA,h20_wi01,Cooling,0.0
UserA,h20_wi01,Cooking,0.0
UserA,h20_wi01,Natural Gas,-1.0043293839065611e-17
UserA,h21_wi01,EE,5.551115123125783e-17
UserA,h21_wi01,Hot water,1.009050187536617e-17
UserA,h21_wi01,Heat,0.0
UserA,h21_wi01,Cooling,0.0
UserA,h21_wi01,Cooking,0.0
UserA,h21_wi01,Natural Gas,-1.8932661725304283e-29
UserA,h22_wi01,EE,1.0408340855860843e-17
UserA,h22_wi01,Hot water,1.009050187536617e-17
UserA,h22_wi01,Heat,0.0
UserA,h22_wi01,Cooling,0.0
UserA,h22_wi01,Cooking,-7.141162661206124e-14
UserA,h22_wi01,Natural Gas,1.6318818770277234e-14
UserA,h23_wi01,EE,-3.122502256758253e-17
UserA,h23_wi01,Hot water,1.009050187536617e-17
UserA,h23_wi01,Heat,0.0
UserA,h23_wi01,Cooling,0.0
UserA,h23_wi01,Cooking,-5.737077479750496e-14
UserA,h23_wi01,Natural Gas,1.3110014020589135e-14
UserA,h24_wi01,EE,9.75781955236954e-17
UserA,h24_wi01,Hot water,1.009050187536617e-17
UserA,h24_wi01,Heat,0.0
UserA,h24_wi01,Cooling,0.0
UserA,h24_wi01,Cooking,-7.324436196443074e-15
UserA,h24_wi01,Natural Gas,1.6737410849947857e-15
UserA,h01_wi02,EE,0.0
UserA,h01_wi02,Hot water,1.009050187536617e-17
UserA,h01_wi02,Heat,0.0
UserA,h01_wi02,Cooling,0.0
UserA,h01_wi02,Cooking,0.0
UserA,h01_wi02,Natural Gas,0.0
UserA,h02_wi02,EE,2.7755575615628914e-17
UserA,h02_wi02,Hot water,-1.0093180058714948e-16
UserA,h02_wi02,Heat,0.0
UserA,h02_wi02,Cooling,0.0
UserA,h02_wi02,Cooking,0.0
UserA,h02_wi02,Natural Gas,0.0
UserA,h03_wi02,EE,0.0
UserA,h03_wi02,Hot water,1.009050187536617e-17
UserA,h03_wi02,Heat,0.0
UserA,h03_wi02,Cooling,0.0
UserA,h03_wi02,Cooking,0.0
UserA,h03_wi02,Natural Gas,0.0
UserA,h04_wi02,EE,0.0
UserA,h04_wi02,Hot water,1.3607090677609794e-17
UserA,h04_wi02,Heat,0.0
UserA,h04_wi02,Cooling,0.0
UserA,h04_wi02,Cooking,0.0
UserA,h04_wi02,Natural Gas,0.0
UserA,h05_wi02,EE,-5.551115123125783e-17
UserA,h05_wi02,Hot water,2.0679515313825692e-25
UserA,h05_wi02,Heat,0.0
UserA,h05_wi02,Cooling,0.0
UserA,h05_wi02,Cooking,0.0
UserA,h05_wi02,Natural Gas,0.0
UserA,h06_wi02,EE,-5.551115123125783e-17
UserA,h06_wi02,Hot water,-4.720814199186567e-17
UserA,h06_wi02,Heat,0.0
UserA,h06_wi02,Cooling,0.0
UserA,h06_wi02,Cooking,0.0
UserA,h06_wi02,Natural Gas,0.0
UserA,h07_wi02,EE,0.0
UserA,h07_wi02,Hot water,7.485587393513298e-17
UserA,h07_wi02,Heat,0.0
UserA,h07_wi02,Cooling,0.0
UserA,h07_wi02,Cooking,0.0
UserA,h07_wi02,Natural Gas,0.0
UserA,h08_wi02,EE,0.0
UserA,h08_wi02,Hot water,-1.8594026519481233e-16
UserA,h08_wi02,Heat,0.0
UserA,h08_wi02,Cooling,0.0
UserA,h08_wi02,Cooking,0.0
UserA,h08_wi02,Natural Gas,0.0
UserA,h09_wi02,EE,0.0
UserA,h09_wi02,Hot water,-8.832776297559675e-17
UserA,h09_wi02,Heat,0.0
UserA,h09_wi02,Cooling,0.0
UserA,h09_wi02,Cooking,0.0
UserA,h09_wi02,Natural Gas,0.0
UserA,h10_wi02,EE,0.0
UserA,h10_wi02,Hot water,2.321351068003975e-16
UserA,h10_wi02,Heat,0.0
UserA,h10_wi02,Cooling,0.0
UserA,h10_wi02,Cooking,0.0
UserA,h10_wi02,Natural Gas,0.0
UserA,h11_wi02,EE,-5.551115123125783e-17
UserA,h11_wi02,Hot water,1.009050187536617e-17
UserA,h11_wi02,Heat,0.0
UserA,h11_wi02,Cooling,0.0
UserA,h11_wi02,Cooking,0.0
UserA,h11_wi02,Natural Gas,0.0
UserA,h12_wi02,EE,0.0
UserA,h12_wi02,Hot water,2.321351068003975e-16
UserA,h12_wi02,Heat,0.0
UserA,h12_wi02,Cooling,0.0
UserA,h12_wi02,Cooking,0.0
UserA,h12_wi02,Natural Gas,1.1384840584149642e-26
UserA,h13_wi02,EE,5.551115123125783e-17
UserA,h13_wi02,Hot water,2.321351068003975e-16
UserA,h13_wi02,Heat,0.0
UserA,h13_wi02,Cooling,0.0
UserA,h13_wi02,Cooking,0.0
UserA,h13_wi02,Natural Gas,-5.746776049211365e-19
UserA,h14_wi02,EE,0.0
UserA,h14_wi02,Hot water,2.321351068003975e-16
UserA,h14_wi02,Heat,0.0
UserA,h14_wi02,Cooling,0.0
UserA,h14_wi02,Cooking,0.0
UserA,h14_wi02,Natural Gas,-3.346627910968686e-19
UserA,h15_wi02,EE,3.469446951953614e-18
UserA,h15_wi02,Hot water,7.034934970378132e-17
