s_names,t_names,values
UserA,PV sys,2.0
UserA,National Grid EE,0.0
UserA,Storage EE,1.0
UserA,Gas Boiler,6.240454785003859e-10
UserA,HP,1.9999999976506742
UserA,AC,1.1732342372786618e-09
UserA,Storage HW,1.014258674137966e-08
UserA,Radiators,1.999999997725315
UserA,Floor heating,2.2755949251124286e-09
UserA,Induction stove,0.9999999999995995
UserA,Gas stove,0.0
UserA,Gas National Grid,1.0
UserB,PV sys,3.0
UserB,National Grid EE,0.0
UserB,Storage EE,1.0
UserB,Gas Boiler,0.0
UserB,HP,2.0
UserB,AC,0.0
UserB,Storage HW,1.0
UserB,Radiators,2.0
UserB,Floor heating,0.0
UserB,Induction stove,1.0
UserB,Gas stove,0.0
UserB,Gas National Grid,0.0
UserC,PV sys,2.0
UserC,National Grid EE,0.0
UserC,Storage EE,1.0
UserC,Gas Boiler,1.0
UserC,HP,0.0
UserC,AC,1.0
UserC,Storage HW,0.0
UserC,Radiators,2.0
UserC,Floor heating,0.0
UserC,Induction stove,-0.0
UserC,Gas stove,1.0
UserC,Gas National Grid,1.0
UserD,PV sys,4.0
UserD,National Grid EE,0.0
UserD,Storage EE,1.0
UserD,Gas Boiler,0.0
UserD,HP,4.0
UserD,AC,0.0
UserD,Storage HW,0.0
UserD,Radiators,2.0
UserD,Floor heating,0.0
UserD,Induction stove,1.0
UserD,Gas stove,0.0
UserD,Gas National Grid,1.0
