s_names,t_names,values
UserA,PV sys,2.0
UserA,National Grid EE,3.0
UserA,Storage EE,3.0
UserA,Gas Boiler,0.0
UserA,HP,7.0
UserA,AC,0.0
UserA,Storage HW,0.0
UserA,Radiators,14.999999999999996
UserA,Floor heating,0.0
UserA,Induction stove,3.9999999999873377
UserA,Gas stove,-3.3102364388670874e-10
UserA,Gas National Grid,1.0
UserB,PV sys,3.0
UserB,National Grid EE,3.0
UserB,Storage EE,3.0
UserB,Gas Boiler,0.0
UserB,HP,7.0
UserB,AC,0.0
UserB,Storage HW,6.0
UserB,Radiators,27.000000006911666
UserB,Floor heating,-5.375743173373555e-09
UserB,Induction stove,4.0
UserB,Gas stove,0.0
UserB,Gas National Grid,1.0
UserC,PV sys,4.0
UserC,National Grid EE,3.0
UserC,Storage EE,3.0
UserC,Gas Boiler,0.0
UserC,HP,7.0
UserC,AC,0.0
UserC,Storage HW,42.0
UserC,Radiators,39.0
UserC,Floor heating,0.0
UserC,Induction stove,4.0
UserC,Gas stove,0.0
UserC,Gas National Grid,1.0
UserD,PV sys,4.0
UserD,National Grid EE,3.0
UserD,Storage EE,3.0
UserD,Gas Boiler,0.0
UserD,HP,14.0
UserD,AC,0.0
UserD,Storage HW,6.0
UserD,Radiators,51.0
UserD,Floor heating,0.0
UserD,Induction stove,4.0
UserD,Gas stove,0.0
UserD,Gas National Grid,1.0
