s_names,th_names,n_names,values
UserA,h01_wi01,EE,-4.656613150633149e-10
UserA,h01_wi01,Hot water,0.0
UserA,h01_wi01,Heat,0.0
UserA,h01_wi01,Cooling,0.0
UserA,h01_wi01,Cooking,0.0
UserA,h01_wi01,Natural Gas,0.0
UserA,h02_wi01,EE,0.0
UserA,h02_wi01,Hot water,0.0
UserA,h02_wi01,Heat,0.0
UserA,h02_wi01,Cooling,0.0
UserA,h02_wi01,Cooking,0.0
UserA,h02_wi01,Natural Gas,0.0
UserA,h03_wi01,EE,0.0
UserA,h03_wi01,Hot water,0.0
UserA,h03_wi01,Heat,0.0
UserA,h03_wi01,Cooling,0.0
UserA,h03_wi01,Cooking,0.0
UserA,h03_wi01,Natural Gas,0.0
UserA,h04_wi01,EE,0.0
UserA,h04_wi01,Hot water,0.0
UserA,h04_wi01,Heat,0.0
UserA,h04_wi01,Cooling,0.0
UserA,h04_wi01,Cooking,0.0
UserA,h04_wi01,Natural Gas,0.0
UserA,h05_wi01,EE,3.469446951953614e-18
UserA,h05_wi01,Hot water,0.0
UserA,h05_wi01,Heat,0.0
UserA,h05_wi01,Cooling,0.0
UserA,h05_wi01,Cooking,0.0
UserA,h05_wi01,Natural Gas,2.7767903863779616e-28
UserA,h06_wi01,EE,2.42861286636753e-17
UserA,h06_wi01,Hot water,0.0
UserA,h06_wi01,Heat,0.0
UserA,h06_wi01,Cooling,0.0
UserA,h06_wi01,Cooking,-4.062201963694889e-14
UserA,h06_wi01,Natural Gas,0.0
UserA,h07_wi01,EE,-1.249000902703301e-16
UserA,h07_wi01,Hot water,0.0
UserA,h07_wi01,Heat,0.0
UserA,h07_wi01,Cooling,0.0
UserA,h07_wi01,Cooking,-5.539665948184336e-14
UserA,h07_wi01,Natural Gas,0.0
UserA,h08_wi01,EE,1.3877787807814457e-16
UserA,h08_wi01,Hot water,-2.220446049250313e-16
UserA,h08_wi01,Heat,0.0
UserA,h08_wi01,Cooling,0.0
UserA,h08_wi01,Cooking,-5.175374018229206e-14
UserA,h08_wi01,Natural Gas,0.0
UserA,h09_wi01,EE,6.418476861114186e-17
UserA,h09_wi01,Hot water,-2.220446049250313e-16
UserA,h09_wi01,Heat,0.0
UserA,h09_wi01,Cooling,0.0
UserA,h09_wi01,Cooking,-3.779268564763072e-14
UserA,h09_wi01,Natural Gas,0.0
UserA,h10_wi01,EE,5.941427905220564e-17
UserA,h10_wi01,Hot water,0.0
UserA,h10_wi01,Heat,0.0
UserA,h10_wi01,Cooling,0.0
UserA,h10_wi01,Cooking,0.0
UserA,h10_wi01,Natural Gas,-3.155443620884047e-29
UserA,h11_wi01,EE,1.3877787807814457e-17
UserA,h11_wi01,Hot water,0.0
UserA,h11_wi01,Heat,0.0
UserA,h11_wi01,Cooling,0.0
UserA,h11_wi01,Cooking,-8.416184416049077e-14
UserA,h11_wi01,Natural Gas,0.0
UserA,h12_wi01,EE,1.1102230246251565e-16
UserA,h12_wi01,Hot water,0.0
UserA,h12_wi01,Heat,0.0
UserA,h12_wi01,Cooling,0.0
UserA,h12_wi01,Cooking,0.0
UserA,h12_wi01,Natural Gas,1.7670484276950664e-28
UserA,h13_wi01,EE,-5.551115123125783e-17
UserA,h13_wi01,Hot water,0.0
UserA,h13_wi01,Heat,0.0
UserA,h13_wi01,Cooling,0.0
UserA,h13_wi01,Cooking,0.0
UserA,h13_wi01,Natural Gas,1.0097419586828951e-28
UserA,h14_wi01,EE,1.3877787807814457e-17
UserA,h14_wi01,Hot water,0.0
UserA,h14_wi01,Heat,0.0
UserA,h14_wi01,Cooling,0.0
UserA,h14_wi01,Cooking,0.0
UserA,h14_wi01,Natural Gas,-5.679798517591285e-29
UserA,h15_wi01,EE,-3.122502256758253e-17
UserA,h15_wi01,Hot water,0.0
UserA,h15_wi01,Heat,0.0
UserA,h15_wi01,Cooling,0.0
UserA,h15_wi01,Cooking,-3.86166792987197e-14
UserA,h15_wi01,Natural Gas,0.0
UserA,h16_wi01,EE,5.204170427930421e-17
UserA,h16_wi01,Hot water,0.0
UserA,h16_wi01,Heat,0.0
UserA,h16_wi01,Cooling,0.0
UserA,h16_wi01,Cooking,-3.844841112154995e-14
UserA,h16_wi01,Natural Gas,0.0
UserA,h17_wi01,EE,-3.469446951953614e-18
UserA,h17_wi01,Hot water,0.0
UserA,h17_wi01,Heat,0.0
UserA,h17_wi01,Cooling,0.0
UserA,h17_wi01,Cooking,-4.333512715337662e-14
UserA,h17_wi01,Natural Gas,0.0
UserA,h18_wi01,EE,-3.469446951953614e-17
UserA,h18_wi01,Hot water,0.0
UserA,h18_wi01,Heat,0.0
UserA,h18_wi01,Cooling,0.0
UserA,h18_wi01,Cooking,0.0
UserA,h18_wi01,Natural Gas,-3.025218786503761e-14
UserA,h19_wi01,EE,-5.551115123125783e-17
UserA,h19_wi01,Hot water,0.0
UserA,h19_wi01,Heat,0.0
UserA,h19_wi01,Cooling,0.0
UserA,h19_wi01,Cooking,-5.551115123125783e-17
UserA,h19_wi01,Natural Gas,-1.9896146102391786e-13
UserA,h20_wi01,EE,-1.6653345369377348e-16
UserA,h20_wi01,Hot water,0.0
UserA,h20_wi01,Heat,0.0
UserA,h20_wi01,Cooling,0.0
UserA,h20_wi01,Cooking,0.0
UserA,h20_wi01,Natural Gas,0.0
UserA,h21_wi01,EE,-1.3877787807814457e-17
