s_names,t_names,values
UserA,PV sys,5.271662743075793e-10
UserA,National Grid EE,0.0
UserA,Storage EE,0.0
UserA,Gas Boiler,1.0
UserA,HP,0.0
UserA,AC,1.0
UserA,Storage HW,2.058976374496845e-09
UserA,Radiators,2.0
UserA,Floor heating,0.0
UserA,Induction stove,-3.0222489751526083e-10
UserA,Gas stove,0.9999999927681479
UserA,Gas National Grid,1.0
UserB,PV sys,1.6754853345598599e-09
UserB,National Grid EE,0.0
UserB,Storage EE,-8.926652251305167e-08
UserB,Gas Boiler,1.0000000834832143
UserB,HP,0.0
UserB,AC,1.0
UserB,Storage HW,2.727634895771091e-07
UserB,Radiators,2.0
UserB,Floor heating,0.0
UserB,Induction stove,1.4624481242009325e-07
UserB,Gas stove,0.9999998537654425
UserB,Gas National Grid,1.0
UserC,PV sys,-0.0
UserC,National Grid EE,0.0
UserC,Storage EE,-0.0
UserC,Gas Boiler,0.9999999666532401
UserC,HP,0.0
UserC,AC,1.0
UserC,Storage HW,2.8045445098070893e-07
UserC,Radiators,2.0
UserC,Floor heating,0.0
UserC,Induction stove,0.0
UserC,Gas stove,1.0
UserC,Gas National Grid,1.0
UserD,PV sys,0.0
UserD,National Grid EE,2.0
UserD,Storage EE,2.5870869017310155e-09
UserD,Gas Boiler,1.0
UserD,HP,0.0
UserD,AC,1.0
UserD,Storage HW,0.0
UserD,Radiators,2.0
UserD,Floor heating,0.0
UserD,Induction stove,0.0
UserD,Gas stove,1.0
UserD,Gas National Grid,1.0
