s_names,th_names,n_names,values
UserA,h01_wi01,EE,0.0
UserA,h01_wi01,Hot water,0.0
UserA,h01_wi01,Heat,0.0
UserA,h01_wi01,Cooling,0.0
UserA,h01_wi01,Cooking,0.0
UserA,h01_wi01,Natural Gas,0.0
UserA,h02_wi01,EE,0.0
UserA,h02_wi01,Hot water,0.0
UserA,h02_wi01,Heat,0.0
UserA,h02_wi01,Cooling,0.0
UserA,h02_wi01,Cooking,0.0
UserA,h02_wi01,Natural Gas,0.0
UserA,h03_wi01,EE,0.0
UserA,h03_wi01,Hot water,-1.241390568118561e-08
UserA,h03_wi01,Heat,0.0
UserA,h03_wi01,Cooling,0.0
UserA,h03_wi01,Cooking,0.0
UserA,h03_wi01,Natural Gas,0.0
UserA,h04_wi01,EE,0.0
UserA,h04_wi01,Hot water,-2.824578060334204e-08
UserA,h04_wi01,Heat,0.0
UserA,h04_wi01,Cooling,0.0
UserA,h04_wi01,Cooking,0.0
UserA,h04_wi01,Natural Gas,0.0
UserA,h05_wi01,EE,0.0
UserA,h05_wi01,Hot water,-4.966996014488245e-08
UserA,h05_wi01,Heat,0.0
UserA,h05_wi01,Cooling,0.0
UserA,h05_wi01,Cooking,0.0
UserA,h05_wi01,Natural Gas,0.0
UserA,h06_wi01,EE,0.0
UserA,h06_wi01,Hot water,-6.735800694990246e-08
UserA,h06_wi01,Heat,0.0
UserA,h06_wi01,Cooling,0.0
UserA,h06_wi01,Cooking,0.0
UserA,h06_wi01,Natural Gas,0.0
UserA,h07_wi01,EE,0.0
UserA,h07_wi01,Hot water,-7.457027950685813e-08
UserA,h07_wi01,Heat,0.0
UserA,h07_wi01,Cooling,0.0
UserA,h07_wi01,Cooking,0.0
UserA,h07_wi01,Natural Gas,0.0
UserA,h08_wi01,EE,0.0
UserA,h08_wi01,Hot water,-7.521714362468401e-08
UserA,h08_wi01,Heat,0.0
UserA,h08_wi01,Cooling,0.0
UserA,h08_wi01,Cooking,0.0
UserA,h08_wi01,Natural Gas,0.0
UserA,h09_wi01,EE,0.0
UserA,h09_wi01,Hot water,-7.318209815920795e-08
UserA,h09_wi01,Heat,0.0
UserA,h09_wi01,Cooling,0.0
UserA,h09_wi01,Cooking,0.0
UserA,h09_wi01,Natural Gas,0.0
UserA,h10_wi01,EE,0.0
UserA,h10_wi01,Hot water,-7.985276662125784e-08
UserA,h10_wi01,Heat,0.0
UserA,h10_wi01,Cooling,0.0
UserA,h10_wi01,Cooking,0.0
UserA,h10_wi01,Natural Gas,0.0
UserA,h11_wi01,EE,0.0
UserA,h11_wi01,Hot water,-7.667838630709412e-08
UserA,h11_wi01,Heat,0.0
UserA,h11_wi01,Cooling,0.0
UserA,h11_wi01,Cooking,0.0
UserA,h11_wi01,Natural Gas,0.0
UserA,h12_wi01,EE,0.0
UserA,h12_wi01,Hot water,-8.133501028240175e-08
UserA,h12_wi01,Heat,0.0
UserA,h12_wi01,Cooling,0.0
UserA,h12_wi01,Cooking,0.0
UserA,h12_wi01,Natural Gas,0.0
UserA,h13_wi01,EE,0.0
UserA,h13_wi01,Hot water,-8.31977222670588e-08
UserA,h13_wi01,Heat,0.0
UserA,h13_wi01,Cooling,0.0
UserA,h13_wi01,Cooking,0.0
UserA,h13_wi01,Natural Gas,0.0
UserA,h14_wi01,EE,0.0
UserA,h14_wi01,Hot water,-9.251087718098461e-08
UserA,h14_wi01,Heat,0.0
UserA,h14_wi01,Cooling,0.0
UserA,h14_wi01,Cooking,0.0
UserA,h14_wi01,Natural Gas,0.0
UserA,h15_wi01,EE,0.0
UserA,h15_wi01,Hot water,-1.0182417131687771e-07
UserA,h15_wi01,Heat,0.0
UserA,h15_wi01,Cooling,0.0
UserA,h15_wi01,Cooking,0.0
UserA,h15_wi01,Natural Gas,0.0
UserA,h16_wi01,EE,0.0
UserA,h16_wi01,Hot water,-1.0741205613840066e-07
UserA,h16_wi01,Heat,0.0
UserA,h16_wi01,Cooling,0.0
UserA,h16_wi01,Cooking,0.0
UserA,h16_wi01,Natural Gas,0.0
UserA,h17_wi01,EE,0.0
UserA,h17_wi01,Hot water,-1.2045062014465202e-07
UserA,h17_wi01,Heat,0.0
UserA,h17_wi01,Cooling,0.0
UserA,h17_wi01,Cooking,0.0
UserA,h17_wi01,Natural Gas,0.0
UserA,h18_wi01,EE,0.0
UserA,h18_wi01,Hot water,-1.414347512440628e-07
UserA,h18_wi01,Heat,0.0
UserA,h18_wi01,Cooling,0.0
UserA,h18_wi01,Cooking,0.0
UserA,h18_wi01,Natural Gas,0.0
UserA,h19_wi01,EE,0.0
UserA,h19_wi01,Hot water,-1.5485081661381628e-07
UserA,h19_wi01,Heat,0.0
UserA,h19_wi01,Cooling,0.0
UserA,h19_wi01,Cooking,0.0
UserA,h19_wi01,Natural Gas,0.0
UserA,h20_wi01,EE,0.0
UserA,h20_wi01,Hot water,-2.008208643822229e-08
UserA,h20_wi01,Heat,0.0
UserA,h20_wi01,Cooling,0.0
UserA,h20_wi01,Cooking,0.0
UserA,h20_wi01,Natural Gas,0.0
UserA,h21_wi01,EE,0.0
UserA,h21_wi01,Hot water,-2.0841301795471168e-08
UserA,h21_wi01,Heat,0.0
UserA,h21_wi01,Cooling,0.0
UserA,h21_wi01,Cooking,0.0
UserA,h21_wi01,Natural Gas,0.0
UserA,h22_wi01,EE,0.0
UserA,h22_wi01,Hot water,0.0
UserA,h22_wi01,Heat,0.0
UserA,h22_wi01,Cooling,0.0
UserA,h22_wi01,Cooking,0.0
UserA,h22_wi01,Natural Gas,0.0
UserA,h23_wi01,EE,0.0
UserA,h23_wi01,Hot water,0.0
UserA,h23_wi01,Heat,0.0
UserA,h23_wi01,Cooling,0.0
UserA,h23_wi01,Cooking,0.0
UserA,h23_wi01,Natural Gas,0.0
UserA,h24_wi01,EE,0.0
UserA,h24_wi01,Hot water,0.0
UserA,h24_wi01,Heat,0.0
UserA,h24_wi01,Cooling,0.0
UserA,h24_wi01,Cooking,0.0
UserA,h24_wi01,Natural Gas,0.0
UserA,h01_wi02,EE,0.0
UserA,h01_wi02,Hot water,0.0
UserA,h01_wi02,Heat,0.0
UserA,h01_wi02,Cooling,0.0
UserA,h01_wi02,Cooking,0.0
UserA,h01_wi02,Natural Gas,0.0
UserA,h02_wi02,EE,0.0
UserA,h02_wi02,Hot water,0.0
UserA,h02_wi02,Heat,0.0
UserA,h02_wi02,Cooling,0.0
UserA,h02_wi02,Cooking,0.0
UserA,h02_wi02,Natural Gas,0.0
UserA,h03_wi02,EE,0.0
UserA,h03_wi02,Hot water,0.0
UserA,h03_wi02,Heat,0.0
UserA,h03_wi02,Cooling,0.0
UserA,h03_wi02,Cooking,0.0
UserA,h03_wi02,Natural Gas,0.0
UserA,h04_wi02,EE,0.0
UserA,h04_wi02,Hot water,-1.005981586921223e-08
UserA,h04_wi02,Heat,0.0
UserA,h04_wi02,Cooling,0.0
UserA,h04_wi02,Cooking,0.0
UserA,h04_wi02,Natural Gas,0.0
UserA,h05_wi02,EE,0.0
UserA,h05_wi02,Hot water,-1.7772161964302313e-08
UserA,h05_wi02,Heat,0.0
UserA,h05_wi02,Cooling,0.0
UserA,h05_wi02,Cooking,0.0
UserA,h05_wi02,Natural Gas,0.0
UserA,h06_wi02,EE,0.0
UserA,h06_wi02,Hot water,-3.5689231348001726e-08
UserA,h06_wi02,Heat,0.0
UserA,h06_wi02,Cooling,0.0
UserA,h06_wi02,Cooking,0.0
UserA,h06_wi02,Natural Gas,0.0
UserA,h07_wi02,EE,0.0
UserA,h07_wi02,Hot water,-3.088468836232039e-08
UserA,h07_wi02,Heat,0.0
UserA,h07_wi02,Cooling,0.0
UserA,h07_wi02,Cooking,0.0
UserA,h07_wi02,Natural Gas,0.0
UserA,h08_wi02,EE,0.0
UserA,h08_wi02,Hot water,-3.847367491260911e-08
UserA,h08_wi02,Heat,0.0
UserA,h08_wi02,Cooling,0.0
UserA,h08_wi02,Cooking,0.0
UserA,h08_wi02,Natural Gas,0.0
UserA,h09_wi02,EE,0.0
UserA,h09_wi02,Hot water,-3.998311126629517e-08
UserA,h09_wi02,Heat,0.0
UserA,h09_wi02,Cooling,0.0
UserA,h09_wi02,Cooking,0.0
UserA,h09_wi02,Natural Gas,0.0
UserA,h10_wi02,EE,0.0
UserA,h10_wi02,Hot water,-4.3834447849278035e-08
UserA,h10_wi02,Heat,0.0
UserA,h10_wi02,Cooling,0.0
UserA,h10_wi02,Cooking,0.0
UserA,h10_wi02,Natural Gas,0.0
UserA,h11_wi02,EE,0.0
UserA,h11_wi02,Hot water,-3.6689723259542006e-08
UserA,h11_wi02,Heat,0.0
UserA,h11_wi02,Cooling,0.0
UserA,h11_wi02,Cooking,0.0
UserA,h11_wi02,Natural Gas,0.0
UserA,h12_wi02,EE,0.0
UserA,h12_wi02,Hot water,-3.942549442470522e-08
UserA,h12_wi02,Heat,0.0
UserA,h12_wi02,Cooling,0.0
UserA,h12_wi02,Cooking,0.0
UserA,h12_wi02,Natural Gas,0.0
UserA,h13_wi02,EE,0.0
UserA,h13_wi02,Hot water,-4.0706129800227586e-08
UserA,h13_wi02,Heat,0.0
UserA,h13_wi02,Cooling,0.0
UserA,h13_wi02,Cooking,0.0
UserA,h13_wi02,Natural Gas,0.0
UserA,h14_wi02,EE,0.0
UserA,h14_wi02,Hot water,-5.5311613067488e-08
UserA,h14_wi02,Heat,0.0
UserA,h14_wi02,Cooling,0.0
UserA,h14_wi02,Cooking,0.0
UserA,h14_wi02,Natural Gas,0.0
UserA,h15_wi02,EE,0.0
UserA,h15_wi02,Hot water,-3.385365565655718e-08
UserA,h15_wi02,Heat,0.0
UserA,h15_wi02,Cooling,0.0
UserA,h15_wi02,Cooking,0.0
UserA,h15_wi02,Natural Gas,0.0
UserA,h16_wi02,EE,0.0
UserA,h16_wi02,Hot water,-3.1404683520364074e-08
UserA,h16_wi02,Heat,0.0
UserA,h16_wi02,Cooling,0.0
UserA,h16_wi02,Cooking,0.0
UserA,h16_wi02,Natural Gas,0.0
UserA,h17_wi02,EE,0.0
UserA,h17_wi02,Hot water,-1.7313011468900186e-08
UserA,h17_wi02,Heat,0.0
UserA,h17_wi02,Cooling,0.0
UserA,h17_wi02,Cooking,0.0
UserA,h17_wi02,Natural Gas,0.0
UserA,h18_wi02,EE,0.0
UserA,h18_wi02,Hot water,-3.052500407996206e-08
UserA,h18_wi02,Heat,0.0
UserA,h18_wi02,Cooling,0.0
UserA,h18_wi02,Cooking,0.0
UserA,h18_wi02,Natural Gas,0.0
UserA,h19_wi02,EE,0.0
UserA,h19_wi02,Hot water,-3.279250693211111e-08
UserA,h19_wi02,Heat,0.0
UserA,h19_wi02,Cooling,0.0
UserA,h19_wi02,Cooking,0.0
UserA,h19_wi02,Natural Gas,0.0
UserA,h20_wi02,EE,0.0
UserA,h20_wi02,Hot water,-3.48760831325734e-08
UserA,h20_wi02,Heat,0.0
UserA,h20_wi02,Cooling,0.0
UserA,h20_wi02,Cooking,0.0
UserA,h20_wi02,Natural Gas,0.0
UserA,h21_wi02,EE,0.0
UserA,h21_wi02,Hot water,-2.7829139881418996e-08
UserA,h21_wi02,Heat,0.0
UserA,h21_wi02,Cooling,0.0
UserA,h21_wi02,Cooking,0.0
UserA,h21_wi02,Natural Gas,0.0
UserA,h22_wi02,EE,0.0
UserA,h22_wi02,Hot water,-3.0092830671790693e-08
UserA,h22_wi02,Heat,0.0
UserA,h22_wi02,Cooling,0.0
UserA,h22_wi02,Cooking,0.0
UserA,h22_wi02,Natural Gas,0.0
UserA,h23_wi02,EE,0.0
UserA,h23_wi02,Hot water,-3.4237219392885265e-08
UserA,h23_wi02,Heat,0.0
UserA,h23_wi02,Cooling,0.0
UserA,h23_wi02,Cooking,0.0
UserA,h23_wi02,Natural Gas,0.0
UserA,h24_wi02,EE,0.0
UserA,h24_wi02,Hot water,-2.6228430316521667e-08
UserA,h24_wi02,Heat,0.0
UserA,h24_wi02,Cooling,0.0
UserA,h24_wi02,Cooking,0.0
UserA,h24_wi02,Natural Gas,0.0
UserA,h01_wi03,EE,0.0
UserA,h01_wi03,Hot water,-1.9285727348439252e-08
UserA,h01_wi03,Heat,0.0
UserA,h01_wi03,Cooling,0.0
UserA,h01_wi03,Cooking,0.0
UserA,h01_wi03,Natural Gas,0.0
UserA,h02_wi03,EE,0.0
UserA,h02_wi03,Hot water,-2.0158762881195003e-08
UserA,h02_wi03,Heat,0.0
UserA,h02_wi03,Cooling,0.0
UserA,h02_wi03,Cooking,0.0
UserA,h02_wi03,Natural Gas,0.0
UserA,h03_wi03,EE,0.0
UserA,h03_wi03,Hot water,-2.196326609471555e-08
UserA,h03_wi03,Heat,0.0
UserA,h03_wi03,Cooling,0.0
UserA,h03_wi03,Cooking,0.0
UserA,h03_wi03,Natural Gas,0.0
UserA,h04_wi03,EE,0.0
UserA,h04_wi03,Hot water,-2.3709512353420337e-08
UserA,h04_wi03,Heat,0.0
UserA,h04_wi03,Cooling,0.0
UserA,h04_wi03,Cooking,0.0
UserA,h04_wi03,Natural Gas,0.0
UserA,h05_wi03,EE,0.0
UserA,h05_wi03,Hot water,-2.7201916719121755e-08
UserA,h05_wi03,Heat,0.0
UserA,h05_wi03,Cooling,0.0
UserA,h05_wi03,Cooking,0.0
UserA,h05_wi03,Natural Gas,0.0
UserA,h06_wi03,EE,0.0
UserA,h06_wi03,Hot water,-3.2033119046204206e-08
UserA,h06_wi03,Heat,0.0
UserA,h06_wi03,Cooling,0.0
UserA,h06_wi03,Cooking,0.0
UserA,h06_wi03,Natural Gas,0.0
UserA,h07_wi03,EE,0.0
UserA,h07_wi03,Hot water,-5.071107311849232e-08
UserA,h07_wi03,Heat,0.0
UserA,h07_wi03,Cooling,0.0
UserA,h07_wi03,Cooking,0.0
UserA,h07_wi03,Natural Gas,0.0
UserA,h08_wi03,EE,0.0
UserA,h08_wi03,Hot water,-5.779905731806423e-08
UserA,h08_wi03,Heat,0.0
UserA,h08_wi03,Cooling,0.0
UserA,h08_wi03,Cooking,0.0
UserA,h08_wi03,Natural Gas,0.0
UserA,h09_wi03,EE,0.0
UserA,h09_wi03,Hot water,-5.9318294276522465e-08
UserA,h09_wi03,Heat,0.0
UserA,h09_wi03,Cooling,0.0
UserA,h09_wi03,Cooking,0.0
UserA,h09_wi03,Natural Gas,0.0
UserA,h10_wi03,EE,0.0
UserA,h10_wi03,Hot water,-3.883699828399756e-08
UserA,h10_wi03,Heat,0.0
UserA,h10_wi03,Cooling,0.0
UserA,h10_wi03,Cooking,0.0
UserA,h10_wi03,Natural Gas,0.0
UserA,h11_wi03,EE,0.0
UserA,h11_wi03,Hot water,-1.7771039750869022e-08
UserA,h11_wi03,Heat,0.0
UserA,h11_wi03,Cooling,0.0
UserA,h11_wi03,Cooking,0.0
UserA,h11_wi03,Natural Gas,0.0
UserA,h12_wi03,EE,0.0
UserA,h12_wi03,Hot water,-1.7771732974125598e-08
UserA,h12_wi03,Heat,0.0
UserA,h12_wi03,Cooling,0.0
UserA,h12_wi03,Cooking,0.0
UserA,h12_wi03,Natural Gas,0.0
UserA,h13_wi03,EE,0.0
UserA,h13_wi03,Hot water,-1.778015579212422e-08
UserA,h13_wi03,Heat,0.0
UserA,h13_wi03,Cooling,0.0
UserA,h13_wi03,Cooking,0.0
UserA,h13_wi03,Natural Gas,0.0
UserA,h14_wi03,EE,0.0
UserA,h14_wi03,Hot water,-1.733636523226778e-08
UserA,h14_wi03,Heat,0.0
UserA,h14_wi03,Cooling,0.0
UserA,h14_wi03,Cooking,0.0
UserA,h14_wi03,Natural Gas,0.0
UserA,h15_wi03,EE,0.0
UserA,h15_wi03,Hot water,-1.77882251151118e-08
UserA,h15_wi03,Heat,0.0
UserA,h15_wi03,Cooling,0.0
UserA,h15_wi03,Cooking,0.0
UserA,h15_wi03,Natural Gas,0.0
UserA,h16_wi03,EE,0.0
UserA,h16_wi03,Hot water,-1.7351162284739985e-08
UserA,h16_wi03,Heat,0.0
UserA,h16_wi03,Cooling,0.0
UserA,h16_wi03,Cooking,0.0
UserA,h16_wi03,Natural Gas,0.0
UserA,h17_wi03,EE,0.0
UserA,h17_wi03,Hot water,-1.736530741425213e-08
UserA,h17_wi03,Heat,0.0
UserA,h17_wi03,Cooling,0.0
UserA,h17_wi03,Cooking,0.0
UserA,h17_wi03,Natural Gas,0.0
UserA,h18_wi03,EE,0.0
UserA,h18_wi03,Hot water,-3.524568881196899e-08
UserA,h18_wi03,Heat,0.0
UserA,h18_wi03,Cooling,0.0
UserA,h18_wi03,Cooking,0.0
UserA,h18_wi03,Natural Gas,0.0
UserA,h19_wi03,EE,0.0
UserA,h19_wi03,Hot water,-3.666585546291401e-08
UserA,h19_wi03,Heat,0.0
UserA,h19_wi03,Cooling,0.0
UserA,h19_wi03,Cooking,0.0
