s_names,t_names,values
UserA,PV sys,-2.233501744228481e-11
UserA,National Grid EE,0.0
UserA,Storage EE,0.0
UserA,Gas Boiler,1.0
UserA,HP,0.0
UserA,AC,1.0
UserA,Storage HW,5.028093914299181e-08
UserA,Radiators,2.0
UserA,Floor heating,0.0
UserA,Induction stove,0.0
UserA,Gas stove,1.0000000221175016
UserA,Gas National Grid,2.0
UserB,PV sys,0.0
UserB,National Grid EE,0.0
UserB,Storage EE,0.0
UserB,Gas Boiler,1.0
UserB,HP,0.0
UserB,AC,1.0
UserB,Storage HW,0.0
UserB,Radiators,2.0
UserB,Floor heating,-0.0
UserB,Induction stove,0.0
UserB,Gas stove,1.0
UserB,Gas National Grid,2.0
UserC,PV sys,-4.413399498857521e-10
UserC,National Grid EE,0.0
UserC,Storage EE,-0.0
UserC,Gas Boiler,0.9999999993040465
UserC,HP,1.6361765900872216e-09
UserC,AC,0.9999999991826812
UserC,Storage HW,-0.0
UserC,Radiators,1.9999999999999996
UserC,Floor heating,0.0
UserC,Induction stove,0.0
UserC,Gas stove,1.0
UserC,Gas National Grid,2.0
UserD,PV sys,0.0
UserD,National Grid EE,2.0
UserD,Storage EE,-0.0
UserD,Gas Boiler,1.000000000000723
UserD,HP,0.0
UserD,AC,1.0
UserD,Storage HW,-0.0
UserD,Radiators,2.0
UserD,Floor heating,-0.0
UserD,Induction stove,0.0
UserD,Gas stove,1.0
UserD,Gas National Grid,2.0
