s_names,th_names,n_names,values
UserA,h01_wi01,EE,0.23438542370459362
UserA,h01_wi01,Hot water,0.7120778278907378
UserA,h01_wi01,Heat,0.5696622623887834
UserA,h01_wi01,Cooling,0.0
UserA,h01_wi01,Cooking,0.0
UserA,h01_wi01,Natural Gas,0.0685151351994094
UserA,h02_wi01,EE,0.1408676000000001
UserA,h02_wi01,Hot water,0.8227323934510249
UserA,h02_wi01,Heat,0.658185914837013
UserA,h02_wi01,Cooling,0.0
UserA,h02_wi01,Cooking,0.0
UserA,h02_wi01,Natural Gas,0.07916216621293418
UserA,h03_wi01,EE,0.1820833666666667
UserA,h03_wi01,Hot water,1.0603202952044768
UserA,h03_wi01,Heat,0.8482562362397746
UserA,h03_wi01,Cooling,0.0
UserA,h03_wi01,Cooking,0.0
UserA,h03_wi01,Natural Gas,0.1020225435585949
UserA,h04_wi01,EE,0.1742339500000001
UserA,h04_wi01,Hot water,1.3857894392981225
UserA,h04_wi01,Heat,1.108631551522968
UserA,h04_wi01,Cooling,0.0
UserA,h04_wi01,Cooking,0.0
UserA,h04_wi01,Natural Gas,0.13333873177120392
UserA,h05_wi01,EE,0.15625100016223833
UserA,h05_wi01,Hot water,1.5496703624949568
UserA,h05_wi01,Heat,1.239736290090425
UserA,h05_wi01,Cooling,0.0
UserA,h05_wi01,Cooking,0.003110168656653025
UserA,h05_wi01,Natural Gas,0.14981785940205147
UserA,h06_wi01,EE,0.17250070064675146
UserA,h06_wi01,Hot water,1.4698051630063749
UserA,h06_wi01,Heat,1.175844130494691
UserA,h06_wi01,Cooling,0.0
UserA,h06_wi01,Cooking,0.01239846983273267
UserA,h06_wi01,Natural Gas,0.14425589605571915
UserA,h07_wi01,EE,0.37225010089254734
UserA,h07_wi01,Hot water,1.816062024272266
UserA,h07_wi01,Heat,1.135578085341558
UserA,h07_wi01,Cooling,0.0
UserA,h07_wi01,Cooking,0.01711047274324019
UserA,h07_wi01,Natural Gas,0.1786490325649583
UserA,h08_wi01,EE,0.22441790000000017
UserA,h08_wi01,Hot water,1.869685226644791
UserA,h08_wi01,Heat,1.063319697405066
UserA,h08_wi01,Cooling,0.0
UserA,h08_wi01,Cooking,0.01593653016887095
UserA,h08_wi01,Natural Gas,0.18354031423033382
UserA,h09_wi01,EE,0.339085516666667
UserA,h09_wi01,Hot water,2.0272097044516255
UserA,h09_wi01,Heat,1.001122771609613
UserA,h09_wi01,Cooling,0.0
UserA,h09_wi01,Cooking,0.01153554412402874
UserA,h09_wi01,Natural Gas,0.19769139052691173
UserA,h10_wi01,EE,0.34650240767596563
UserA,h10_wi01,Hot water,1.5802867288049418
UserA,h10_wi01,Heat,0.9541721562473806
UserA,h10_wi01,Cooling,0.0
UserA,h10_wi01,Cooking,0.002867978070237247
UserA,h10_wi01,Natural Gas,0.15270834969787236
UserA,h11_wi01,EE,0.3038348833333335
UserA,h11_wi01,Hot water,1.1567276416490029
UserA,h11_wi01,Heat,0.9253821133953954
UserA,h11_wi01,Cooling,0.0
UserA,h11_wi01,Cooking,0.02618774994992272
UserA,h11_wi01,Natural Gas,0.11728312785336951
UserA,h12_wi01,EE,0.2602505500000001
UserA,h12_wi01,Hot water,1.150827511406761
UserA,h12_wi01,Heat,0.920662009201602
UserA,h12_wi01,Cooling,0.0
UserA,h12_wi01,Cooking,0.2399868468707511
UserA,h12_wi01,Natural Gas,0.16557262318144855
UserA,h13_wi01,EE,0.6077527798457285
UserA,h13_wi01,Hot water,1.159944212723826
UserA,h13_wi01,Heat,0.9279553702552539
UserA,h13_wi01,Cooling,0.0
UserA,h13_wi01,Cooking,0.2526476357300575
UserA,h13_wi01,Natural Gas,0.16934305052511378
UserA,h14_wi01,EE,1.2000029188546786
UserA,h14_wi01,Hot water,1.1978836163907516
UserA,h14_wi01,Heat,0.9583068931887945
UserA,h14_wi01,Cooling,0.0
UserA,h14_wi01,Cooking,0.04194507207093642
UserA,h14_wi01,Natural Gas,0.12484394868294281
UserA,h15_wi01,EE,0.3190006339492289
UserA,h15_wi01,Hot water,1.2506637573907393
UserA,h15_wi01,Heat,1.000531005988825
UserA,h15_wi01,Cooling,0.0
UserA,h15_wi01,Cooking,0.0118069534138995
UserA,h15_wi01,Natural Gas,0.1230352420525052
UserA,h16_wi01,EE,0.27000000061277957
UserA,h16_wi01,Hot water,1.2990151842363127
UserA,h16_wi01,Heat,1.039212147468231
UserA,h16_wi01,Cooling,0.0
UserA,h16_wi01,Cooking,0.01174721739794708
UserA,h16_wi01,Natural Gas,0.1276738982454463
UserA,h17_wi01,EE,0.25608351736039603
UserA,h17_wi01,Hot water,1.3367579076192895
