s_names,a_names,values
UserA,PV,-2.5572768697963705e-09
UserA,National Grid import,3.0000000391228547
UserA,National Grid export,3.0000000391228547
UserA,Storing EE,0.0
UserA,Gas Boiler heating,23.999999061051483
UserA,HP heating winter,2.738599836782426e-07
UserA,HP heating summer,2.738599836782426e-07
UserA,HP cooling,2.738599836782426e-07
UserA,AC cooling,4.0
UserA,Storing HW,0.0
UserA,Radiators heater,7.49999999485696
UserA,Floor heater,7.2002536476496545e-09
UserA,Induction stove cooking,1.5649141928894483e-07
UserA,Gas stove cooking,3.999999843508581
UserA,Natural Gas supply grid,2.0
UserB,PV,-4.088735164809142e-09
UserB,National Grid import,3.000000000915887
UserB,National Grid export,3.000000000915887
UserB,Storing EE,0.0
UserB,Gas Boiler heating,23.999999985345816
UserB,HP heating winter,4.274137527912909e-09
UserB,HP heating summer,4.274137527912909e-09
UserB,HP cooling,4.274137527912909e-09
UserB,AC cooling,4.0
UserB,Storing HW,2.2678787026541082e-07
UserB,Radiators heater,13.499999999999996
UserB,Floor heater,0.0
UserB,Induction stove cooking,2.4423643016645185e-09
UserB,Gas stove cooking,3.9999999975576355
UserB,Natural Gas supply grid,2.0
UserC,PV,0.0
UserC,National Grid import,3.0
UserC,National Grid export,3.0
UserC,Storing EE,0.0
UserC,Gas Boiler heating,24.0
UserC,HP heating winter,0.0
UserC,HP heating summer,0.0
UserC,HP cooling,0.0
UserC,AC cooling,4.0
UserC,Storing HW,-4.381795890197473e-09
UserC,Radiators heater,19.499999990192485
UserC,Floor heater,1.584290115568995e-08
UserC,Induction stove cooking,0.0
UserC,Gas stove cooking,4.0
UserC,Natural Gas supply grid,2.0
UserD,PV,0.0
UserD,National Grid import,4.0
UserD,National Grid export,4.0
UserD,Storing EE,0.0
UserD,Gas Boiler heating,24.0
UserD,HP heating winter,0.0
UserD,HP heating summer,0.0
UserD,HP cooling,0.0
UserD,AC cooling,4.0
UserD,Storing HW,0.0
UserD,Radiators heater,25.5
UserD,Floor heater,0.0
UserD,Induction stove cooking,0.0
UserD,Gas stove cooking,4.0
UserD,Natural Gas supply grid,2.0
