winter_1,winter_2,winter_3,winter_4,winter_5,winter_6,winter_min,winter_max,mid-cold_1,mid-cold_2,mid-cold_3,mid-cold_4,mid-cold_5,mid-cold_6,mid-cold_min,mid-cold_max,mid-warm_1,mid-warm_2,mid-warm_3,mid-warm_4,mid-warm_5,mid-warm_6,mid-warm_min,mid-warm_max,summer_1,summer_2,summer_3,summer_4,summer_5,summer_6,summer_min,summer_max
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39,0.0,6.44,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.82,0.0,0.0,0.0,2.44,0.0,23.439999999999998,0.0,26.990000000000002,0.0,0.0,0.0,9.95,34.13,38.52,7.1,46.81,4.19,8.62,0.0,23.27
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.38,0.0,0.0,86.875,0.0,40.28,0.0,92.48,21.134999999999998,120.79499999999999,11.370000000000001,114.77,22.89,63.25,2.73,110.97,110.95,111.605,91.735,132.26,37.4,53.765,12.2,104.09
156.92000000000002,0.0,0.0,0.72,2.06,0.0,0.0,146.16,238.82,24.94,159.53,299.06,40.055,140.54,4.14,313.23,198.11,321.98,46.345,272.0,88.57,267.5,14.82,340.91,286.07,243.82999999999998,273.15999999999997,308.03,71.69,107.99,24.67,316.93
405.395,42.465,331.16,269.23,85.78,122.05,0.0,420.68,459.8,56.67,399.88,504.25,125.845,238.005,20.42,517.89,400.93,510.045,71.135,420.81,144.43,463.71,25.48,549.53,457.36,384.995,452.59000000000003,471.84,122.87,164.255,46.54,506.92
589.325,54.39,531.215,410.89,129.0,224.91,0.0,631.85,624.58,64.5,566.76,652.8,174.35,312.53,17.59,672.09,561.105,645.655,76.16,492.355,216.35,608.65,38.85,697.21,585.75,500.25,587.4300000000001,595.19,133.38,250.45,102.38,663.12
711.88,57.7,648.895,491.78,158.0,347.89,0.0,760.97,731.23,71.83,662.82,749.9449999999999,332.32000000000005,338.24,18.29,779.22,641.52,731.635,83.24,549.05,307.25,694.05,37.38,786.59,668.77,561.705,669.995,674.27,139.77,341.21000000000004,70.46,755.63
767.51,62.585,700.38,485.11,218.59,556.52,0.0,834.57,781.91,76.12,693.3,791.865,466.475,356.025,39.88,822.84,666.89,768.3299999999999,84.485,553.7149999999999,420.62,723.24,33.12,818.6,707.16,576.6,708.16,708.85,141.83,479.69,57.67,787.6
759.655,62.155,685.7249999999999,386.15,267.78,648.23,0.0,842.81,785.54,74.8,666.26,778.22,556.97,336.145,31.46,791.89,635.44,757.27,77.345,525.1,489.71,699.06,28.2,789.98,702.79,513.51,699.21,700.39,147.29,546.78,86.71,785.14
711.27,54.775,609.375,301.14,303.39,604.41,0.0,776.43,721.81,67.71,571.75,714.87,494.77,334.03,12.78,733.72,543.4,698.1800000000001,75.18,438.65999999999997,484.67,629.04,38.83,727.17,654.93,380.94,647.7950000000001,649.74,135.65,547.125,76.44,731.44
592.865,44.66,452.15999999999997,171.84,257.28,474.75,0.0,648.31,604.93,54.75,410.14,603.255,356.935,250.13,4.14,611.69,402.91499999999996,586.24,60.09,267.24,379.12,502.56,29.57,613.72,562.71,230.185,543.51,554.96,96.4,493.27,49.17,626.47
414.64,22.775,192.385,76.9,136.2,269.16,0.0,446.13,439.28,32.57,159.21,439.42,127.02000000000001,217.23000000000002,11.34,450.64,213.065,433.365,53.0,169.475,242.02,326.53,27.47,459.36,426.48,149.07999999999998,395.17999999999995,419.39,73.78,375.665,79.57,473.06
174.755,0.0,0.0,0.0,0.0,0.0,0.0,181.24,221.97,0.0,0.0,233.10500000000002,0.0,115.215,0.0,241.1,14.774999999999999,234.715,18.31,125.77000000000001,79.45,109.85,5.8,253.3,253.42,91.1,209.70499999999998,248.5,59.91,218.63,28.02,278.84
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.07,0.0,0.0,39.305,0.0,24.28,0.0,41.4,0.0,54.33,0.0,50.09,0.0,0.0,0.0,47.96,83.25,58.765,42.985,83.25,25.55,68.65,0.96,79.73
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.57,13.385,0.0,23.27,1.07,9.0,0.0,10.12
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
