winter_1,winter_2,winter_3,winter_4,winter_5,winter_6,winter_min,winter_max,mid-cold_1,mid-cold_2,mid-cold_3,mid-cold_4,mid-cold_5,mid-cold_6,mid-cold_min,mid-cold_max,mid-warm_1,mid-warm_2,mid-warm_3,mid-warm_4,mid-warm_5,mid-warm_6,mid-warm_min,mid-warm_max,summer_1,summer_2,summer_3,summer_4,summer_5,summer_6,summer_min,summer_max
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.61,9.01,0.0,0.0,0.11499999999999999,0.0,0.0,3.96
0.0,0.0,0.0,0.0,70.92,0.0,0.0,15.66,0.0,1.97,121.66,0.0,0.0,57.73,12.21,148.32,29.05,3.99,0.0,0.0,12.88,0.0,0.0,31.09,46.63,48.12,20.53,13.6,37.055,15.535,65.66,60.37
114.225,229.94,53.355000000000004,29.26,322.11,147.47,0.28,318.5,255.46,229.32,359.575,50.76,84.285,152.69,75.41,376.19,193.21,141.95499999999998,34.765,54.94,85.01,141.55,3.7,215.62,178.39,200.41,167.415,89.64,177.26,76.115,225.03,231.23
358.635,473.72,122.505,76.71000000000001,529.64,420.94,21.42,551.99,473.01,437.3,556.095,80.17,134.33499999999998,265.16,24.56,566.36,399.46,341.75,99.77000000000001,208.76,164.99,363.32,47.24,437.31,354.4,379.59,360.27,148.34,359.99,160.05,46.55,434.17
482.19,638.69,190.52499999999998,101.49000000000001,677.87,577.16,15.95,719.77,607.78,522.67,691.675,104.88,225.41000000000003,398.11,176.87,718.08,569.47,500.86,128.21,418.655,245.38,536.95,345.52,614.54,506.16,529.5,519.585,202.26,513.22,257.72,105.12,593.37
495.055,733.33,311.065,102.36500000000001,767.33,665.42,225.76,815.45,677.1,541.29,772.2249999999999,122.56,387.14,426.77,66.82,813.56,688.93,547.12,149.60500000000002,515.2,324.27,651.03,43.75,748.15,611.8,637.88,633.355,212.28,624.545,344.71,64.72,700.36
374.105,766.87,453.45000000000005,109.92,786.4,687.04,62.47,859.82,686.56,435.04,805.95,123.78,559.325,531.63,50.32,847.01,758.93,463.0,161.05,597.115,378.33,712.65,96.89,826.39,656.59,701.25,703.45,180.56,696.47,447.735,297.6,763.56
254.37,741.89,524.2950000000001,96.12,722.38,642.23,22.61,780.64,636.06,261.83,790.455,118.64,563.59,583.5,47.16,833.4,782.17,430.84000000000003,142.21,640.73,443.23,721.32,118.29,842.81,637.92,724.97,729.435,171.12,722.875,591.15,328.95,774.39
146.32999999999998,666.14,473.1,85.69,681.94,539.65,81.63,733.12,520.44,132.04,709.53,91.44,422.94,516.74,46.37,736.97,753.27,284.36,125.525,598.815,471.51,673.18,67.57,824.1,472.09,702.27,704.785,164.63,707.0450000000001,617.135,240.13,745.31
109.92500000000001,523.51,345.92499999999995,67.89500000000001,549.0,364.84,16.55,586.44,344.24,97.27,565.1600000000001,62.44,246.69,415.87,15.15,583.68,675.29,205.175,124.03,498.74,552.64,585.04,34.12,710.13,280.7,633.65,634.345,125.58,640.405,579.4300000000001,422.3,669.98
41.525,318.22,157.2,31.335,352.72,108.41,3.34,375.67,102.2,55.68,370.205,35.08,77.945,342.19,35.08,382.83,542.49,126.33500000000001,100.69,359.725,441.47,441.54,20.52,570.08,170.61,516.16,511.88,132.32,525.57,466.53499999999997,286.83,537.53
0.0,50.91,0.0,0.0,123.13,0.0,0.0,127.43,0.0,0.0,138.185,0.0,0.0,120.96,0.0,154.27,359.77,98.685,76.975,162.685,319.28,241.05,78.26,378.2,127.66,355.16,341.55,122.06,365.83000000000004,333.14,114.64,366.04
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.0,5.35,150.58,39.915,21.325,0.63,142.7,41.84,1.81,156.85,98.74,168.22,146.57,91.2,178.52499999999998,154.16,53.41,158.88
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.02,2.455,0.0,0.0,24.23,0.0,0.0,24.33,34.95,37.32,20.41,22.59,35.34,35.41,32.96,33.46
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.11,9.98,0.0,0.0,7.59,1.9,3.81,0.09
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
