winter_1,winter_2,winter_3,winter_4,winter_5,winter_6,winter_min,winter_max,mid-cold_1,mid-cold_2,mid-cold_3,mid-cold_4,mid-cold_5,mid-cold_6,mid-cold_min,mid-cold_max,mid-warm_1,mid-warm_2,mid-warm_3,mid-warm_4,mid-warm_5,mid-warm_6,mid-warm_min,mid-warm_max,summer_1,summer_2,summer_3,summer_4,summer_5,summer_6,summer_min,summer_max
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11499999999999999,0.0,1.5550000000000002,9.01,0.0,0.0,3.96
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.12,0.0,0.15,0.0,0.0,0.0,3.3,0.0,37.07,21.735,0.0,0.23,0.0,0.0,31.09,13.6,37.07,20.53,46.67,48.025000000000006,15.535,65.66,60.37
0.0,0.0,0.0,0.0,8.14,0.0,0.0,15.66,0.0,145.39999999999998,0.0,130.645,0.0,62.65,12.21,171.21,56.39,204.91,83.82,29.58,135.36,140.04000000000002,3.7,215.62,89.64,177.26,167.415,177.99,200.29000000000002,76.115,225.03,231.23
108.57,159.76,25.585,49.16,275.67,118.14,0.0,318.5,249.44,374.87,115.65,349.135,52.519999999999996,127.71,75.41,411.86,199.09,408.23,163.615,94.01,338.14,364.19,47.24,437.31,148.34,359.945,360.27,354.335,379.655,160.05,46.55,434.17
332.4,432.66,67.84,115.19,499.03,351.23,0.0,551.99,467.11,559.9300000000001,223.11,520.4449999999999,77.38499999999999,254.2,24.56,603.83,395.09,570.98,210.775,128.33,504.49,537.17,345.52,614.54,202.26,513.15,519.585,505.48,529.6600000000001,257.72,105.12,593.37
528.34,588.27,93.485,180.62,657.77,355.36,0.0,719.77,604.99,689.815,329.16,628.54,105.305,362.52,176.87,749.01,505.99,687.38,267.29499999999996,148.27,552.87,649.845,43.75,748.15,212.28,624.5699999999999,633.355,611.4749999999999,637.675,344.71,64.72,700.36
616.78,679.99,101.25,289.73,748.63,284.82,0.0,815.45,672.84,767.89,391.75,648.02,107.16999999999999,412.5,66.82,833.72,572.0,755.02,260.075,170.49,475.16,709.835,96.89,826.39,180.56,696.47,703.45,655.83,701.025,447.735,297.6,763.56
645.16,703.75,107.59,446.48,783.53,209.86,0.0,859.82,684.81,800.405,437.41,595.83,113.86000000000001,517.2,50.32,854.86,624.98,774.27,341.08500000000004,147.69,439.27,718.295,118.29,842.81,171.12,723.05,729.435,635.6949999999999,724.815,591.15,328.95,774.39
506.49,667.88,95.005,532.73,748.38,157.04,0.0,780.64,636.36,772.325,378.56,368.555,111.465,575.0,47.16,826.2,590.32,745.41,385.755,123.19,248.8,670.49,67.57,824.1,164.63,707.0450000000001,704.785,474.36,702.2249999999999,617.135,240.13,745.31
308.63,569.67,84.16,493.92,683.56,121.48,0.0,733.12,520.56,696.72,275.3,247.57,89.66,541.31,46.37,728.9,497.56,667.9,452.625,123.59,180.71,583.19,34.12,710.13,125.58,640.465,634.345,279.515,633.605,579.4300000000001,422.3,669.98
144.84,397.28,64.08,362.18,544.62,125.61,0.0,586.44,344.24,558.22,160.66,169.135,64.32499999999999,472.53,15.15,545.74,360.34,536.88,341.765,107.17,138.07,437.555,20.52,570.08,132.32,525.58,511.88,168.98000000000002,516.125,466.53499999999997,286.83,537.53
59.64,147.28,28.130000000000003,171.53,343.67,46.24,0.0,375.67,101.98,365.02,62.9,135.305,42.29,339.41,35.08,335.65,164.07,357.72,280.56,65.9,81.35,236.23000000000002,78.26,378.2,122.06,365.83000000000004,341.55,128.195,355.105,333.14,114.64,366.04
0.0,0.0,0.0,0.0,103.36,0.0,0.0,127.43,0.0,144.04000000000002,0.0,68.00999999999999,0.0,130.48,0.0,158.69,4.25,151.84,138.04500000000002,10.39,35.51,33.82,1.81,156.85,91.2,178.5,146.57,97.94,168.26,154.16,53.41,158.88
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.119999999999999,0.0,3.1,0.0,2.28,0.0,7.54,0.0,27.95,28.145,0.0,0.0,0.0,0.0,24.33,22.59,35.370000000000005,20.41,35.235,37.135000000000005,35.41,32.96,33.46
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.56,0.0,1.105,10.07,1.9,3.81,0.09
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
