winter_1,winter_2,winter_3,winter_4,winter_5,winter_6,winter_min,winter_max,mid-cold_1,mid-cold_2,mid-cold_3,mid-cold_4,mid-cold_5,mid-cold_6,mid-cold_min,mid-cold_max,mid-warm_1,mid-warm_2,mid-warm_3,mid-warm_4,mid-warm_5,mid-warm_6,mid-warm_min,mid-warm_max,summer_1,summer_2,summer_3,summer_4,summer_5,summer_6,summer_min,summer_max
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.965,0.11,0.0,2.1799999999999997,0.0,3.96
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.934999999999999,0.0,0.0,0.0,0.0,0.0,3.3,17.35,3.005,0.0,37.07,0.0,0.0,0.0,31.09,16.96,20.65,48.025000000000006,37.05,9.485,47.875,65.66,60.37
0.0,0.0,0.0,41.11,0.0,0.0,0.0,15.66,0.0,172.79,0.0,0.0,128.105,87.66,12.21,171.21,83.82,142.575,70.4,205.3,31.18,146.47,3.7,215.62,82.87,167.45,200.24,177.25,60.42,180.79,225.03,231.23
143.57999999999998,114.09,28.79,304.63,51.85,196.17000000000002,0.0,318.5,127.56,387.78,256.065,53.2,357.61,194.98,75.41,411.86,175.825,333.83,281.02,408.26,98.935,367.47,47.24,437.31,169.77,360.28,379.31,359.96,114.345,355.22,46.55,434.17
416.005,356.9,74.64,522.38,119.37,455.935,0.0,551.99,240.62,565.72,475.615,82.29,549.62,282.06,24.56,603.83,245.01999999999998,492.20500000000004,473.49,571.44,140.375,542.2950000000001,345.52,614.54,264.51,519.88,529.5,513.27,179.49,503.95000000000005,105.12,593.37
573.99,466.28,100.82,672.6400000000001,177.67,621.49,0.0,719.77,362.74,691.805,607.815,104.88,683.585,402.38,176.87,749.01,310.11,518.345,596.31,687.41,161.815,654.69,43.75,748.15,373.37,633.39,637.5799999999999,624.58,211.125,605.25,64.72,700.36
657.71,469.58,102.25,761.75,282.58,718.57,0.0,815.45,441.29,768.4749999999999,675.99,109.38,763.34,399.72,66.82,833.72,351.475,419.72,662.73,755.37,182.675,715.2149999999999,96.89,826.39,493.24,703.33,700.68,696.49,188.065,641.825,297.6,763.56
679.79,333.68,107.57,788.96,438.95,747.565,0.0,859.82,463.36,795.46,685.565,117.81,798.08,415.74,50.32,854.86,467.84000000000003,390.89,676.25,774.53,170.20999999999998,724.4649999999999,118.29,842.81,597.74,729.2,724.815,723.16,210.73000000000002,579.665,328.95,774.39
633.9,231.2,93.34,745.235,498.21,722.535,0.0,780.64,378.56,762.2950000000001,635.935,116.12,775.645,416.0,47.16,826.2,475.64,224.425,632.66,746.96,152.01999999999998,675.84,67.57,824.1,619.95,704.75,702.3,706.98,177.63,420.4,240.13,745.31
528.64,143.64,83.62,686.7850000000001,458.42,641.7750000000001,0.0,733.12,262.06,686.0250000000001,519.6400000000001,91.92,701.07,372.71,46.37,728.9,546.41,176.94,515.56,668.92,154.89,595.845,34.12,710.13,574.75,634.3,633.63,640.44,147.495,245.805,422.3,669.98
351.175,109.62,65.93,550.875,345.85,497.45000000000005,0.0,586.44,152.72,545.9649999999999,343.8,66.45,560.795,306.58,15.15,545.74,406.11,140.685,360.34,536.48,124.41,449.02,20.52,570.08,459.35,511.75,516.15,525.57,135.02,155.365,286.83,537.53
97.175,40.43,29.57,353.865,153.37,288.475,0.0,375.67,58.35,360.115,102.53,43.19,367.375,242.88,35.08,335.65,305.77,90.5,166.36,357.74,77.41499999999999,251.885,78.26,378.2,333.81,341.14,355.145,365.85,120.89,128.96499999999997,114.64,366.04
0.0,0.0,0.0,119.925,0.0,2.965,0.0,127.43,0.0,145.985,0.0,0.0,140.15,112.88,0.0,158.69,137.95499999999998,39.915,0.0,151.84,11.83,46.375,1.81,156.85,153.52,146.42,168.305,178.54,85.655,100.71,53.41,158.88
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.785,0.0,0.0,2.145,4.11,0.0,7.54,26.41,0.0,0.0,28.05,0.0,0.0,0.0,24.33,35.03,20.5,37.07,35.38,18.14,36.845,32.96,33.46
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.89,0.0,10.17,7.56,0.0,1.37,3.81,0.09
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
