winter_1,winter_2,winter_3,winter_4,winter_5,winter_6,winter_min,winter_max,mid-cold_1,mid-cold_2,mid-cold_3,mid-cold_4,mid-cold_5,mid-cold_6,mid-cold_min,mid-cold_max,mid-warm_1,mid-warm_2,mid-warm_3,mid-warm_4,mid-warm_5,mid-warm_6,mid-warm_min,mid-warm_max,summer_1,summer_2,summer_3,summer_4,summer_5,summer_6,summer_min,summer_max
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41,8.995000000000001,0.0,0.0,6.22,0.0,3.96
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.95,0.0,0.0,3.3,35.22,0.0,37.045,0.0,0.0,10.61,0.0,31.09,13.6,37.489999999999995,48.010000000000005,21.26,11.56,53.98,65.66,60.37
4.755,0.0,0.0,0.0,0.0,0.0,0.0,15.66,127.545,38.73,66.35,55.195,172.5,11.06,12.21,171.21,176.53,100.055,205.175,43.92,149.38,69.6,3.7,215.62,58.82,177.26,200.29000000000002,167.69,157.74,194.92,225.03,231.23
272.39,28.15,53.805,102.78,172.54,128.32,0.28,318.5,357.84,113.14,284.095,314.94,387.42,72.475,75.41,411.86,360.96500000000003,290.96500000000003,408.105,117.06,369.505,138.435,47.24,437.31,96.91,359.38,379.90999999999997,360.1,339.78,363.72,46.55,434.17
497.915,71.22999999999999,118.195,336.92499999999995,437.72,353.56,21.42,551.99,550.52,197.85,462.78999999999996,503.46000000000004,565.66,119.295,24.56,603.83,509.09499999999997,479.685,571.05,141.82,541.6099999999999,179.66,345.52,614.54,176.35,511.975,530.135,518.29,496.57,502.47,105.12,593.37
656.375,95.66499999999999,178.73,526.025,592.65,409.27,15.95,719.77,683.645,280.22,529.96,628.575,690.68,136.785,176.87,749.01,561.27,578.745,687.41,159.62,652.885,241.015,43.75,748.15,212.28,623.025,638.0,632.45,612.62,591.21,64.72,700.36
748.355,102.36500000000001,270.53499999999997,627.885,678.59,384.34,225.76,815.45,762.86,382.93,540.825,688.3199999999999,769.56,145.725,66.82,833.72,484.76,599.615,755.54,183.3,713.85,295.40999999999997,96.89,826.39,211.16,695.6400000000001,701.5250000000001,703.17,679.7,579.68,297.6,763.56
783.285,109.2,448.65999999999997,654.3,697.73,261.75,62.47,859.82,798.08,466.5,529.015,697.38,797.16,131.555,50.32,854.86,444.20500000000004,575.7,774.5550000000001,156.34,726.13,411.51,118.29,842.81,292.92,722.47,725.23,729.66,682.61,499.12,328.95,774.39
748.3399999999999,94.785,532.975,577.76,656.74,183.39,22.61,780.64,776.4449999999999,562.55,334.32000000000005,657.36,762.82,127.35499999999999,47.16,826.2,318.015,482.025,746.985,129.97,675.84,441.315,67.57,824.1,347.71,706.24,702.5899999999999,706.72,588.32,371.21,240.13,745.31
683.26,83.86500000000001,493.86,399.21000000000004,553.52,133.43,81.63,733.12,701.61,476.05,228.35000000000002,545.115,686.53,109.41499999999999,46.37,728.9,274.145,382.45,669.1800000000001,126.75,599.935,543.47,34.12,710.13,351.27,639.415,633.845,635.64,428.35,244.16,422.3,669.98
544.185,63.665,352.415,200.43,379.72,111.13,16.55,586.44,561.2149999999999,352.6,141.64499999999998,377.13,546.46,77.515,15.15,545.74,146.89,283.605,537.575,111.62,457.38,426.46,20.52,570.08,274.71,525.4000000000001,516.485,514.75,266.56,202.73,286.83,537.53
343.115,28.990000000000002,150.39999999999998,71.215,127.22,39.35,3.34,375.67,367.53499999999997,179.98,78.06,154.44,360.75,51.565,35.08,335.65,136.61,150.29000000000002,357.86,78.2,260.145,287.395,78.26,378.2,218.46,365.395,355.275,344.71,161.91,160.18,114.64,366.04
102.175,0.0,0.0,0.0,0.0,0.0,0.0,127.43,141.035,52.43,0.0,0.0,146.25,0.0,0.0,158.69,85.405,33.605000000000004,152.02,29.45,54.865,128.39,1.81,156.85,126.13,178.5,168.235,151.77,83.53,131.15,53.41,158.88
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.38,0.0,0.0,0.0,13.06,0.0,0.0,7.54,21.275,0.0,28.255,0.0,0.0,26.310000000000002,0.0,24.33,32.96,35.815,37.035,21.82,12.13,41.32,32.96,33.46
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.035,10.155000000000001,0.0,0.0,4.02,3.81,0.09
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
